Time addbrev_r addlong_r addmag1_r addmag2_r addmag3_r bicfemlh_r bicfemsh_r gaslat_r gasmed_r gmax1_r gmax2_r gmax3_r gmed1_r gmed2_r gmed3_r gmin1_r gmin2_r gmin3_r gra_r illiacus_r perbrev_r perlong_r perter_r psoas_r recfem_r sar_r semimem_r semiten_r sol_r tfl_r tibant_r vasint_r vaslat_r vasmed_r
3.034 0.00254888 0.00254888 0.00254888 0.00254888 0.00254888 0.000405618 0.000405618 0.000267766 0.000401034 0.000327206 0.000327206 0.000327206 0.00048336 0.00048336 0.00048336 0.000405283 0.000405283 0.000405283 0.00265597 0 0.000560334 0.000560334 0.000560334 0 0.000265274 0.000491675 0.000962161 0.000962161 0.000166354 0.00104493 0.003466 6.26416e-05 6.66482e-05 5.8635e-05
3.0345 0.00310067 0.00310067 0.00310067 0.00310067 0.00310067 0.000498594 0.000498594 0.00032553 0.000486405 0.000400153 0.000400153 0.000400153 0.000588792 0.000588792 0.000588792 0.000494472 0.000494472 0.000494472 0.00322192 0 0.000681999 0.000681999 0.000681999 0 0.000319575 0.000592989 0.00118419 0.00118419 0.000202765 0.00125412 0.00421517 7.59976e-05 8.07813e-05 7.1214e-05
3.035 0.145527 0.145527 0.145527 0.145527 0.145527 0.023167 0.023167 0.015179 0.0227083 0.0186226 0.0186226 0.0186226 0.0274527 0.0274527 0.0274527 0.0230366 0.0230366 0.0230366 0.151416 0 0.031815 0.031815 0.031815 0 0.0149501 0.027748 0.0550897 0.0550897 0.00944305 0.0588828 0.198393 0.00354414 0.00376856 0.00331972
3.0355 0.145511 0.145511 0.145511 0.145511 0.145511 0.0231715 0.0231715 0.015177 0.0227038 0.0186236 0.0186236 0.0186236 0.0274508 0.0274508 0.0274508 0.0230362 0.0230362 0.0230362 0.151388 0 0.0318119 0.0318119 0.0318119 0 0.0149445 0.0277385 0.0551022 0.0551022 0.00944252 0.0588541 0.198369 0.00354349 0.00376778 0.00331921
3.036 0.145483 0.145483 0.145483 0.145483 0.145483 0.0231799 0.0231799 0.0151734 0.0226955 0.0186255 0.0186255 0.0186255 0.0274474 0.0274474 0.0274474 0.0230354 0.0230354 0.0230354 0.151338 0 0.0318062 0.0318062 0.0318062 0 0.0149342 0.0277212 0.0551252 0.0551252 0.00944157 0.0588017 0.198325 0.0035423 0.00376633 0.00331827
3.0365 0.145452 0.145452 0.145452 0.145452 0.145452 0.0231887 0.0231887 0.0151696 0.0226868 0.0186277 0.0186277 0.0186277 0.0274438 0.0274438 0.0274438 0.0230347 0.0230347 0.0230347 0.151286 0 0.0318001 0.0318001 0.0318001 0 0.0149235 0.0277035 0.0551492 0.0551492 0.00944054 0.0587475 0.198279 0.00354107 0.00376484 0.00331731
3.037 0.145412 0.145412 0.145412 0.145412 0.145412 0.0232006 0.0232006 0.0151645 0.022675 0.0186308 0.0186308 0.0186308 0.027439 0.027439 0.027439 0.0230338 0.0230338 0.0230338 0.151217 0 0.031792 0.031792 0.031792 0 0.0149094 0.0276799 0.0551815 0.0551815 0.00943914 0.058675 0.198217 0.00353942 0.00376282 0.00331601
3.0375 0.145369 0.145369 0.145369 0.145369 0.145369 0.0232136 0.0232136 0.0151589 0.0226621 0.0186344 0.0186344 0.0186344 0.0274338 0.0274338 0.0274338 0.0230331 0.0230331 0.0230331 0.151144 0 0.031783 0.031783 0.031783 0 0.0148942 0.0276548 0.0552165 0.0552165 0.00943759 0.0585974 0.198149 0.00353766 0.00376069 0.00331464
3.038 0.145317 0.145317 0.145317 0.145317 0.145317 0.0232293 0.0232293 0.0151522 0.0226467 0.0186389 0.0186389 0.0186389 0.0274277 0.0274277 0.0274277 0.0230322 0.0230322 0.0230322 0.151057 0 0.0317722 0.0317722 0.0317722 0 0.0148762 0.0276251 0.0552583 0.0552583 0.00943572 0.058505 0.198068 0.00353556 0.00375812 0.003313
3.0385 0.145261 0.145261 0.145261 0.145261 0.145261 0.0232464 0.0232464 0.0151449 0.0226298 0.0186441 0.0186441 0.0186441 0.027421 0.027421 0.027421 0.0230315 0.0230315 0.0230315 0.150965 0 0.0317603 0.0317603 0.0317603 0 0.0148569 0.0275934 0.0553037 0.0553037 0.00943365 0.0584057 0.197979 0.0035333 0.00375538 0.00331124
