Time addbrev_r addlong_r addmag1_r addmag2_r addmag3_r bicfemlh_r bicfemsh_r gaslat_r gasmed_r gmax1_r gmax2_r gmax3_r gmed1_r gmed2_r gmed3_r gmin1_r gmin2_r gmin3_r gra_r illiacus_r perbrev_r perlong_r perter_r psoas_r recfem_r sar_r semimem_r semiten_r sol_r tfl_r tibant_r vasint_r vaslat_r vasmed_r
3.164 0.110661 0.0740327 0.0723794 0.103157 0.105924 0.112453 0.176271 0.0120788 0.0555375 0.105091 0.118366 0.146213 0.0545562 0.0955231 0.0806242 0.0717283 0.0627145 0.0442148 0.332468 0.0557281 0.0543921 0.0592545 0.0967364 0.0480183 0.00947222 0.453523 0.100065 0.223608 0.0420236 0.0530705 0.108965 0.0711828 0.0665599 0.0738139
3.168 0.11004 0.0739341 0.0709611 0.101548 0.104476 0.113224 0.177818 0.0116918 0.0547845 0.10452 0.117469 0.144514 0.0553009 0.0955578 0.0801363 0.0724807 0.0632716 0.0444122 0.333291 0.0570687 0.0552665 0.0601219 0.0974934 0.0491513 0.00934307 0.456414 0.10087 0.224596 0.0420116 0.0551822 0.108441 0.0690287 0.0644651 0.0717477
3.172 0.109354 0.07379 0.0694605 0.0998537 0.102953 0.113776 0.179237 0.0113705 0.0540972 0.103917 0.116538 0.142724 0.0560461 0.0955773 0.079627 0.0732415 0.0638339 0.0446075 0.333955 0.0584256 0.0561364 0.0609746 0.0982929 0.0502942 0.00932062 0.45932 0.101525 0.225418 0.0419507 0.0573313 0.107961 0.0669025 0.0623847 0.069702
3.176 0.108611 0.073605 0.0678964 0.0980949 0.101374 0.114109 0.180517 0.0111072 0.0534963 0.103285 0.115584 0.140866 0.0567809 0.0955792 0.0791 0.0740006 0.0643931 0.0447964 0.334455 0.0597822 0.0569782 0.0617891 0.0991274 0.0514339 0.00938037 0.462207 0.102023 0.226063 0.0418297 0.0594931 0.107549 0.0648344 0.0603501 0.0677065
3.18 0.107822 0.0733836 0.0662908 0.096297 0.0997655 0.114232 0.181653 0.0109056 0.0530008 0.102632 0.114617 0.138964 0.0574956 0.0955629 0.0785615 0.0747482 0.0649415 0.0449758 0.334792 0.0611208 0.057765 0.0625386 0.0999859 0.0525556 0.00949299 0.465041 0.102362 0.226526 0.0416384 0.0616452 0.10723 0.0628529 0.0583904 0.0657893
3.184 0.106998 0.0731279 0.0646637 0.0944837 0.0981474 0.114156 0.182642 0.0107666 0.0526261 0.101966 0.113651 0.137043 0.0581823 0.0955297 0.0780188 0.0754758 0.0654732 0.0451443 0.334969 0.0624248 0.0584735 0.0632006 0.100854 0.0536455 0.00962842 0.46779 0.102544 0.226807 0.0413717 0.0637677 0.107021 0.0609869 0.0565357 0.063979
3.188 0.106153 0.0728432 0.0630403 0.0926829 0.096545 0.113901 0.183485 0.0106891 0.0523817 0.101299 0.112699 0.135132 0.0588316 0.0954806 0.0774803 0.0761732 0.0659806 0.0452995 0.334991 0.0636773 0.0590859 0.063759 0.101716 0.0546896 0.00975886 0.470423 0.102574 0.226907 0.0410311 0.0658352 0.106932 0.0592668 0.0548184 0.0623062
3.192 0.105299 0.0725334 0.0614446 0.0909223 0.0949828 0.113491 0.184185 0.0106725 0.0522746 0.100641 0.111777 0.133263 0.0594373 0.0954195 0.0769558 0.0768323 0.0664587 0.0454414 0.334868 0.064862 0.0595854 0.0641989 0.102551 0.0556742 0.00986025 0.472906 0.102459 0.226836 0.040622 0.0678244 0.106967 0.0577249 0.0532732 0.0608034
3.196 0.104438 0.072193 0.059886 0.0892117 0.0934669 0.11294 0.184749 0.0107141 0.0523003 0.100001 0.110895 0.13145 0.0599945 0.0953501 0.0764544 0.0774468 0.0669042 0.0455712 0.334599 0.0659718 0.0599627 0.0645134 0.103335 0.0565923 0.00991203 0.475233 0.102202 0.226591 0.0401589 0.0697262 0.10712 0.0563881 0.0519304 0.0594982
3.2 0.103529 0.0717767 0.05832 0.0875056 0.0919503 0.112243 0.18519 0.0108115 0.0524495 0.0993822 0.110049 0.129666 0.0605094 0.0952817 0.0759865 0.0780213 0.0673253 0.0457 0.334137 0.0670184 0.0602007 0.0646882 0.104037 0.0574486 0.00989841 0.477453 0.101789 0.22615 0.0396557 0.0715764 0.107392 0.0552617 0.0507975 0.0583968
3.204 0.102657 0.0713606 0.0568482 0.0859079 0.0905314 0.111456 0.185507 0.0109613 0.0527034 0.098799 0.109262 0.127995 0.0609629 0.0952074 0.075553 0.0785355 0.0677013 0.0458116 0.333574 0.0679705 0.0603257 0.0647521 0.10465 0.0582252 0.00982681 0.479466 0.101258 0.225563 0.0391402 0.0732933 0.107743 0.0543805 0.0499108 0.0575345
3.208 0.101839 0.0709585 0.0554941 0.0844406 0.0892281 0.110601 0.185709 0.0111557 0.0530363 0.0982585 0.108543 0.126459 0.0613515 0.0951286 0.0751583 0.0789839 0.0680281 0.0459047 0.33293 0.0688235 0.0603521 0.0647221 0.105159 0.0589194 0.00970802 0.481258 0.10062 0.224841 0.0386396 0.0748634 0.108142 0.053755 0.0492815 0.0569219
3.212 0.101086 0.0705779 0.0542659 0.0831093 0.0880435 0.10969 0.185804 0.0113822 0.0534175 0.0977638 0.107892 0.125065 0.0616746 0.0950465 0.0748038 0.0793648 0.0683046 0.045979 0.332218 0.0695806 0.0602962 0.0646169 0.105549 0.0595344 0.0095627 0.482837 0.0998819 0.223992 0.0381805 0.0762875 0.108558 0.0533848 0.048909 0.0565593
3.216 0.100403 0.0702246 0.0531665 0.0819131 0.0869744 0.108728 0.185802 0.0116212 0.0538105 0.0973142 0.107307 0.123812 0.0619322 0.0949607 0.0744886 0.0796777 0.0685301 0.0460338 0.331448 0.0702486 0.0601794 0.0644606 0.105812 0.0600766 0.0094225 0.484216 0.0990475 0.223021 0.0377909 0.0775717 0.108954 0.0532623 0.0487858 0.0564392
3.22 0.0997903 0.0699036 0.052192 0.0808439 0.0860122 0.107718 0.185712 0.0118467 0.054174 0.0969063 0.10678 0.122689 0.062126 0.0948701 0.0742093 0.0799239 0.0687054 0.0460688 0.330627 0.0708377 0.0600278 0.0642815 0.10594 0.0605553 0.00932972 0.485417 0.0981195 0.221931 0.0374993 0.0787278 0.109289 0.0533728 0.0488968 0.0565473
3.224 0.0992461 0.0696168 0.0513324 0.0798872 0.085142 0.106654 0.18554 0.0120269 0.0544635 0.0965334 0.106303 0.121682 0.0622574 0.0947724 0.0739605 0.0801054 0.0688315 0.046083 0.329761 0.0713612 0.0598685 0.0641095 0.105931 0.0609821 0.00933447 0.486467 0.0970982 0.220726 0.0373341 0.0797717 0.10952 0.0536952 0.0492209 0.056863
3.228 0.0987628 0.0693632 0.0505725 0.0790231 0.0843451 0.10553 0.185295 0.012127 0.0546322 0.0961878 0.105864 0.120767 0.0623293 0.0946652 0.0737365 0.0802259 0.0689108 0.0460765 0.32885 0.0718332 0.0597299 0.0639752 0.105783 0.0613692 0.00948866 0.487398 0.0959838 0.219404 0.0373244 0.0807222 0.109605 0.0542045 0.0497331 0.0573616
