Time addbrev_r addlong_r addmag1_r addmag2_r addmag3_r bicfemlh_r bicfemsh_r gaslat_r gasmed_r gmax1_r gmax2_r gmax3_r gmed1_r gmed2_r gmed3_r gmin1_r gmin2_r gmin3_r gra_r illiacus_r perbrev_r perlong_r perter_r psoas_r recfem_r sar_r semimem_r semiten_r sol_r tfl_r tibant_r vasint_r vaslat_r vasmed_r
3.164 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3.168 -0.155144 -0.0246702 -0.354575 -0.402102 -0.362002 0.192828 0.386764 -0.0967411 -0.188254 -0.142773 -0.224313 -0.424846 0.186183 0.00867733 -0.121974 0.188098 0.139284 0.049344 0.205724 0.335146 0.218618 0.216846 0.189258 0.283252 -0.0322868 0.722578 0.201025 0.247044 -0.00298313 0.527918 -0.131089 -0.538517 -0.52368 -0.516554
3.172 -0.179932 -0.0416848 -0.385449 -0.434378 -0.390267 0.110693 0.338759 -0.0721027 -0.163597 -0.155037 -0.236839 -0.458506 0.186358 0.00299048 -0.130014 0.191266 0.141225 0.0485645 0.145932 0.341254 0.216889 0.211358 0.205156 0.28697 0.00772538 0.728427 0.145154 0.184689 -0.0213646 0.541945 -0.114329 -0.52809 -0.518305 -0.508884
3.176 -0.192058 -0.0510038 -0.397352 -0.445937 -0.399627 0.0558124 0.301695 -0.0592568 -0.137737 -0.161148 -0.240895 -0.47148 0.181494 -0.00194617 -0.133625 0.188692 0.138681 0.0460638 0.10423 0.33777 0.204964 0.196835 0.212433 0.283398 0.0231714 0.716563 0.10424 0.13807 -0.038676 0.540001 -0.0925099 -0.507204 -0.500339 -0.490087
3.18 -0.20181 -0.0595182 -0.404773 -0.452218 -0.40408 0.0049974 0.265407 -0.0422544 -0.109082 -0.165267 -0.242204 -0.478964 0.175374 -0.00638495 -0.135585 0.184675 0.135158 0.0434332 0.0641725 0.330895 0.187594 0.177027 0.216626 0.276973 0.0322852 0.698903 0.0649869 0.0928734 -0.0574546 0.534969 -0.0662165 -0.482201 -0.478134 -0.467202
3.184 -0.209638 -0.0680562 -0.407804 -0.453314 -0.403907 -0.0425659 0.228854 -0.0268984 -0.0773765 -0.167126 -0.240399 -0.480599 0.167529 -0.0103022 -0.135528 0.178711 0.130341 0.0406383 0.0240019 0.320296 0.165403 0.152731 0.217163 0.267326 0.034205 0.674342 0.0258772 0.0471121 -0.0764983 0.52523 -0.0369552 -0.44967 -0.448 -0.436804
3.188 -0.212889 -0.0743059 -0.403267 -0.44623 -0.396501 -0.0844344 0.192602 -0.0118153 -0.0440059 -0.166383 -0.234906 -0.473814 0.156851 -0.0141513 -0.133447 0.169661 0.123173 0.0369393 -0.0129442 0.305264 0.139653 0.125342 0.213343 0.254139 0.0296864 0.64072 -0.011299 0.00304061 -0.0942255 0.5079 -0.00680729 -0.409242 -0.409496 -0.398483
3.192 -0.213513 -0.0803332 -0.393453 -0.432878 -0.383552 -0.120253 0.157389 0.00343879 -0.00903774 -0.162266 -0.225439 -0.459696 0.145465 -0.0164449 -0.128487 0.159366 0.115466 0.0338321 -0.0481191 0.286378 0.109362 0.0939044 0.203631 0.237578 0.0197366 0.599637 -0.0459963 -0.0389039 -0.110358 0.485573 0.0248063 -0.360487 -0.361826 -0.351718
3.196 -0.215769 -0.0893962 -0.384348 -0.420656 -0.372735 -0.153972 0.124329 0.0174284 0.0225319 -0.15689 -0.214945 -0.444781 0.132857 -0.0180978 -0.121756 0.147529 0.107006 0.0310489 -0.0860217 0.267525 0.0782989 0.0624552 0.187667 0.220671 0.00504566 0.561391 -0.0818732 -0.0830163 -0.12126 0.46383 0.0525324 -0.306336 -0.307925 -0.299331
3.2 -0.237155 -0.117618 -0.39649 -0.430148 -0.38353 -0.192994 0.0961722 0.0311231 0.0519761 -0.151931 -0.207306 -0.445367 0.124001 -0.0161308 -0.111924 0.139094 0.103002 0.0330261 -0.143282 0.25486 0.0406357 0.024977 0.162335 0.206846 -0.0128655 0.546467 -0.124144 -0.136502 -0.129694 0.459415 0.0828634 -0.255047 -0.256551 -0.249485
3.204 -0.20552 -0.0967489 -0.346535 -0.376051 -0.333215 -0.202734 0.0636917 0.0437222 0.074933 -0.140056 -0.186974 -0.395496 0.103944 -0.0200386 -0.104037 0.1191 0.0864165 0.0242413 -0.14499 0.223272 0.0196135 0.00480181 0.141937 0.182495 -0.024375 0.467657 -0.143862 -0.16064 -0.127956 0.40484 0.0940436 -0.186476 -0.187589 -0.182548
3.208 -0.196556 -0.0982727 -0.32278 -0.349599 -0.31072 -0.22093 0.0367359 0.0535087 0.0909022 -0.129212 -0.170937 -0.365804 0.0888856 -0.0200294 -0.0934322 0.103605 0.0753987 0.0209834 -0.170088 0.200758 -0.00468613 -0.017976 0.112698 0.163162 -0.0347118 0.420522 -0.172131 -0.196594 -0.121083 0.373771 0.103418 -0.123787 -0.124499 -0.121232
3.212 -0.179394 -0.0917489 -0.29044 -0.315196 -0.280944 -0.233891 0.011347 0.0595504 0.098787 -0.117777 -0.154114 -0.330131 0.0725018 -0.0209096 -0.0835004 0.0866263 0.0626843 0.0161547 -0.185363 0.177519 -0.0228592 -0.034055 0.0817509 0.144126 -0.0378521 0.36839 -0.196506 -0.227508 -0.107369 0.337745 0.103354 -0.0606825 -0.0610308 -0.0594483
3.216 -0.161807 -0.0844145 -0.258633 -0.282362 -0.253156 -0.246176 -0.0119008 0.0596587 0.0966152 -0.106787 -0.138425 -0.296021 0.0562421 -0.0219084 -0.0739687 0.0696602 0.0499736 0.0112571 -0.19903 0.156452 -0.0349751 -0.0434433 0.0487133 0.127013 -0.0317147 0.32112 -0.220301 -0.257637 -0.0863419 0.304133 0.0933042 -0.000324966 -0.00035301 -0.000329804
3.22 -0.144105 -0.0758526 -0.228349 -0.252083 -0.227942 -0.258767 -0.0330929 0.0524594 0.0837402 -0.0970993 -0.124786 -0.265015 0.0406043 -0.0233397 -0.0656618 0.0533585 0.0376286 0.00621055 -0.210756 0.138312 -0.0400949 -0.04524 0.0149779 0.112541 -0.0136823 0.279624 -0.24352 -0.286817 -0.0583122 0.274029 0.072719 0.0554518 0.0557247 0.0543009
3.224 -0.127789 -0.0672495 -0.201382 -0.226425 -0.207323 -0.272967 -0.052345 0.0367404 0.0593963 -0.0893818 -0.113979 -0.239064 0.0251934 -0.0255429 -0.0588143 0.0374739 0.0254703 0.000897761 -0.221969 0.123768 -0.038475 -0.0396468 -0.0196169 0.101187 0.0175955 0.246101 -0.266934 -0.315918 -0.0231152 0.248272 0.0414592 0.105312 0.105884 0.103114
3.228 -0.113831 -0.0593851 -0.178834 -0.206091 -0.191646 -0.289028 -0.0698127 0.0120545 0.0231517 -0.0836719 -0.106024 -0.21881 0.0107673 -0.028187 -0.0533983 0.0227841 0.0141663 -0.00425213 -0.233239 0.112783 -0.0297448 -0.0262684 -0.0545494 0.0928252 0.0615549 0.220381 -0.29025 -0.344656 0.0194324 0.227567 -0.001001 0.148586 0.149441 0.145434
3.232 -0.102412 -0.0521758 -0.161045 -0.191448 -0.181146 -0.307238 -0.0855066 -0.0209712 -0.0248859 -0.0803508 -0.101274 -0.204839 -0.00277836 -0.0315186 -0.0497061 0.00928054 0.00364843 -0.00938439 -0.24448 0.10555 -0.0139099 -0.00512174 -0.0894259 0.0876491 0.114998 0.202777 -0.313542 -0.373095 0.0693829 0.212044 -0.0547417 0.184863 0.185939 0.180839
3.236 -0.0940661 -0.046509 -0.148101 -0.182189 -0.175459 -0.327225 -0.0997913 -0.0602469 -0.0837522 -0.0788313 -0.0990256 -0.196451 -0.0152392 -0.0350716 -0.0471131 -0.00289979 -0.00583176 -0.0141172 -0.25637 0.10132 0.00747556 0.0222221 -0.125296 0.0849069 0.172929 0.192015 -0.33653 -0.401066 0.126769 0.201187 -0.118705 0.21487 0.21605 0.210028
