Time addbrev_r addlong_r addmag1_r addmag2_r addmag3_r bicfemlh_r bicfemsh_r gaslat_r gasmed_r gmax1_r gmax2_r gmax3_r gmed1_r gmed2_r gmed3_r gmin1_r gmin2_r gmin3_r gra_r illiacus_r perbrev_r perlong_r perter_r psoas_r recfem_r sar_r semimem_r semiten_r sol_r tfl_r tibant_r vasint_r vaslat_r vasmed_r
3.164 42.1812 5.97632 37.2009 34.2695 46.2945 89.076 58.1647 -0.0578767 48.7742 12.7607 22.06 17.1362 16.9438 12.4591 22.3064 4.88413 5.36155 6.27963 5.69416 -0.113043 9.5893 37.3096 8.68263 -0.12756 -0.0290714 0.781453 125.373 39.5784 8.03299 0.00117542 103.522 5.77648 11.459 2.74194
3.168 44.676 6.47203 37.7844 35.3182 47.7479 97.3725 64.0921 -0.120804 40.725 11.9403 20.5996 15.8076 17.7114 12.4236 20.8049 5.00272 5.45474 6.38711 5.68811 0.308554 10.5656 49.4482 10.0688 0.232671 -0.0147701 0.807294 142.279 44.3741 10.4148 0.135745 99.3907 3.90897 8.71917 1.05769
3.172 47.5729 6.94495 39.4392 37.2616 50.1532 103.631 68.825 -0.0986271 35.9806 11.3517 19.683 15.1979 17.7093 12.3354 19.5817 4.94867 5.37701 6.41393 5.65358 0.319042 10.7535 61.7317 11.512 0.239982 -0.00398039 0.806995 157.163 49.0998 13.5748 0.173157 98.0437 3.57126 8.09799 0.714968
3.176 50.4995 7.38676 40.8563 39.1296 52.4122 110.119 73.6416 -0.0857065 33.6811 10.8427 18.906 14.7306 17.6561 12.2303 18.3906 4.89587 5.31337 6.4646 5.6359 0.317499 11.0237 75.4242 13.1905 0.238008 -0.0155378 0.806713 173.54 54.3027 17.7842 0.214336 98.0191 3.15193 7.22737 0.40062
3.18 53.4043 7.78576 41.8928 40.8357 54.4341 116.656 78.5178 -0.0718717 33.8748 10.4373 18.3097 14.4224 17.5764 12.1174 17.2579 4.8559 5.33715 6.54714 5.63578 0.311633 11.5404 89.715 15.1016 0.232312 -0.0236653 0.806917 191.229 59.9602 23.0839 0.260213 99.4868 2.67776 6.1631 0.128277
3.184 56.2706 8.13385 42.4729 42.3415 56.1865 123.241 83.4593 -0.0607214 36.5329 10.1655 17.9485 14.3151 17.4814 12.0076 16.2188 4.83687 5.45645 6.66779 5.65655 0.300984 12.9701 103.77 17.2229 0.222375 -0.0305595 0.807743 210.18 66.0622 29.5197 0.308402 102.598 2.19977 5.0394 -0.0844419
3.188 59.0987 8.43159 42.5556 43.6322 57.6652 129.906 88.4715 -0.0512454 41.5939 10.0566 17.8772 14.4565 17.3836 11.9129 15.305 4.84723 5.66806 6.8313 5.70252 0.28461 15.1045 116.861 19.5193 0.207746 -0.0375617 0.809414 230.403 72.6052 37.0998 0.355383 107.479 1.76113 3.98188 -0.232362
3.192 61.8723 8.67477 42.0934 44.6886 58.8638 136.65 93.5476 -0.0428752 49.0557 10.1404 18.1503 14.8913 17.3131 11.8513 14.5496 4.89921 5.97204 7.05024 5.77705 0.263201 17.5835 128.289 21.9345 0.188595 -0.0450861 0.812391 251.881 79.5793 45.7581 0.397528 114.261 1.40056 3.09579 -0.314092
3.196 64.556 8.8447 41.0156 45.4674 59.7364 143.398 98.6671 -0.0359021 58.8691 10.4406 18.8128 15.6567 17.2958 11.84 13.9756 5.00423 6.36741 7.33705 5.88209 0.241643 20.1237 137.637 24.3942 0.168791 -0.0528239 0.817544 274.471 86.9516 55.4416 0.433052 122.959 1.13405 2.41116 -0.339906
3.2 67.009 8.84396 39.08 45.8122 60.0838 149.991 103.8 -0.0293047 71.086 10.9775 19.9004 16.7698 17.3877 11.9085 13.6124 5.18449 6.87033 7.72891 6.01544 0.227734 22.419 144.306 26.7899 0.152765 -0.0593247 0.826229 297.905 94.6594 65.9304 0.465393 133.692 0.940401 1.89575 -0.335987
3.204 69.6267 8.85393 37.0081 46.1448 60.4461 156.792 108.833 -0.0231142 85.6302 11.7884 21.5011 18.393 17.5731 12.0697 13.4648 5.47684 7.44988 8.18942 6.19124 0.189713 24.5693 149.091 29.0978 0.122979 -0.0601475 0.835443 322.932 102.814 77.2335 0.476285 146.11 0.881268 1.64089 -0.254938
3.208 72.0582 8.827 34.6271 46.1829 60.4969 163.246 113.734 -0.0181363 102.362 12.888 23.6285 20.4557 17.9823 12.3757 13.5685 5.906 8.13001 8.76618 6.3957 0.162922 26.4847 152.161 31.2332 0.0994349 -0.0565849 0.849179 348.426 111.195 89.1464 0.484071 160.328 0.89896 1.5446 -0.134351
3.212 74.4467 8.80295 32.2569 46.0975 60.4444 169.41 118.396 -0.0150458 120.973 14.3068 26.3477 23.0555 18.721 12.857 13.9402 6.46761 8.90827 9.46198 6.63045 0.135004 28.2769 154.077 33.1436 0.076078 -0.0462324 0.866305 374.425 119.762 101.688 0.484878 176.04 1.00929 1.61828 0.0437456
