Time R_hip_aa R_hip_fe R_knee_fe R_ankle_fe
3.164 12.1758 -21.737 -14.1239 1.19025
3.168 13.0926 -23.4762 -15.4728 1.16678
3.172 14.1563 -25.2546 -16.3624 1.06487
3.176 15.2492 -27.1526 -17.3342 0.844233
3.18 16.3378 -29.1363 -18.3733 0.515113
3.184 17.4055 -31.2027 -19.4775 0.0870527
3.188 18.4434 -33.3587 -20.653 -0.423324
3.192 19.4393 -35.6078 -21.9036 -0.997591
3.196 20.3721 -37.9372 -23.2341 -1.62349
3.2 21.1825 -40.3036 -24.6462 -2.28009
3.204 22.0168 -42.8618 -26.2069 -2.98516
3.208 22.7653 -45.4666 -27.8766 -3.72077
3.212 23.4807 -48.1646 -29.672 -4.49256
3.216 24.1471 -50.9143 -31.5652 -5.30176
3.22 24.7529 -53.6802 -33.5173 -6.15266
3.224 25.276 -56.4192 -35.4725 -7.05538
3.228 25.687 -59.0879 -37.3631 -8.03204
3.232 25.9512 -61.6404 -39.1118 -9.11967
3.236 26.0333 -64.0371 -40.6398 -10.3671
3.24 25.897 -66.239 -41.8676 -11.8244
3.244 25.5162 -68.2222 -42.7239 -13.5263
3.248 24.8715 -69.9696 -43.1475 -15.4725
3.252 23.889 -71.3981 -43.0686 -17.6016
3.256 22.6922 -72.6742 -42.5294 -19.8864
3.26 21.2658 -73.756 -41.5185 -22.292
3.264 19.6408 -74.6298 -40.0032 -24.797
3.268 17.849 -75.3056 -37.922 -27.3133
3.272 15.9144 -75.7365 -35.2926 -29.8238
3.276 13.8626 -75.8681 -32.159 -32.1722
3.28 11.7214 -75.6549 -28.5574 -34.1998
3.284 9.51902 -75.0639 -24.518 -36.4759
3.288 7.2834 -74.0741 -20.1075 -38.7796
3.292 5.04872 -72.6923 -15.4417 -40.8515
3.296 2.8502 -70.9366 -10.6707 -42.6123
3.3 0.721883 -68.8121 -5.94814 -44.085
3.304 -1.30466 -66.3102 -1.41751 -45.3254
3.308 -3.20141 -63.4057 2.79574 -46.3986
3.312 -4.94506 -60.0668 6.5789 -47.3698
3.316 -6.51234 -56.2752 9.82244 -48.3131
3.32 -7.87953 -52.0502 12.4195 -49.2887
3.324 -9.02639 -47.4535 14.2697 -50.3394
3.328 -9.93178 -42.5924 15.2795 -51.5038
3.332 -10.5841 -37.6435 15.3553 -52.8288
3.336 -10.9765 -32.8259 14.4193 -54.3785
3.34 -11.0999 -28.3762 12.4341 -56.2238
3.344 -10.9623 -24.4743 9.43181 -58.3969
3.348 -10.5676 -21.23 5.51596 -60.9017
3.352 -9.9049 -18.6836 0.978935 -63.6884
3.356 -8.95932 -16.8257 -3.69247 -66.6033
3.36 -7.70045 -15.5357 -8.02962 -69.3342
3.364 -6.08109 -14.4772 -11.5653 -71.5628
3.368 -4.17859 -13.3681 -13.8278 -73.3125
3.372 -2.10512 -12.126 -14.6822 -73.5224
3.376 0.0157856 -10.8238 -14.5472 -72.172
3.38 2.05302 -9.55927 -14.1817 -70.3545
3.384 3.90513 -8.40985 -13.7401 -66.9312
3.388 5.5062 -7.43528 -13.1778 -60.5282
3.392 6.83623 -6.65572 -12.6138 -51.8632
3.396 7.90623 -6.05494 -12.0312 -42.4388
3.4 8.76514 -5.58831 -11.4873 -34.393
3.404 9.43178 -5.23173 -11.0153 -28.6176
3.408 9.96849 -4.96604 -10.2666 -27.0236
3.412 10.357 -4.70684 -10.3233 -25.6365
3.416 10.6311 -4.45721 -10.1644 -24.3069
3.42 10.8066 -4.1902 -9.97304 -22.912
3.424 10.8554 -3.89287 -9.82291 -21.3806
3.428 10.9398 -1.89978 -9.36576 -19.6596
3.432 10.5481 -2.35435 -9.47865 -18.4675
3.436 10.5266 -1.37644 -9.33204 -17.137
3.44 10.317 -1.01876 -9.367 -16.0914
3.444 10.1598 -0.503232 -9.41536 -15.2307
3.448 10.0057 -0.0236227 -9.47474 -14.5821
3.452 9.86554 0.442923 -9.44792 -14.0981
3.456 9.73555 0.87843 -9.29571 -13.7888
3.46 9.60997 1.27785 -9.01798 -13.6527
3.464 9.47827 1.63737 -8.62729 -13.6842
3.468 9.33015 1.95296 -8.23002 -13.8738
3.472 9.13472 2.2029 -7.86026 -14.2377
