datacolumns 2
datarows 101
time	R_knee_fe
2.656	17.248898629
2.66	-0.391863036921
2.664	-17.0360431226
2.668	-32.5582447923
2.672	-46.522606529
2.676	-58.5621249468
2.68	-68.653308689
2.684	-76.2758256232
2.688	-81.0767853859
2.692	-83.2475103503
2.696	-83.1161282751
2.7	-81.035141444
2.704	-77.3599997103
2.708	-72.4181403035
2.712	-66.4906466367
2.716	-59.8054458518
2.72	-52.540387802
2.724	-44.8345894955
2.728	-46.9404751076
2.732	-47.3621010388
2.736	-48.9144424294
2.74	-50.5614449732
2.744	-52.0979878513
2.748	-52.5746533117
2.752	-50.9707415701
2.756	-45.8845882971
2.76	-35.7510406463
2.764	-17.2861620504
2.768	7.88389129419
2.772	37.2449159944
2.776	67.7284058623
2.78	96.5158692308
2.784	121.828475697
2.788	142.947844704
2.792	160.207123784
2.796	174.55195072
2.8	186.921535225
2.804	198.039929894
2.808	208.094282527
2.812	217.183325971
2.816	225.37678076
2.82	232.731984822
2.824	239.313682551
2.828	245.126286986
2.832	250.107455819
2.836	254.162992714
2.84	257.17824608
2.844	259.069782066
2.848	259.780002617
2.852	259.264547109
2.856	257.523159389
2.86	254.590967499
2.864	250.539443097
2.868	245.461041792
2.872	239.440611132
2.876	232.534206081
2.88	224.773115535
2.884	216.182278039
2.888	206.783853091
2.892	196.596864463
2.896	185.664727304
2.9	174.054894401
2.904	161.858098102
2.908	149.080645498
2.912	135.76509556
2.916	122.008237061
2.92	107.86715754
2.924	93.411301373
2.928	78.733331206
2.932	63.9365336366
2.936	49.2268078438
2.94	34.8366405063
2.944	21.3327328523
2.948	11.1624022244
2.952	1.77443672068
2.956	-7.03766211897
2.96	-15.3949063569
2.964	-24.3867577668
2.968	-31.7432166152
2.972	-37.1046151033
2.976	-40.4107892683
2.98	-41.677768504
2.984	-41.0591751924
2.988	-28.6884910708
2.992	-28.3462672653
2.996	-25.9951822778
3	-22.009337469
3.004	-16.8375145167
3.008	-10.9330375536
3.012	-4.673557714
3.016	1.45524723528
3.02	7.07208805012
3.024	11.759733318
3.028	14.9850415235
3.032	16.7089055704
3.036	16.6403764171
3.04	14.5973685043
3.044	10.6036577379
3.048	4.77556356831
3.052	-2.4582033976
3.056	-10.4514053617
