datacolumns 14
datarows 95
time	bicfemlh_r	bicfemsh_r	gaslat_r	gasmed_r	gra_r	recfem_r	sar_r	semimem_r	semiten_r	tfl_r	vasint_r	vaslat_r	vasmed_r
2.708	-0.056876127309	-0.0483445113349	-0.0122337053676	-0.0148837443922	-0.0362266191647	0.0371025030023	-0.0181917530778	-0.0461206293042	-0.0502945756669	0.00672159626482	0.0349190881309	0.0319589605536	0.0327737409843
2.712	-0.0351209773735	-0.0231962443434	-0.0164563139384	-0.0160474825527	-0.0276665695537	0.0516584265763	-0.00837067797373	-0.039626980131	-0.0467518982405	0.0104960585687	0.0458728066789	0.0466097481298	0.0452044134137
2.716	-0.033479052544	-0.0217185539395	-0.0169962731906	-0.0163962668636	-0.0268276952754	0.0517779397172	-0.00789714534977	-0.0387420645685	-0.0459469608856	0.01040806679	0.0460824514788	0.0468861259285	0.0455038395748
2.72	-0.0318394210642	-0.0202713804409	-0.0174900649457	-0.0167118817001	-0.0259795613372	0.0518293789962	-0.00743426426942	-0.0378291887262	-0.0451038726445	0.0103137532701	0.0462684049753	0.0470564450944	0.0457567737827
2.724	-0.0302120633749	-0.0188478975072	-0.0178997874262	-0.0169596807381	-0.025124534902	0.0518357622975	-0.00696392702203	-0.0368940895829	-0.0442288938653	0.0102485785794	0.046443058837	0.0471242965652	0.0459698175692
2.728	-0.0285857118868	-0.0173661005128	-0.0180649670865	-0.0169910378584	-0.0242285923778	0.0516500098488	-0.00638291410016	-0.0359145314584	-0.0433008375764	0.0103578467404	0.0464058898759	0.0468547440217	0.0459329225208
2.732	-0.0269827341185	-0.0158463392237	-0.018019339969	-0.0168370251286	-0.0233065818983	0.0513249696574	-0.00570744098667	-0.0349067404542	-0.0423365789945	0.0106158676459	0.0462005433257	0.0462855105067	0.0456829910084
2.736	-0.0252890999953	-0.0141906398895	-0.0178054031216	-0.0165279869097	-0.0223101141039	0.0509080697752	-0.00490715186577	-0.0338052450703	-0.04127294556	0.0110035499394	0.0458796919058	0.0454281770767	0.0452588097354
2.74	-0.023813660712	-0.012708128842	-0.0175183140676	-0.0161700564778	-0.0214090586917	0.0505321679835	-0.00414981561701	-0.0328103017941	-0.0403074835009	0.0114070492437	0.0455623797853	0.0445076643223	0.0447963560984
2.744	-0.0224437419995	-0.0113055305575	-0.017194570931	-0.0157881093905	-0.0205577413619	0.0502095401691	-0.00340795067481	-0.0318615703625	-0.0393827909765	0.0118131475425	0.0452689617555	0.0435357126734	0.0443149146923
2.748	-0.0212008042955	-0.01002346997	-0.0168884360075	-0.0154323920306	-0.0197809762237	0.0499941281065	-0.00272130524809	-0.0309831223148	-0.03852382559	0.0121765792061	0.0450679356339	0.0426422565274	0.0439016293042
2.752	-0.0201075912657	-0.0089125959128	-0.0166594763202	-0.0151582369747	-0.0191081330269	0.0499437965884	-0.00213896737563	-0.0302027111687	-0.0377590089765	0.0124480908144	0.0450521508211	0.042024309433	0.0436876883802
2.756	-0.0191738375102	-0.00797816796403	-0.0164950353596	-0.0149539822029	-0.0185461984104	0.0499911336797	-0.00165927358928	-0.0295304747045	-0.0370993082284	0.012642703372	0.045148394622	0.0416163848423	0.0436078678026
2.76	-0.0184074188465	-0.00722236268707	-0.0163807288204	-0.0148063108857	-0.0180995170761	0.050081373861	-0.00127811139443	-0.0289743490841	-0.036553376087	0.0127771135087	0.0452934179393	0.0413558727144	0.0436042948597
2.764	-0.0178154430925	-0.00664741952121	-0.0163048951224	-0.014704422695	-0.0177713734001	0.0501764287642	-0.000992272263465	-0.028541323696	-0.0361287706096	0.0128653891792	0.0454410023427	0.0411966878424	0.0436352483855
2.768	-0.0174025590767	-0.00625400008483	-0.0162585028881	-0.0146398756704	-0.017562759773	0.0502515869305	-0.000798732177191	-0.0282362070516	-0.0358307109308	0.0129187677814	0.045559406478	0.0411061871922	0.0436721211384
2.772	-0.0171728406568	-0.00604313397866	-0.0162354666573	-0.0146070018763	-0.01747379793	0.0502921005574	-0.000695685328296	-0.0280629607732	-0.0356633973819	0.012945012522	0.045628430932	0.0410636167727	0.0436968885336
2.776	-0.0171269858767	-0.00601351082194	-0.0162323323956	-0.0146024796952	-0.017502082665	0.0502914298884	-0.000681247417139	-0.0280226691741	-0.0356279933726	0.0129485667876	0.045638430711	0.041057961422	0.0437006404047
2.78	-0.0172647369751	-0.00616389614703	-0.016248503586	-0.0146256817854	-0.017644375571	0.0502493276898	-0.000754641127365	-0.0281152845818	-0.0357243618289	0.0129301847619	0.0455884352205	0.0410874976878	0.0436822855401
2.784	-0.0175848036207	-0.00649310778714	-0.0162861677651	-0.0146786056564	-0.0178969394489	0.0501715348949	-0.000916160675261	-0.0283395955239	-0.035951043121	0.0128870092316	0.0454858045549	0.041159446585	0.0436482350967
2.788	-0.0180844161861	-0.00699968989189	-0.0163502229463	-0.0147657822672	-0.0182556488852	0.0500706098229	-0.00116698500125	-0.0286928730209	-0.036304932644	0.0128127428702	0.0453468888703	0.0412903393428	0.0436129567079
