datacolumns 17
datarows 1027
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
2.382	0.287244	0.023559	0.017158	0.009597	0.010474	0.045549	0.113511	0.038473	0.009647	0.131121	0.06503	0.00976	0.033191	0.204816	0.003998	0.004762
2.3825	0.286174	0.023385	0.017067	0.009593	0.01045	0.045259	0.111877	0.038359	0.009604	0.130351	0.065227	0.009713	0.033035	0.205582	0.003951	0.004744
2.383	0.285044	0.02322	0.016977	0.009589	0.010429	0.04497	0.110252	0.038241	0.009561	0.129575	0.065427	0.009667	0.032878	0.206354	0.003905	0.004726
2.3835	0.283857	0.023062	0.016886	0.009584	0.010411	0.044681	0.108636	0.038119	0.009517	0.128791	0.065628	0.009621	0.032718	0.207129	0.003858	0.004707
2.384	0.282612	0.022912	0.016797	0.009578	0.010395	0.044394	0.107029	0.037993	0.009472	0.128001	0.065831	0.009576	0.032558	0.207907	0.003811	0.004688
2.3845	0.28131	0.02277	0.016707	0.009572	0.010382	0.044109	0.105432	0.037863	0.009427	0.127204	0.066036	0.009531	0.032396	0.208688	0.003763	0.004669
2.385	0.279952	0.022636	0.016618	0.009566	0.010373	0.043825	0.103843	0.03773	0.009381	0.1264	0.066242	0.009487	0.032232	0.209472	0.003716	0.00465
2.3855	0.278538	0.022509	0.016529	0.009558	0.010366	0.043543	0.102263	0.037593	0.009335	0.12559	0.06645	0.009444	0.032068	0.210257	0.003668	0.004631
2.386	0.277069	0.02239	0.01644	0.00955	0.010362	0.043263	0.100693	0.037453	0.009288	0.124773	0.066659	0.009401	0.031902	0.211042	0.003621	0.004611
2.3865	0.275546	0.022278	0.016352	0.009542	0.010362	0.042985	0.099131	0.03731	0.00924	0.123949	0.06687	0.009358	0.031734	0.211828	0.003573	0.004591
2.387	0.27397	0.022173	0.016264	0.009533	0.010365	0.04271	0.097578	0.037164	0.009192	0.123119	0.067081	0.009316	0.031566	0.212613	0.003525	0.004571
2.3875	0.272344	0.022076	0.016176	0.009523	0.01037	0.042437	0.096035	0.037016	0.009144	0.122282	0.067294	0.009275	0.031396	0.213396	0.003477	0.004551
2.388	0.270667	0.021986	0.016089	0.009512	0.01038	0.042166	0.094501	0.036865	0.009094	0.121439	0.067508	0.009234	0.031225	0.214177	0.003429	0.004531
2.3885	0.268942	0.021902	0.016003	0.009501	0.010392	0.041898	0.092976	0.036711	0.009044	0.120589	0.067722	0.009194	0.031053	0.214955	0.003381	0.00451
2.389	0.267171	0.021826	0.015916	0.00949	0.010407	0.041634	0.091461	0.036555	0.008994	0.119733	0.067937	0.009154	0.03088	0.215729	0.003333	0.004489
2.3895	0.265355	0.021756	0.01583	0.009477	0.010426	0.041372	0.089956	0.036396	0.008943	0.118871	0.068153	0.009115	0.030706	0.216499	0.003285	0.004469
2.39	0.263497	0.021693	0.015745	0.009464	0.010448	0.041113	0.088461	0.036236	0.008892	0.118002	0.068369	0.009076	0.03053	0.217262	0.003237	0.004447
2.3905	0.261597	0.021637	0.015659	0.009451	0.010474	0.040858	0.086975	0.036074	0.00884	0.117127	0.068586	0.009037	0.030354	0.218019	0.00319	0.004426
2.391	0.259658	0.021587	0.015575	0.009437	0.010502	0.040606	0.0855	0.035909	0.008787	0.116246	0.068803	0.008999	0.030177	0.218768	0.003143	0.004405
2.3915	0.257682	0.021544	0.01549	0.009422	0.010535	0.040358	0.084035	0.035743	0.008734	0.115358	0.06902	0.008961	0.029999	0.21951	0.003096	0.004383
