datacolumns 2
datarows 179
time	R_hip_aa
2.32	7.01247836977
2.324	5.85336730904
2.328	5.19466098232
2.332	4.98185609478
2.336	5.0824928107
2.34	5.3127124742
2.344	5.46824219854
2.348	5.35474182984
2.352	4.81343771779
2.356	3.73942079809
2.36	2.09151320483
2.364	-0.106094813971
2.368	-2.7693228226
2.372	-5.76516418983
2.376	-8.92631724878
2.38	-12.0676933635
2.384	-15.0031636228
2.388	-16.8858313292
2.392	-18.1414794523
2.396	-18.5729410543
2.4	-18.1163301761
2.404	-16.7684730192
2.408	-14.5883268111
2.412	-11.694349302
2.416	-8.26019347398
2.42	-4.51458794011
2.424	-0.755550374605
2.428	2.68534315382
2.432	5.52867461106
2.436	7.58176378929
2.44	8.74057235413
2.444	8.98592055525
2.448	8.3616504475
2.452	6.94078241705
2.456	4.80096689392
2.46	2.01721595651
2.464	-1.32586235576
2.468	-4.99021561058
2.472	-9.00003003187
2.476	-13.2210853978
2.48	-17.5046552678
2.484	-21.7034020345
2.488	-25.6844407969
2.492	-29.3439267825
2.496	-32.6173188531
2.5	-35.4840256711
2.504	-37.9583993199
2.508	-40.0758408171
2.512	-41.8803594529
2.516	-43.4093561081
2.52	-44.6947273464
2.524	-45.7577704896
2.528	-46.6121361243
2.532	-47.2621422465
2.536	-47.7097917094
2.54	-47.954099013
2.544	-48.0009072206
2.548	-47.8546537934
2.552	-47.5281977424
2.556	-47.0349732869
2.56	-46.3920153524
2.564	-45.616684473
2.568	-44.7203062361
2.572	-43.7063977973
2.576	-42.5698078878
2.58	-41.3007112101
2.584	-39.891469133
2.588	-38.3388744213
2.592	-36.6485842801
2.596	-34.8320643696
2.6	-32.9113698742
2.604	-30.9154079111
2.608	-28.8814445813
2.612	-26.8535174035
2.616	-24.8759479315
2.62	-22.9945653131
2.624	-21.2499962942
2.628	-19.6788710169
2.632	-18.3103982007
2.636	-17.1644290858
2.64	-16.2485508705
2.644	-15.4978004217
2.648	-14.9670804379
2.652	-14.6403457536
2.656	-14.493606793
2.66	-14.4967684595
2.664	-14.617940075
2.668	-14.8274658809
2.672	-15.1022852666
2.676	-15.4266385072
2.68	-15.7967875898
2.684	-16.2192883074
2.688	-16.7108111662
2.692	-17.2964496674
2.696	-18.0064989499
2.7	-18.8726057699
2.704	-19.9259056154
2.708	-21.1927258369
2.712	-22.6912734289
2.716	-24.4289428137
2.72	-26.4031227593
2.724	-28.5989239545
2.728	-30.9906489199
2.732	-33.5448872191
2.736	-36.2255268005
2.74	-38.9984193406
2.744	-41.8344734655
2.748	-44.7129132495
2.752	-47.6184049858
2.756	-50.5417446385
2.76	-53.4779401289
2.764	-56.4244507161
2.768	-59.3833141722
2.772	-62.3570891759
2.776	-65.3471764727
2.78	-68.3499751903
2.784	-71.3580266842
2.788	-74.3576670128
2.792	-77.3299966997
2.796	-80.2518903436
2.8	-83.0968701537
2.804	-85.8372715266
2.808	-88.4468075404
2.812	-90.8980571786
2.816	-93.1656823475
2.82	-95.22778086
2.824	-97.0649450539
2.828	-98.6645251236
2.832	-100.015842992
2.836	-101.108974946
2.84	-101.934816801
2.844	-102.482360818
2.848	-102.739857924
2.852	-102.68786268
2.856	-102.297802013
2.86	-101.535089006
2.864	-100.354747815
2.868	-98.7053965773
2.872	-96.5304285685
2.876	-93.7708913592
2.88	-90.3019420856
2.884	-86.090223283
2.888	-81.1288557633
2.892	-75.4050681236
2.896	-68.9335209319
2.9	-61.7674101654
2.904	-53.9977684634
2.908	-45.7559382052
2.912	-37.2074096297
2.916	-28.5444021246
2.92	-20.3826852966
2.924	-12.6997660756
2.928	-5.67010645934
2.932	0.539543253118
2.936	5.81248789846
2.94	10.077791751
2.944	13.3069342103
2.948	15.5223649581
2.952	16.778095662
2.956	17.1744530411
2.96	17.7678536675
2.964	16.2067431349
2.968	14.5170220396
2.972	12.8197135416
2.976	11.0284043319
2.98	9.19252159715
2.984	7.3410098356
2.988	5.48174252683
2.992	3.60345946797
2.996	1.67980590259
3	-0.325042051953
3.004	-2.44970427404
3.008	-4.72839680646
3.012	-7.18369588964
3.016	-9.81973802853
3.02	-12.6163373964
3.024	-15.5245406289
3.028	-18.4720766909
3.032	-21.3438033747
