datacolumns 17
datarows 1739
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
2.19	0.004982	0.003363	0.011235	0.00927	0.005468	0.010657	0.008897	0.026587	0.00997	0.014675	0	0.015548	0.007537	0.298994	0.001654	0.0016
2.1905	0.004974	0.00337	0.011198	0.009225	0.005487	0.01074	0.008848	0.026568	0.009939	0.014717	0	0.015456	0.007468	0.299129	0.001666	0.001601
2.191	0.004966	0.003377	0.01116	0.009179	0.005507	0.010825	0.008799	0.026549	0.009909	0.014758	0	0.015362	0.007399	0.299252	0.001678	0.001602
2.1915	0.004959	0.003383	0.011122	0.009133	0.005527	0.010911	0.008749	0.026529	0.009879	0.014799	0	0.015268	0.007331	0.299361	0.00169	0.001603
2.192	0.004953	0.00339	0.011084	0.009087	0.005547	0.011	0.008699	0.026508	0.00985	0.014838	0	0.015172	0.007262	0.299456	0.001702	0.001605
2.1925	0.004947	0.003397	0.011046	0.00904	0.005569	0.011092	0.008648	0.026486	0.009821	0.014877	0	0.015076	0.007193	0.299536	0.001715	0.001606
2.193	0.004941	0.003404	0.011007	0.008993	0.00559	0.011185	0.008597	0.026464	0.009793	0.014915	0	0.01498	0.007125	0.2996	0.001729	0.001608
2.1935	0.004936	0.003411	0.010969	0.008945	0.005613	0.011281	0.008546	0.02644	0.009766	0.014952	0	0.014882	0.007057	0.299648	0.001742	0.00161
2.194	0.004932	0.003417	0.01093	0.008897	0.005636	0.011379	0.008495	0.026416	0.009739	0.014987	0	0.014784	0.006989	0.299677	0.001756	0.001612
2.1945	0.004928	0.003424	0.010891	0.008848	0.005659	0.011479	0.008443	0.02639	0.009712	0.015022	0	0.014686	0.006922	0.299688	0.001771	0.001615
2.195	0.004924	0.003431	0.010852	0.008799	0.005683	0.011581	0.008391	0.026363	0.009686	0.015055	0	0.014586	0.006854	0.299679	0.001786	0.001618
2.1955	0.004922	0.003437	0.010813	0.008749	0.005708	0.011686	0.008339	0.026335	0.00966	0.015087	0	0.014487	0.006788	0.299649	0.001801	0.001621
2.196	0.004919	0.003444	0.010774	0.008699	0.005733	0.011793	0.008286	0.026306	0.009634	0.015118	0	0.014387	0.006721	0.299596	0.001816	0.001624
2.1965	0.004918	0.00345	0.010734	0.008649	0.005759	0.011902	0.008234	0.026276	0.009609	0.015147	0	0.014286	0.006655	0.29952	0.001832	0.001627
2.197	0.004917	0.003457	0.010695	0.008598	0.005786	0.012014	0.008181	0.026244	0.009584	0.015174	0	0.014185	0.006589	0.29942	0.001848	0.001631
