datacolumns 2
datarows 78
time	R_ankle_fe
3.164	5.00070394843
3.168	2.74772964543
3.172	0.388902769957
3.176	-1.92445310095
3.18	-3.97428859439
3.184	-5.64413708139
3.188	-6.86416674171
3.192	-7.60779910649
3.196	-7.88497043854
3.2	-7.73226128049
3.204	-7.20553887499
3.208	-6.37342802102
3.212	-5.31203710334
3.216	-4.10048565588
3.22	-2.81675644315
3.224	-1.53367644421
3.228	-0.315196972489
3.232	0.786619360314
3.236	-0.462538221026
3.24	-3.25087293396
3.244	-7.78633463333
3.248	-14.2837978682
3.252	-22.9501840556
3.256	-33.8275920894
3.26	-46.5634816504
3.264	-60.5913503248
3.268	-75.2716992475
3.272	-90.085510102
3.276	-104.709496398
3.28	-118.770480002
3.284	-131.867310855
3.288	-143.832718901
3.292	-154.62246481
3.296	-164.212895336
3.3	-172.569882244
3.304	-179.690853521
3.308	-185.58499251
3.312	-190.22667991
3.316	-193.609375357
3.32	-195.734856219
3.324	-196.593008394
3.328	-196.146541719
3.332	-194.343817679
3.336	-191.104431561
3.34	-186.326321141
3.344	-179.902368555
3.348	-171.74124288
3.352	-161.816117513
3.356	-150.18992099
3.36	-137.008240238
3.364	-122.3915082
3.368	-106.905384744
3.372	-91.0514216908
3.376	-75.5125470636
3.38	-60.8151400998
3.384	-47.3828779737
3.388	-35.5863521163
3.392	-25.6519292369
3.396	-17.6880264709
3.4	-11.6672495655
3.404	-7.40548454529
3.408	1.47984185553
3.412	0.444755281466
3.416	-0.403430879915
3.42	-1.04712830779
3.424	-1.47435933418
3.428	-1.68004950092
3.432	-1.68713837523
3.436	-1.52540568026
3.44	-1.24510062263
3.444	-0.885240625322
3.448	-0.574041399641
3.452	-0.238666506339
3.456	0.143687761812
3.46	0.572088670553
3.464	1.07976903996
3.468	1.69926352804
3.472	2.30619649056
