datacolumns 17
datarows 947
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
2.906	0.08635	0.007472	0.0076	0.006508	0.014185	0.016419	0.146596	0.017705	0.008759	0.035476	0.05669	0.005918	0.038309	0.133957	0.002392	0.001752
2.9065	0.086002	0.007431	0.007574	0.006502	0.014101	0.016234	0.145102	0.017671	0.008714	0.035215	0.057234	0.005917	0.037707	0.132586	0.002354	0.001748
2.907	0.085644	0.007391	0.007549	0.006496	0.014022	0.01605	0.14362	0.017638	0.008667	0.034954	0.057775	0.005915	0.037107	0.131227	0.002317	0.001744
2.9075	0.085276	0.007353	0.007524	0.006489	0.013949	0.015868	0.142151	0.017604	0.00862	0.034692	0.05831	0.005914	0.03651	0.12988	0.00228	0.00174
2.908	0.084897	0.007316	0.007499	0.006483	0.013882	0.015686	0.140693	0.017571	0.008572	0.034431	0.058841	0.005912	0.035915	0.128544	0.002243	0.001737
2.9085	0.084506	0.00728	0.007474	0.006477	0.013821	0.015505	0.139247	0.017538	0.008522	0.034169	0.059365	0.005909	0.035322	0.127221	0.002206	0.001734
2.909	0.084104	0.007245	0.007449	0.00647	0.013766	0.015326	0.137813	0.017505	0.008472	0.033907	0.059884	0.005907	0.034733	0.125911	0.002169	0.001731
2.9095	0.08369	0.007211	0.007423	0.006464	0.013718	0.015148	0.136389	0.017472	0.00842	0.033644	0.060396	0.005904	0.034146	0.124613	0.002133	0.001728
2.91	0.083264	0.007179	0.007397	0.006457	0.013677	0.014971	0.134975	0.017439	0.008368	0.033381	0.060901	0.0059	0.033562	0.123328	0.002096	0.001726
2.9105	0.082827	0.007148	0.007372	0.00645	0.013642	0.014795	0.133572	0.017406	0.008315	0.033118	0.061399	0.005896	0.032982	0.122056	0.002061	0.001724
