datacolumns 2
datarows 79
time	R_knee_fe
3.5	-6.09311222203
3.504	-35.8151197671
3.508	-63.7505626195
3.512	-88.3428220442
3.516	-108.466657147
3.52	-123.611274268
3.524	-133.610866919
3.528	-138.512300319
3.532	-138.944155218
3.536	-135.702655191
3.54	-129.614987343
3.544	-121.442744341
3.548	-111.833166312
3.552	-101.313603744
3.556	-90.315372042
3.56	-79.2088208737
3.564	-68.3327655571
3.568	-58.0074901347
3.572	-48.5287393236
3.576	-43.2991514255
3.58	-35.5164933167
3.584	-26.1991961466
3.588	-14.1257881742
3.592	1.04287017048
3.596	18.6680992239
3.6	37.8226242269
3.604	57.9162588327
3.608	78.7135511852
3.612	99.7479574305
3.616	120.083104996
3.62	138.799614892
3.624	155.346821761
3.628	169.462960674
3.632	180.962863651
3.636	189.614591627
3.64	195.19611831
3.644	197.689625337
3.648	197.3238471
3.652	194.485070616
3.656	189.562460908
3.66	182.885558545
3.664	174.848856019
3.668	165.919879257
3.672	156.43727779
3.676	146.471538205
3.68	136.036303385
3.684	124.947617012
3.688	112.968757681
3.692	99.8030058749
3.696	85.4059206687
3.7	69.3836522505
3.704	52.2409552878
3.708	37.7484243728
3.712	24.4748895505
3.716	12.1801169939
3.72	0.947643778036
3.724	-10.4658595531
3.728	-18.8395863181
3.732	-24.2818314542
3.736	-27.1239065887
3.74	-28.1111381503
3.744	-28.257401849
3.748	-28.4349346529
3.752	-18.1865029044
3.756	-23.3557777959
3.76	-26.8959459784
3.764	-28.5260699362
3.768	-28.123935459
3.772	-25.7998217158
3.776	-21.9270739836
3.78	-17.0384017413
3.784	-11.9239853389
3.788	-7.36519804534
3.792	-4.01902128416
3.796	-2.3112322239
3.8	-2.79245057438
3.804	-5.30982500739
3.808	-9.05941809972
3.812	-13.3958912425
