datacolumns 2
datarows 102
time	R_hip_aa
3.476	-35.1174696602
3.48	-34.3919349724
3.484	-32.2238853773
3.488	-28.8445043856
3.492	-24.4350091925
3.496	-19.5238721799
3.5	-14.3847907154
3.504	-9.21216065082
3.508	-4.13114637664
3.512	0.777650643242
3.516	5.4512792343
3.52	9.85005307153
3.524	13.923299715
3.528	17.6162177425
3.532	20.8703054178
3.536	23.6173408617
3.54	25.7621871815
3.544	24.338948022
3.548	22.259623929
3.552	18.4537471033
3.556	12.8478458303
3.56	5.68644897323
3.564	-1.90930703011
3.568	-8.58405856374
3.572	-13.7362047622
3.576	-17.6331580743
3.58	-22.5682822198
3.584	-28.1573214987
3.588	-33.4448949156
3.592	-38.0380498309
3.596	-42.7473114914
3.6	-49.4881794617
3.604	-58.9758139295
3.608	-69.4789035811
3.612	-78.6499362215
3.616	-84.4873729377
3.62	-86.6312220301
3.624	-85.2296752325
3.628	-80.9551599648
3.632	-74.7215171463
3.636	-67.5130854169
3.64	-60.2078679704
3.644	-53.4853701911
3.648	-47.8568473838
3.652	-43.6581301627
3.656	-41.034499218
3.66	-39.9440113671
3.664	-40.1850493694
3.668	-41.4436708056
3.672	-43.3339867958
3.676	-45.4246934357
3.68	-47.2858048572
3.684	-48.5366976146
3.688	-48.8904806335
3.692	-48.1459278748
3.696	-46.2221917202
3.7	-43.1535564046
3.704	-39.0968319138
3.708	-34.3404297993
3.712	-29.2723911833
3.716	-24.3366652817
3.72	-19.9622947738
3.724	-16.5409225728
3.728	-14.3855400856
3.732	-13.702044634
3.736	-14.5601627439
3.74	-16.7005880099
3.744	-19.6835056907
3.748	-23.5009181855
3.752	-27.7989041232
3.756	-32.0952305496
3.76	-36.0214049116
3.764	-39.2950237575
3.768	-41.7465550118
3.772	-46.9925388779
3.776	-51.991311696
3.78	-55.9137770022
3.784	-58.8475458196
3.788	-58.6404810212
3.792	-59.4660645435
3.796	-61.8890970887
3.8	-65.7382186345
3.804	-70.4418681436
3.808	-75.2567531437
3.812	-79.2759658162
3.816	-85.1889641255
3.82	-83.669434741
3.824	-81.2074529966
3.828	-77.9488733672
3.832	-74.0673118275
3.836	-69.710038888
3.84	-64.9930344672
3.844	-59.9260960707
3.848	-54.2814052248
3.852	-47.9508207153
3.856	-40.7862193483
3.86	-32.6605586737
3.864	-23.5366346034
3.868	-13.5349577759
3.872	-2.98333213957
3.876	7.56897507375
3.88	17.3882756834
