datacolumns 17
datarows 1123
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
3.346	0.071823	0.063052	0.007958	0.020541	0.029353	0.092355	0.060033	0.006742	0.002291	0.008077	0.100521	0.003605	0.002836	0.013833	0.00287	0.002106
3.3465	0.071709	0.06305	0.008011	0.020797	0.029291	0.092756	0.060442	0.006773	0.00229	0.007989	0.100532	0.003685	0.002859	0.013695	0.002886	0.002108
3.347	0.071603	0.063051	0.008065	0.021055	0.029222	0.093156	0.060848	0.006804	0.002289	0.007903	0.100544	0.003767	0.002882	0.01356	0.002902	0.00211
3.3475	0.071506	0.063057	0.00812	0.021316	0.029147	0.093556	0.06125	0.006836	0.002288	0.007819	0.100558	0.003852	0.002905	0.013426	0.002918	0.002113
3.348	0.071416	0.063067	0.008177	0.02158	0.029066	0.093956	0.061646	0.006868	0.002287	0.007737	0.100573	0.003939	0.002929	0.013293	0.002935	0.002115
3.3485	0.071335	0.063081	0.008235	0.021847	0.028979	0.094355	0.062036	0.006901	0.002286	0.007658	0.100591	0.004028	0.002954	0.013163	0.002952	0.002118
3.349	0.07126	0.0631	0.008295	0.022117	0.028886	0.094754	0.06242	0.006934	0.002285	0.007582	0.10061	0.00412	0.002978	0.013034	0.002969	0.002121
3.3495	0.071194	0.063122	0.008356	0.02239	0.028787	0.095153	0.062796	0.006967	0.002284	0.007507	0.100631	0.004214	0.003003	0.012907	0.002986	0.002124
3.35	0.071134	0.063148	0.008419	0.022665	0.028682	0.09555	0.063164	0.007001	0.002284	0.007435	0.100653	0.004311	0.003029	0.012782	0.003004	0.002127
3.3505	0.071081	0.063179	0.008484	0.022944	0.028572	0.095946	0.063523	0.007036	0.002283	0.007365	0.100678	0.00441	0.003054	0.012658	0.003022	0.00213
3.351	0.071034	0.063214	0.00855	0.023226	0.028457	0.096341	0.063872	0.00707	0.002282	0.007297	0.100704	0.004512	0.00308	0.012535	0.00304	0.002134
3.3515	0.070994	0.063253	0.008617	0.023512	0.028336	0.096734	0.06421	0.007106	0.002281	0.007231	0.100732	0.004617	0.003107	0.012415	0.003058	0.002137
3.352	0.07096	0.063297	0.008686	0.0238	0.02821	0.097126	0.064537	0.007141	0.002281	0.007168	0.100763	0.004724	0.003133	0.012295	0.003077	0.002141
3.3525	0.070932	0.063344	0.008757	0.024091	0.028079	0.097516	0.064851	0.007177	0.00228	0.007106	0.100795	0.004834	0.00316	0.012177	0.003095	0.002145
3.353	0.070909	0.063397	0.008829	0.024386	0.027943	0.097903	0.065153	0.007214	0.002279	0.007046	0.100828	0.004946	0.003186	0.012061	0.003114	0.002149
3.3535	0.07089	0.063453	0.008903	0.024684	0.027802	0.098288	0.065441	0.00725	0.002278	0.006988	0.100864	0.005061	0.003213	0.011946	0.003133	0.002153
3.354	0.070877	0.063514	0.008979	0.024985	0.027657	0.09867	0.065715	0.007287	0.002278	0.006932	0.100901	0.005179	0.003241	0.011833	0.003152	0.002157
3.3545	0.070868	0.063579	0.009056	0.025289	0.027507	0.09905	0.065975	0.007325	0.002277	0.006878	0.10094	0.0053	0.003268	0.01172	0.003171	0.002161
3.355	0.070862	0.063649	0.009134	0.025596	0.027353	0.099426	0.066219	0.007363	0.002276	0.006825	0.10098	0.005423	0.003296	0.01161	0.00319	0.002165
3.3555	0.07086	0.063724	0.009215	0.025907	0.027195	0.099798	0.066447	0.007401	0.002276	0.006774	0.101022	0.005549	0.003323	0.0115	0.00321	0.002169
3.356	0.070861	0.063802	0.009296	0.02622	0.027034	0.100166	0.066659	0.00744	0.002275	0.006725	0.101065	0.005678	0.003351	0.011392	0.003229	0.002173
3.3565	0.070865	0.063885	0.00938	0.026537	0.026868	0.10053	0.066854	0.007479	0.002274	0.006677	0.10111	0.00581	0.003378	0.011286	0.003249	0.002178
3.357	0.070872	0.063973	0.009465	0.026857	0.026699	0.10089	0.067031	0.007519	0.002274	0.006631	0.101155	0.005944	0.003406	0.01118	0.003268	0.002182
3.3575	0.07088	0.064065	0.009551	0.027179	0.026526	0.101244	0.067191	0.007558	0.002273	0.006586	0.101201	0.006082	0.003434	0.011076	0.003288	0.002186
3.358	0.07089	0.064161	0.009639	0.027505	0.02635	0.101594	0.067332	0.007599	0.002272	0.006543	0.101248	0.006222	0.003462	0.010973	0.003307	0.002191
3.3585	0.070901	0.064262	0.009729	0.027834	0.026171	0.101938	0.067455	0.007639	0.002272	0.006501	0.101296	0.006365	0.003489	0.010871	0.003327	0.002195
3.359	0.070914	0.064366	0.00982	0.028165	0.025989	0.102277	0.067559	0.00768	0.002271	0.00646	0.101343	0.006511	0.003517	0.010771	0.003347	0.002199
3.3595	0.070927	0.064475	0.009912	0.028499	0.025804	0.10261	0.067644	0.007721	0.00227	0.006421	0.101391	0.00666	0.003545	0.010672	0.003366	0.002204
3.36	0.070941	0.064587	0.010006	0.028836	0.025617	0.102938	0.06771	0.007763	0.00227	0.006382	0.101439	0.006812	0.003572	0.010574	0.003386	0.002208
3.3605	0.070955	0.064704	0.010101	0.029176	0.025426	0.103261	0.067757	0.007805	0.002269	0.006345	0.101486	0.006967	0.003599	0.010477	0.003405	0.002213
