datacolumns 2
datarows 101
time	R_ankle_fe
2.656	3.4010038023
2.66	1.69222848033
2.664	-0.0214471612098
2.668	-1.69648076924
2.672	-3.26159075189
2.676	-4.65148636822
2.68	-5.82935366443
2.684	-6.73377956977
2.688	-7.32052607764
2.692	-7.58284252858
2.696	-7.55090676033
2.7	-7.24858918065
2.704	-6.70543111773
2.708	-5.95466014117
2.712	-5.03223938816
2.716	-3.97665866535
2.72	-2.82907358749
2.724	-1.63340787334
2.728	-5.94220429004
2.732	-8.26656870248
2.736	-11.3129823596
2.74	-14.9260594319
2.744	-18.9879528236
2.748	-23.4242369713
2.752	-28.1320499257
2.756	-33.0028827652
2.76	-38.0505895244
2.764	-43.413243988
2.768	-49.5851610747
2.772	-56.594805425
2.776	-64.1637829928
2.78	-71.8739559375
2.784	-79.1784400827
2.788	-85.72836345
2.792	-91.4442925131
2.796	-96.4312716756
2.8	-100.89077723
2.804	-105.022283145
2.808	-108.948911328
2.812	-112.689801809
2.816	-116.256602216
2.82	-119.710489673
2.824	-123.118828918
2.828	-126.536715557
2.832	-129.970056601
2.836	-133.373720501
2.84	-136.711956913
2.844	-139.971481904
2.848	-143.15082364
2.852	-146.237195059
2.856	-149.188252201
2.86	-151.955879128
2.864	-154.497208046
2.868	-156.776945484
2.872	-158.745720789
2.876	-160.341566112
2.88	-161.496727857
2.884	-162.139397973
2.888	-162.193493994
2.892	-161.582542034
2.896	-160.218028336
2.9	-158.014169984
2.904	-154.881854739
2.908	-150.752863178
2.912	-145.561718088
2.916	-139.260400617
2.92	-131.831621081
2.924	-123.31411938
2.928	-113.804370689
2.932	-103.471434418
2.936	-92.5635297525
2.94	-81.3831258852
2.944	-70.2438472322
2.948	-59.3349456485
2.952	-49.1260638855
2.956	-39.8659871976
2.96	-31.7260092533
2.964	-24.8707902617
2.968	-19.1994862018
2.972	-14.6867667866
2.976	-11.2384917139
2.98	-8.66831192178
2.984	-6.76947506561
2.988	-2.00076788329
2.992	-2.53221598623
2.996	-2.76010793504
3	-2.69772763208
3.004	-2.3903982532
3.008	-1.90276153741
3.012	-1.30165292367
3.016	-0.666888399097
3.02	-0.0541662142067
3.024	0.489449582859
3.028	0.917875634692
3.032	1.22408875509
3.036	1.38833697219
3.04	1.39681135469
3.044	1.24731021289
3.048	0.947171599966
3.052	0.52611438958
3.056	0.0332512758438
