datacolumns 2
datarows 101
time	R_hip_fe
2.656	27.4476090348
2.66	3.21355810431
2.664	-19.0551285595
2.668	-39.6405291495
2.672	-58.0277838544
2.676	-73.763062538
2.68	-87.0062320341
2.684	-96.8407024514
2.688	-102.569974788
2.692	-104.436384114
2.696	-102.774340443
2.7	-97.8920040717
2.704	-90.0648470417
2.708	-79.5376262365
2.712	-66.5534731445
2.716	-51.402614003
2.72	-34.4782630371
2.724	-16.3225465674
2.728	-9.94233232888
2.732	-3.54292460632
2.736	-1.47161943542
2.74	-3.98515104774
2.744	-13.0483170431
2.748	-29.1178376605
2.752	-51.600729379
2.756	-77.7135409808
2.76	-102.779043179
2.764	-116.668392169
2.768	-117.811001126
2.772	-108.589605035
2.776	-94.5228903814
2.78	-80.9868018358
2.784	-71.780332528
2.788	-68.827700615
2.792	-71.7229649964
2.796	-78.3941563396
2.8	-86.3606575196
2.804	-93.3922183312
2.808	-98.6848794923
2.812	-102.065043196
2.816	-103.723889684
2.82	-103.889611738
2.824	-102.642871959
2.828	-100.051817493
2.832	-96.3022985202
2.836	-91.6938992244
2.84	-86.6116971681
2.844	-81.4284312249
2.848	-76.4665335679
2.852	-71.9906632554
2.856	-68.1537518242
2.86	-64.9795639175
2.864	-62.3648903847
2.868	-60.1309122032
2.872	-58.0999098629
2.876	-56.144325534
2.88	-54.1754808471
2.884	-52.0951766537
2.888	-49.7824621122
2.892	-47.0820283447
2.896	-43.773265705
2.9	-39.5855432294
2.904	-34.2419282243
2.908	-27.764175333
2.912	-20.2270974139
2.916	-11.6771952729
2.92	-2.48968578136
2.924	6.75617359111
2.928	15.311770764
2.932	22.3259139258
2.936	27.065262508
2.94	28.9601769432
2.944	28.5113220305
2.948	30.9476620428
2.952	29.9402427445
2.956	25.5797507517
2.96	18.7019252156
2.964	8.3883405921
2.968	0.948783064041
2.972	-2.10711803307
2.976	-0.558513521063
2.98	4.89348173986
2.984	12.7882461649
2.988	38.7103130568
2.992	40.6440927096
2.996	42.2888433461
3	43.3487091568
3.004	44.0236029525
3.008	44.7461881922
3.012	45.7679616269
3.016	48.0020667927
3.02	50.9054239848
3.024	53.5610303421
3.028	54.6703235791
3.032	53.8433984269
3.036	50.3192048554
3.04	43.6856316865
3.044	34.0754109537
3.048	21.5930042077
3.052	7.10029746451
3.056	-8.09179398859
