datacolumns 17
datarows 132
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
2.528 0.120817 0.089948 0.006046 0.006923 0.015999 0.084841 0.033627 0.009566 0.002709 0.028944 0.130462 0.00345 0.015118 0.085013 0.004619 0.004042
2.532 0.113051 0.087825 0.005824 0.006418 0.016163 0.086521 0.032194 0.009005 0.002656 0.024149 0.123474 0.003313 0.014053 0.078693 0.0044 0.003724
2.536 0.104816 0.084763 0.005618 0.005873 0.016288 0.08869 0.030842 0.008483 0.00262 0.020121 0.115483 0.003154 0.013128 0.072483 0.004161 0.003423
2.54 0.09612 0.080772 0.005429 0.005287 0.016359 0.091365 0.02948 0.008005 0.0026 0.016773 0.10668 0.002963 0.012399 0.066329 0.003907 0.00314
2.544 0.087111 0.075961 0.005255 0.004659 0.016367 0.094527 0.028066 0.00758 0.002595 0.014037 0.097315 0.00273 0.011909 0.060253 0.003646 0.002874
2.548 0.078024 0.070536 0.005094 0.003991 0.016306 0.098117 0.02659 0.007215 0.002603 0.011857 0.087649 0.002448 0.011693 0.054331 0.003387 0.00263
2.552 0.069053 0.064717 0.004938 0.003285 0.016173 0.102035 0.025047 0.006914 0.002621 0.01019 0.077917 0.002114 0.011772 0.04868 0.003139 0.002407
2.556 0.060333 0.058749 0.004783 0.002544 0.015962 0.106183 0.023452 0.00668 0.002647 0.008983 0.068338 0.00173 0.012155 0.043402 0.002909 0.002207
2.56 0.051987 0.052912 0.004625 0.001768 0.015678 0.1105 0.021808 0.006512 0.002677 0.008175 0.059138 0.0013 0.012845 0.038573 0.002702 0.002032
2.564 0.044122 0.047459 0.004462 0.000958 0.015332 0.11505 0.02011 0.006408 0.00271 0.007701 0.050536 0.000828 0.013843 0.034239 0.002524 0.001882
2.568 0.036832 0.042585 0.00429 0.000112 0.014953 0.11999 0.018352 0.006371 0.002744 0.007501 0.042699 0.00032 0.015147 0.030406 0.002379 0.001754
2.572 0.030179 0.038431 0.004112 0.0 0.014578 0.125516 0.016527 0.00641 0.002776 0.00752 0.035742 0.0 0.016748 0.027052 0.002268 0.001648
2.576 0.024199 0.035093 0.003928 0.0 0.014239 0.131793 0.014651 0.006531 0.002804 0.007709 0.02973 0.0 0.018622 0.024128 0.002195 0.001563
2.58 0.018913 0.032626 0.003739 0.0 0.013965 0.138905 0.012749 0.006747 0.002827 0.008022 0.024706 0.0 0.020725 0.021561 0.002161 0.001498
2.584 0.014355 0.031052 0.003541 0.0 0.013776 0.146938 0.010851 0.007073 0.002845 0.00841 0.020732 0.0 0.022997 0.019272 0.002168 0.001454
2.588 0.010569 0.030373 0.003336 0.0 0.013682 0.155957 0.00899 0.007533 0.002862 0.008816 0.017911 0.0 0.025359 0.017201 0.002219 0.00143
2.592 0.007603 0.030561 0.003123 0.0 0.013685 0.16599 0.007193 0.008157 0.002885 0.009181 0.016357 0.0 0.027715 0.01532 0.002318 0.001429
2.596 0.005501 0.031556 0.002904 0.0 0.01378 0.176984 0.005491 0.00898 0.002922 0.009452 0.016173 0.0 0.029964 0.013632 0.002467 0.001448
2.6 0.004313 0.033265 0.002683 0.0 0.013963 0.188773 0.00392 0.010032 0.002978 0.009592 0.017441 0.0 0.032005 0.012135 0.002669 0.00149
2.604 0.004093 0.035561 0.002462 0.0 0.014239 0.201049 0.002515 0.011339 0.003057 0.00959 0.020233 0.0 0.033747 0.01083 0.002922 0.001553
2.608 0.004899 0.038301 0.002249 0.0 0.01461 0.213463 0.001312 0.012928 0.00316 0.009452 0.024625 0.0 0.035121 0.009722 0.003227 0.001636
2.612 0.006797 0.041345 0.002058 0.0 0.015082 0.225743 0.000345 0.014834 0.003288 0.009199 0.030739 0.000595 0.036134 0.008818 0.003579 0.001737
2.616 0.009866 0.044598 0.001907 0.0 0.015664 0.237721 0.0 0.017095 0.003442 0.008861 0.038729 0.002495 0.03683 0.008134 0.003976 0.001853
2.62 0.014186 0.048 0.001817 0.00051 0.016366 0.24934 0.0 0.019737 0.003619 0.00847 0.048731 0.005022 0.037245 0.007679 0.004412 0.001979
2.624 0.01984 0.05153 0.001808 0.0041 0.017193 0.260402 0.0 0.022771 0.003816 0.008057 0.060849 0.008262 0.037391 0.007461 0.004884 0.002109
