datacolumns 2
datarows 95
time	R_knee_fe
2.708	-377.771450079
2.712	-533.997545863
2.716	-589.611389575
2.72	-461.29228595
2.724	-319.596086848
2.728	-264.452549023
2.732	-266.881574093
2.736	-253.611290196
2.74	-198.0500661
2.744	-127.105089918
2.748	-69.3897865692
2.752	-34.5985999763
2.756	-20.0051929064
2.76	-18.8233604978
2.764	-24.6600773967
2.768	-32.8531593161
2.772	-40.4829790962
2.776	-46.002195627
2.78	-48.8076234835
2.784	-48.8685967248
2.788	-46.4568317264
2.792	-41.9762052549
2.796	-44.7047696716
2.8	-45.1274065012
2.804	-44.8482923921
2.808	-43.5480626382
2.812	-39.7507236326
2.816	-31.1870896529
2.82	-15.7353912445
2.824	6.92296881032
2.828	37.4137167879
2.832	71.2147181597
2.836	104.205100714
2.84	132.968424276
2.844	155.901454835
2.848	173.834218712
2.852	188.685522856
2.856	202.002326526
2.86	214.400343416
2.864	225.922148157
2.868	236.153051018
2.872	245.052244835
2.876	253.077386202
2.88	260.59106016
2.884	267.574676738
2.888	273.775088244
2.892	278.889369348
2.896	282.720407516
2.9	285.208226911
2.904	286.383012177
2.908	286.290679902
2.912	284.760217759
2.916	281.778055906
2.92	277.550401856
2.924	272.124412961
2.928	265.569187007
2.932	257.916624302
2.936	249.103536598
2.94	239.009356677
2.944	227.547111432
2.948	214.71890322
2.952	200.593032066
2.956	185.202887051
2.96	168.485946737
2.964	150.564798571
2.968	131.44435745
2.972	111.154330115
2.976	89.7514053388
2.98	67.481293309
2.984	44.7497374558
2.988	23.0445718913
2.992	5.47413954333
2.996	-11.3373572064
3	-27.4194351591
3.004	-43.7382147673
3.008	-57.52220519
3.012	-66.5052259706
3.016	-70.4662744187
3.02	-70.1504372159
3.024	-66.5995336218
3.028	-60.9117842371
3.032	-43.5377618651
3.036	-41.3343360812
3.04	-37.6586758605
3.044	-33.3739858914
3.048	-29.1555346583
3.052	-25.3996066428
3.056	-22.229452394
3.06	-19.5244263169
3.064	-17.4852317399
3.068	-15.8138461282
3.072	-14.5162060319
3.076	-13.7238963892
3.08	-13.5662223856
3.084	-14.0780779599
