datacolumns 2
datarows 90
time	R_hip_aa
2.512	-57.2518533075
2.516	-36.7043239237
2.52	-16.3804416909
2.524	2.0950851898
2.528	17.5682330845
2.532	29.4544891413
2.536	37.9957211904
2.54	43.7670266593
2.544	47.0895069769
2.548	48.794318224
2.552	49.7017406781
2.556	50.481850472
2.56	51.6141809844
2.564	53.3921342693
2.568	55.9495293565
2.572	59.2420858762
2.576	63.2295231355
2.58	68.1585596129
2.584	73.784051552
2.588	79.8219868394
2.592	85.9296865753
2.596	78.3202127706
2.6	79.5236133816
2.604	79.1773724905
2.608	77.1458464612
2.612	73.2184549063
2.616	66.4124473855
2.62	56.2437430654
2.624	43.2145341099
2.628	28.5103867645
2.632	13.2082216667
2.636	-4.47109574934
2.64	-25.6939763806
2.644	-49.1036068483
2.648	-72.185581455
2.652	-92.4673957278
2.656	-108.249830702
2.66	-118.904340714
2.664	-124.489071361
2.668	-125.629139575
2.672	-123.471167017
2.676	-119.5816876
2.68	-115.770613232
2.684	-113.364065832
2.688	-112.845681594
2.692	-113.873051655
2.696	-115.51303797
2.7	-116.544274493
2.704	-115.769542271
2.708	-112.199419968
2.712	-105.213103404
2.716	-94.7300890448
2.72	-81.396414599
2.724	-66.680484713
2.728	-52.7663555459
2.732	-42.2115051082
2.736	-37.3896347027
2.74	-41.1507712973
2.744	-53.279778567
2.748	-71.3416560538
2.752	-91.4486741027
2.756	-107.579927017
2.76	-115.149034895
2.764	-111.285735925
2.768	-94.9385797996
2.772	-67.8465151531
2.776	-34.1407915008
2.78	0.600706391637
2.784	31.0255684777
2.788	53.6151168185
2.792	71.7483386668
2.796	75.0716212218
2.8	74.7745932402
2.804	73.726992059
2.808	73.9595584998
2.812	76.7853574812
2.816	80.9741958471
2.82	84.7168776857
2.824	86.3938091239
2.828	84.9079174633
2.832	80.0386409318
2.836	72.5161714518
2.84	63.5706238875
2.844	54.9943829947
2.848	47.4261904842
2.852	41.3684188472
2.856	37.0536613658
2.86	34.2880272765
2.864	32.4739943769
2.868	30.6558184372
