datacolumns 24
datarows 90
time	addbrev_r	addlong_r	addmag1_r	addmag2_r	addmag3_r	bicfemlh_r	gmax1_r	gmax2_r	gmax3_r	gmed1_r	gmed2_r	gmed3_r	gmin1_r	gmin2_r	gmin3_r	gra_r	illiacus_r	psoas_r	recfem_r	sar_r	semimem_r	semiten_r	tfl_r
2.512	-0.0086950020557	0.00558853802127	-0.0270082237121	-0.0414548851937	-0.0438159350499	-0.0512456672764	-0.0303475776972	-0.0343769067293	-0.049595905191	-0.00981142271949	-0.021959391292	-0.0288673208027	-0.0071943072362	-0.0101004382983	-0.014686956002	-0.0193669596862	0.0382884559701	0.0327562338574	0.046769618758	0.0803804147145	-0.0514926880554	-0.0555192070297	0.053813478837
2.516	-0.00828219279602	0.0063498192149	-0.0265243281806	-0.041133798283	-0.0434202166627	-0.0514887582806	-0.0310928992866	-0.0350402899987	-0.0501449612968	-0.0104496540254	-0.0226485211779	-0.0295156778185	-0.00762707814302	-0.010610034234	-0.0152390998482	-0.0187659574555	0.0381721383651	0.0327831257475	0.0469054473953	0.0801767365281	-0.0517647292111	-0.0558280165472	0.0527535365404
2.52	-0.00784613144721	0.00715197156487	-0.0260093246578	-0.0407877886756	-0.0429911198558	-0.0517405822758	-0.0318687499274	-0.0357369697429	-0.0507283933559	-0.0111093036515	-0.0233603138468	-0.0301841199532	-0.0080708747415	-0.0111330096827	-0.0158069959005	-0.0181286281731	0.0380570339555	0.0328146447086	0.0470455464312	0.0799348823918	-0.0520403308837	-0.0561395137049	0.0516587262765
2.524	-0.00738702421154	0.007991739426	-0.0254611993927	-0.0404140044044	-0.0425265575245	-0.0519980444611	-0.0326728514704	-0.0364646189582	-0.0513433136463	-0.0117898599259	-0.024093821359	-0.0308715009131	-0.00852612830763	-0.0116694562059	-0.016390421266	-0.0174560682234	0.0379406176559	0.0328474532038	0.0471857981712	0.079651327998	-0.0523160761168	-0.0564499327786	0.050529111098
2.528	-0.00690556872877	0.00886478500497	-0.0248783639542	-0.0400098118749	-0.0420249100338	-0.0522576925335	-0.0335021176908	-0.0372200890842	-0.0519859871173	-0.0124902867413	-0.0248475423505	-0.0315761851972	-0.00899302459065	-0.0122191627767	-0.0169888118302	-0.0167500942852	0.0378203792111	0.0328781483477	0.0473216574574	0.0793230845661	-0.0525882685374	-0.0567552258896	0.0493653826895
2.532	-0.00640321724487	0.00976537862356	-0.0242600640003	-0.0395731509051	-0.0414853905061	-0.0525156796353	-0.0343522832777	-0.0379990697051	-0.0526515958364	-0.0132087107473	-0.0256190239538	-0.0322956110833	-0.00947125848223	-0.0127812955114	-0.0176008776554	-0.016013512012	0.0376940195497	0.0329034222609	0.0474482961685	0.0789480733308	-0.0528529709541	-0.0570511081452	0.048169636276
2.536	-0.00588189353595	0.0106866702381	-0.0236057280751	-0.0391019545357	-0.0409075630776	-0.0527676180622	-0.0352184229885	-0.0387963180033	-0.0533339838868	-0.0139434374181	-0.0264055871333	-0.0330266545076	-0.00996092648655	-0.0133551615996	-0.0182251453508	-0.0152494227404	0.0375589299499	0.032919635222	0.0475605600498	0.0785249687065	-0.0531060264651	-0.0573330421603	0.046944320855
2.54	-0.00534543385686	0.0116184369571	-0.0229169963095	-0.0385957163768	-0.0402931059494	-0.0530081789843	-0.0360927802187	-0.0396037155725	-0.0540240343107	-0.0146908765183	-0.0272021695678	-0.0337636647262	-0.0104610315186	-0.0139385324997	-0.0188581892067	-0.0144630217546	0.037412841425	0.0329231050169	0.047653125982	0.0780545981835	-0.0533427258536	-0.057595888182	0.0456957049926
2.544	-0.00479847851547	0.0125497534421	-0.0221971690153	-0.0380554915102	-0.0396453549517	-0.0532327555305	-0.0369670287473	-0.0404127120516	-0.0547123801383	-0.0154463204439	-0.0280029692274	-0.0345007135362	-0.0109696483172	-0.0145284279605	-0.0194960685405	-0.013660213653	0.0372544342374	0.0329111164003	0.047721572982	0.0775397541158	-0.0535590893872	-0.0578353680486	0.0444312617828
2.548	-0.00424617902145	0.013470285788	-0.0214512013359	-0.0374841000209	-0.0389689352362	-0.0534378249037	-0.0378326349987	-0.0412147729582	-0.0553903263265	-0.0162041772076	-0.0288010943498	-0.0352306226023	-0.0114836934702	-0.0151205883742	-0.0201334458186	-0.0128468461825	0.0370837352708	0.0328824970457	0.0477630355664	0.0769847261704	-0.0537522899053	-0.0580484911078	0.0431611007072
2.552	-0.0036943482944	0.0143697256035	-0.0206860695035	-0.036886462167	-0.0382704120964	-0.0536208432808	-0.0386808438603	-0.0420013897038	-0.0560497405437	-0.0169575678618	-0.0295889499794	-0.0359461493385	-0.0119988367652	-0.0157098096117	-0.0207644286965	-0.0120300007707	0.0369019706253	0.0328373313966	0.0477759261909	0.0763959299602	-0.0539203570973	-0.0582332557788	0.0418967233492
2.556	-0.00314882286689	0.0152391881529	-0.0199098616013	-0.0362689013886	-0.037557122851	-0.0537804265085	-0.0395034536445	-0.0427647003918	-0.0566836585439	-0.0176994227223	-0.0303585125681	-0.0366393391003	-0.0125100600618	-0.0162901103574	-0.0213822075748	-0.011216283568	0.0367113118769	0.0327769050212	0.0477602159334	0.0757807315198	-0.0540625284118	-0.0583889802436	0.040651320518
2.56	-0.00261517656795	0.0160715458293	-0.0191315843171	-0.0356390693882	-0.036837151253	-0.0539167065259	-0.0402932836175	-0.043498038665	-0.0572869364686	-0.0184224508565	-0.0311019079861	-0.0373026576084	-0.0130116627252	-0.0168550943544	-0.0219798395367	-0.0104120339395	0.0365148387822	0.0327036479827	0.0477176365251	0.075147341759	-0.0541793121778	-0.058516393487	0.0394384652279
2.564	-0.00209851572677	0.016862088189	-0.0183611740205	-0.0350060999697	-0.0361191684247	-0.0540317595565	-0.041044274693	-0.044196191771	-0.0578570815486	-0.0191188819774	-0.0318111322339	-0.0379286775302	-0.0134968227529	-0.0173975092716	-0.0225498285032	-0.00962305696624	0.0363168228937	0.0326214477811	0.0476521585129	0.0745044275404	-0.0542727674377	-0.0586179509717	0.0382728187708
