datacolumns 17
datarows 121
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
2.384 0.282612 0.022912 0.016797 0.009578 0.010395 0.044394 0.107029 0.037993 0.009472 0.128001 0.065831 0.009576 0.032558 0.207907 0.003811 0.004688
2.388 0.270667 0.021986 0.016089 0.009512 0.01038 0.042166 0.094501 0.036865 0.009094 0.121439 0.067508 0.009234 0.031225 0.214177 0.003429 0.004531
2.392 0.25567 0.021507 0.015406 0.009406 0.01057 0.040113 0.08258 0.035576 0.00868 0.114463 0.069238 0.008924 0.02982 0.220241 0.003049 0.004361
2.396 0.238468 0.021438 0.014742 0.009257 0.010977 0.038297 0.071329 0.034184 0.008235 0.107066 0.070974 0.008639 0.028354 0.22564 0.002686 0.004185
2.4 0.219884 0.021737 0.014089 0.009061 0.011602 0.036759 0.060846 0.032739 0.00777 0.099242 0.072664 0.008376 0.026835 0.229889 0.002351 0.004007
2.404 0.200685 0.022369 0.013445 0.008821 0.012439 0.035509 0.051235 0.031291 0.007312 0.091083 0.074268 0.008136 0.025266 0.232573 0.002056 0.003831
2.408 0.181575 0.023311 0.01281 0.008538 0.013481 0.034572 0.042563 0.029889 0.006885 0.082786 0.075747 0.007924 0.023668 0.233209 0.00181 0.003666
2.412 0.163167 0.024537 0.012186 0.00821 0.014726 0.034058 0.034863 0.028566 0.006513 0.074553 0.077054 0.007742 0.022082 0.231602 0.001621 0.003521
2.416 0.145926 0.026011 0.011574 0.007837 0.016175 0.034119 0.028135 0.027352 0.006218 0.066555 0.078167 0.007589 0.020584 0.227913 0.001497 0.003402
2.42 0.130161 0.027702 0.010983 0.007423 0.017822 0.034902 0.022354 0.02629 0.006017 0.058925 0.07908 0.007459 0.019248 0.222431 0.001448 0.00332
2.424 0.116038 0.02957 0.01042 0.006973 0.019645 0.036538 0.017482 0.025426 0.005926 0.051782 0.079754 0.007348 0.018132 0.215445 0.001478 0.003283
2.428 0.103606 0.03155 0.009888 0.006493 0.021615 0.039157 0.01346 0.024787 0.005957 0.045221 0.080083 0.007254 0.017276 0.207211 0.001596 0.003302
2.432 0.092833 0.033551 0.009385 0.005981 0.023703 0.042882 0.010218 0.024389 0.006118 0.039328 0.079913 0.00717 0.016705 0.197994 0.001809 0.003386
2.436 0.083696 0.035487 0.00891 0.005437 0.025884 0.047813 0.007677 0.024237 0.006415 0.034156 0.079186 0.00709 0.016428 0.188131 0.002124 0.003545
2.44 0.076206 0.037343 0.00846 0.004853 0.028121 0.054059 0.005763 0.024322 0.006854 0.029726 0.078012 0.007001 0.01644 0.177994 0.002555 0.003786
2.444 0.070336 0.039192 0.008037 0.00422 0.030376 0.061725 0.004399 0.024624 0.007443 0.02603 0.076518 0.006886 0.01674 0.167897 0.00312 0.004119
2.448 0.065973 0.041118 0.007641 0.003527 0.032618 0.070891 0.003513 0.025111 0.008183 0.023036 0.074769 0.006727 0.01733 0.15801 0.003837 0.004548
2.452 0.062939 0.04318 0.007267 0.002764 0.034807 0.081614 0.003033 0.025752 0.009071 0.02069 0.072794 0.006514 0.018218 0.148407 0.004726 0.005075
2.456 0.061013 0.045409 0.006905 0.001918 0.036886 0.093911 0.002893 0.026555 0.010096 0.018931 0.070617 0.006234 0.019419 0.139196 0.005804 0.005697
2.46 0.059938 0.047806 0.006543 0.000981 0.038797 0.107784 0.00303 0.027569 0.011237 0.017697 0.068244 0.005881 0.020937 0.1305 0.007086 0.006405
2.464 0.059461 0.050351 0.006171 0.0 0.040476 0.123235 0.003388 0.02884 0.012468 0.01692 0.065688 0.005449 0.022763 0.122362 0.008579 0.007188
2.468 0.059401 0.053035 0.005779 0.0 0.041862 0.140255 0.00392 0.030411 0.013749 0.016532 0.063006 0.004933 0.024865 0.114781 0.010287 0.00803
2.472 0.05978 0.055912 0.00536 0.0 0.042887 0.158738 0.004583 0.032314 0.015026 0.016461 0.060394 0.00433 0.027186 0.107765 0.012207 0.008908
2.476 0.06077 0.059142 0.004911 0.0 0.043498 0.178441 0.005334 0.034575 0.01624 0.016627 0.058184 0.003645 0.029653 0.10138 0.014329 0.009797
2.48 0.062526 0.062892 0.004429 0.0 0.043671 0.19898 0.006131 0.037207 0.017326 0.016933 0.056742 0.002889 0.032184 0.095673 0.016634 0.010669
2.484 0.065149 0.067307 0.003911 0.0 0.043449 0.219828 0.006938 0.040192 0.018219 0.01728 0.056412 0.002073 0.034683 0.090671 0.019091 0.011493
2.488 0.068706 0.0725 0.003354 0.0 0.042929 0.240315 0.007726 0.043499 0.018888 0.017581 0.0575 0.001215 0.037022 0.086367 0.021664 0.012239
2.492 0.073218 0.078537 0.002761 0.0 0.042264 0.259669 0.008476 0.047106 0.019325 0.017767 0.060256 0.000335 0.039045 0.082719 0.02431 0.012887
2.496 0.078639 0.085425 0.002134 0.0 0.041604 0.276971 0.009182 0.05098 0.019567 0.017798 0.064873 0.0 0.040564 0.079654 0.026977 0.013421
2.5 0.084848 0.093102 0.001477 0.0 0.041091 0.291237 0.009838 0.055045 0.019664 0.017667 0.071471 0.0 0.041382 0.077058 0.029595 0.013838
2.504 0.091654 0.101427 0.000795 0.0 0.040866 0.30152 0.010438 0.059207 0.019654 0.017385 0.080103 0.0 0.041336 0.074781 0.03208 0.014137
2.508 0.09884 0.110214 9.6e-05 0.0 0.041064 0.307228 0.010999 0.063394 0.019565 0.016984 0.090763 0.0 0.040345 0.072676 0.034336 0.01432
2.512 0.106191 0.119227 0.0 0.0 0.041794 0.308295 0.011557 0.067583 0.019409 0.016499 0.103386 0.0 0.038502 0.070672 0.03626 0.01439
2.516 0.113552 0.12818 0.0 0.0 0.043134 0.304923 0.01218 0.071776 0.019194 0.015962 0.117886 0.0 0.035992 0.068847 0.037745 0.01435
2.52 0.120799 0.136775 0.0 0.0 0.045136 0.297169 0.012948 0.075992 0.018918 0.015391 0.134162 0.0 0.033005 0.067436 0.038672 0.014198
2.524 0.127741 0.144788 0.0 0.004539 0.047842 0.285141 0.013941 0.080232 0.018575 0.014802 0.152095 0.0 0.029709 0.066681 0.038971 0.013932
2.528 0.134174 0.152318 0.0 0.011312 0.051272 0.269309 0.015249 0.084446 0.018158 0.014206 0.171516 0.0 0.026247 0.066777 0.038651 0.013556
2.532 0.140006 0.159637 0.0 0.019954 0.055452 0.250595 0.016975 0.088541 0.017666 0.013619 0.192255 0.00054 0.022737 0.067865 0.037779 0.013086
2.536 0.145352 0.166975 0.0 0.030681 0.060432 0.230065 0.019244 0.092428 0.017109 0.013053 0.214265 0.003255 0.019273 0.070047 0.036469 0.012553
2.54 0.150479 0.174488 0.0 0.043692 0.066269 0.208685 0.022203 0.096062 0.016508 0.012524 0.237597 0.006908 0.01592 0.073399 0.03486 0.012015
2.544 0.155619 0.18227 0.0 0.059158 0.073031 0.187284 0.026022 0.099395 0.015879 0.012044 0.262354 0.011628 0.012727 0.077992 0.033129 0.011572
2.548 0.160891 0.190398 0.001868 0.077201 0.080761 0.166501 0.030858 0.102399 0.015231 0.011628 0.288553 0.017539 0.009725 0.083904 0.031477 0.01133
2.552 0.166309 0.199044 0.004685 0.097875 0.089452 0.146763 0.036848 0.105016 0.014597 0.0113 0.316021 0.024757 0.006943 0.091156 0.030102 0.011404
2.556 0.17182 0.208435 0.008444 0.121155 0.099059 0.128336 0.044099 0.107155 0.01402 0.011089 0.344438 0.033382 0.00441 0.099703 0.029224 0.011924
2.56 0.177352 0.218652 0.013295 0.146904 0.109484 0.111414 0.052691 0.108803 0.013548 0.011021 0.373405 0.043494 0.002158 0.109495 0.029065 0.013035
2.564 0.183014 0.229689 0.01939 0.174861 0.120635 0.09627 0.062683 0.11007 0.013225 0.011113 0.40269 0.055144 0.000225 0.120464 0.02983 0.014909
2.568 0.189115 0.241477 0.026886 0.204702 0.132428 0.08328 0.074113 0.111153 0.013091 0.011383 0.43221 0.068328 0.0 0.13255 0.031707 0.017749
2.572 0.196056 0.253817 0.035941 0.236093 0.144775 0.072816 0.087 0.11225 0.013176 0.01184 0.461881 0.082984 0.0 0.14571 0.034891 0.021773
2.576 0.204142 0.266453 0.046696 0.268598 0.157544 0.065198 0.101315 0.113597 0.013504 0.012492 0.491336 0.098984 0.0 0.159974 0.039609 0.027209
