datacolumns 2
datarows 175
time	R_hip_fe
2.196	19.102670446
2.2	6.69993132035
2.204	-4.2590157568
2.208	-15.9175852346
2.212	-27.6217563601
2.216	-36.8923884209
2.22	-43.8324990793
2.224	-48.709580515
2.228	-51.8999799503
2.232	-53.8260242978
2.236	-54.8956280355
2.24	-55.4525296278
2.244	-55.7425761079
2.248	-55.8983318497
2.252	-55.9413713575
2.256	-55.7993691018
2.26	-55.3335671349
2.264	-54.3731619315
2.268	-52.7470538659
2.272	-50.3179042121
2.276	-47.0051520055
2.28	-53.3187678691
2.284	-53.5459728732
2.288	-53.9128813715
2.292	-54.5050316826
2.296	-55.3619362439
2.3	-56.4375317521
2.304	-57.5612579795
2.308	-58.4081509346
2.312	-58.5159290725
2.316	-57.5170485153
2.32	-55.4881709713
2.324	-52.8520084938
2.328	-50.1283788179
2.332	-47.8194862608
2.336	-46.3621244114
2.34	-46.035117806
2.344	-46.8836377206
2.348	-49.1689447749
2.352	-52.098485653
2.356	-55.2543851256
2.36	-58.4593132478
2.364	-61.632490964
2.368	-64.723369174
2.372	-67.6544254263
2.376	-70.3078002517
2.38	-72.5303056629
2.384	-74.1665068821
2.388	-75.085285574
2.392	-75.2059622546
2.396	-74.4763644306
2.4	-72.9500715535
2.404	-70.6924401168
2.408	-67.7805547617
2.412	-64.3133756536
2.416	-60.3961802878
2.42	-56.1342526053
2.424	-51.63588351
2.428	-47.0025346126
2.432	-42.3313107389
2.436	-37.7154763329
2.44	-33.24051285
2.444	-28.9856809212
2.448	-25.0182658451
2.452	-21.3914421746
2.456	-18.1122815463
2.46	-15.2078668965
2.464	-12.6807137118
2.468	-10.5146333511
2.472	-8.68087695909
2.476	-7.14452962946
2.48	-5.8683063331
2.484	-4.81908120715
2.488	-3.96880335919
2.492	-3.29699976241
2.496	-2.78928517049
2.5	-2.43460080278
2.504	-2.22543544477
2.508	-2.15182094592
2.512	-2.20176321286
2.516	-2.36103995117
2.52	-2.60987311231
2.524	-2.95331975617
2.528	-3.39912983345
2.532	-3.84231914008
2.536	-4.24808394869
2.54	-4.58108918101
2.544	-4.80988022772
2.548	-4.91017486971
2.552	-4.86656088672
2.556	-4.67174984359
2.56	-4.32496856579
2.564	-3.83088797278
2.568	-3.19692530304
2.572	-2.43093153212
2.576	-1.53955315756
2.58	-0.527646002327
2.584	0.605375507397
2.588	1.86281019731
2.592	3.25124102744
2.596	4.77920016377
2.6	6.4536559621
2.604	8.28070503799
2.608	10.2617017808
2.612	12.3950368656
2.616	14.6745674516
2.62	17.089786604
2.624	19.6309503537
2.628	22.286793885
2.632	25.0497695001
2.636	27.9178548353
2.64	30.8926305563
2.644	33.9780762488
2.648	37.1789893184
2.652	40.4992307798
2.656	43.9349464279
2.66	47.4788328061
2.664	51.1195247735
2.668	54.841473014
2.672	58.6309005165
2.676	62.4728060897
2.68	66.3537898737
2.684	70.2551488416
2.688	74.1561342779
2.692	78.0333687263
2.696	81.8576143044
2.7	85.5972142477
2.704	89.212534561
2.708	92.6607775041
2.712	95.8878926147
2.716	98.8177870894
2.72	101.393230244
2.724	103.542607126
2.728	105.198347414
2.732	106.297906736
2.736	106.794092282
2.74	106.651057713
2.744	105.85170746
2.748	104.400983718
2.752	102.333703074
2.756	99.714562705
2.76	96.6173289421
2.764	93.0512134677
2.768	89.065598271
2.772	85.0171612971
2.776	81.0851422704
2.78	77.442867665
2.784	74.2350869854
2.788	71.554667979
2.792	69.4231289963
2.796	67.7698878735
2.8	66.9859225774
2.804	67.0545297157
2.808	67.1488423775
2.812	66.9768287281
2.816	66.2860264479
2.82	64.8723394229
2.824	62.6114524961
2.828	59.4590139321
2.832	55.4977047434
2.836	53.907642956
2.84	48.8980465522
2.844	43.5092299545
2.848	37.6718724625
2.852	31.5223712464
2.856	25.4289756888
2.86	19.4264948833
2.864	13.5002064097
2.868	7.59653310946
2.872	1.639432562
2.876	-4.44968954354
2.88	-10.7311643712
2.884	-17.2281557503
2.888	-23.9124210493
2.892	-30.6971856113
