datacolumns 2
datarows 175
time	R_knee_fe
2.196	9.81429955307
2.2	4.82206180916
2.204	-0.262380459991
2.208	-6.63878989357
2.212	-14.0918271672
2.216	-21.2799386948
2.22	-28.0378555042
2.224	-34.2261565431
2.228	-39.7347154466
2.232	-44.4819282971
2.236	-48.4109610368
2.24	-51.4846349099
2.244	-53.6805448158
2.248	-54.9876458617
2.252	-55.4049806024
2.256	-54.9426037745
2.26	-53.6241453611
2.264	-51.4907977988
2.268	-48.60330319
2.272	-45.0459740315
2.276	-40.9265829687
2.28	-42.4789437156
2.284	-40.8301293431
2.288	-39.433769707
2.292	-38.3079659097
2.296	-37.4016711111
2.3	-36.5828495185
2.304	-35.6344414832
2.308	-34.2601919952
2.312	-32.1198619593
2.316	-28.9566358346
2.32	-24.7638225387
2.324	-19.7323176867
2.328	-14.126280113
2.332	-8.22680969768
2.336	-2.30392199099
2.34	3.4362847373
2.344	8.89666870936
2.348	13.881979161
2.352	18.6587299641
2.356	23.3339816838
2.36	27.915449332
2.364	32.3766480881
2.368	36.6795511043
2.372	40.7953177856
2.376	44.7023220375
2.38	48.3840196498
2.384	51.8224477242
2.388	54.9980255682
2.392	57.8840191763
2.396	60.4607624578
2.4	62.6769290611
2.404	64.4803172042
2.408	65.828017605
2.412	66.6839772223
2.416	67.0307058361
2.42	66.8691287075
2.424	66.212076871
2.428	65.0870222562
2.432	63.5288598787
2.436	61.5792997701
2.44	59.2848119752
2.444	56.6936394144
2.448	53.8553827931
2.452	50.8187306442
2.456	47.640880767
2.46	44.362477809
2.464	41.0275718836
2.468	37.6797960451
2.472	34.3600037774
2.476	31.1036918304
2.48	27.9412968449
2.484	24.8946422952
2.488	21.9798042356
2.492	19.2056725392
2.496	16.5761393918
2.5	14.0931237238
2.504	11.7549436483
2.508	9.56077623829
2.512	7.51002064488
2.516	5.60176449586
2.52	3.83747660603
2.524	2.20676073157
2.528	0.697649215575
2.532	-0.656536576695
2.536	-1.85479493097
2.54	-2.89717366256
2.544	-3.78748941001
2.548	-4.53511297024
2.552	-5.15500582223
2.556	-5.66681148062
2.56	-6.09305816035
2.564	-6.45766636363
2.568	-6.78449328689
2.572	-7.09512640774
2.576	-7.40791920137
2.58	-7.73730534159
2.584	-8.09094606339
2.588	-8.47295318338
2.592	-8.88319188014
2.596	-9.31832216697
2.6	-9.77332264277
2.604	-10.2407733218
2.608	-10.7133433981
2.612	-11.1825857691
2.616	-11.6395865343
2.62	-12.075158039
2.624	-12.4766708302
2.628	-12.830520144
2.632	-13.1199065546
2.636	-13.3234210145
2.64	-13.4169612424
2.644	-13.3746533444
2.648	-13.1702570397
2.652	-12.778052258
2.656	-12.1783952146
2.66	-11.3540388425
2.664	-10.291696492
2.668	-8.9840188199
2.672	-7.42628960371
2.676	-5.61790041382
2.68	-3.5610623442
2.684	-1.26655595297
2.688	1.25079570859
2.692	3.97098049894
2.696	6.86678217102
2.7	9.9099104845
2.704	13.0656099486
2.708	16.2988358056
2.712	19.5491029814
2.716	22.823789871
2.72	26.0450338116
2.724	29.1657083722
2.728	32.1435379633
2.732	34.9361609504
2.736	37.5098746677
2.74	39.8323503428
2.744	41.8766063208
2.748	43.6186124315
2.752	45.0428626762
2.756	46.1366231639
2.76	46.8984591496
2.764	47.254003495
2.768	47.1709880165
2.772	46.731496394
2.776	45.9388199886
2.78	44.8000488144
2.784	43.3224317588
2.788	41.5109629652
2.792	39.3719391651
2.796	36.9090855062
2.8	34.3594526144
2.804	31.8240220807
2.808	29.0952017875
2.812	26.2046654622
2.816	23.2004155676
2.82	20.1384190001
2.824	17.0859097724
2.828	14.1073919014
2.832	11.2957889789
2.836	7.80161636303
2.84	7.16278967481
2.844	6.47547051463
2.848	5.63448025189
2.852	4.62052770072
2.856	3.48717751182
2.86	2.15476107901
2.864	0.53454412353
2.868	-1.46224024469
2.872	-3.91447239268
2.876	-6.88121894905
2.88	-10.3926907153
2.884	-14.4429628201
2.888	-18.9852958656
2.892	-23.9308178434
