datacolumns 24
datarows 163
time	addbrev_r	addlong_r	addmag1_r	addmag2_r	addmag3_r	bicfemlh_r	gmax1_r	gmax2_r	gmax3_r	gmed1_r	gmed2_r	gmed3_r	gmin1_r	gmin2_r	gmin3_r	gra_r	illiacus_r	psoas_r	recfem_r	sar_r	semimem_r	semiten_r	tfl_r
2	0.00293481156084	0.0248509417505	-0.0113831759094	-0.0295379573082	-0.029531535179	-0.0557097946424	-0.0474080218764	-0.0505788746708	-0.0652660172275	-0.0240524691204	-0.0375287505674	-0.0435887776454	-0.0164799191998	-0.0212445769992	-0.0272171195728	-0.00296248083097	0.0352967269127	0.0326384174177	0.0470624637788	0.0679502393695	-0.0551917692635	-0.0597022799586	0.0287183993555
2.004	0.00307058872067	0.0250009465471	-0.011115758719	-0.029288497084	-0.0292790588621	-0.0556345685996	-0.0475705220762	-0.0507219645657	-0.0653552895851	-0.0242498258187	-0.0377029478135	-0.0437169250943	-0.0166323179261	-0.0213974269447	-0.0273600670545	-0.00282349862763	0.0352051931767	0.032568521853	0.0469834757856	0.0677125579616	-0.0551408974521	-0.0596431920695	0.028402787361
2.008	0.00317853313901	0.0251237522917	-0.0108927847779	-0.0290721968064	-0.0290485034079	-0.0555623965328	-0.0477059208003	-0.050840847976	-0.0654073683371	-0.0244119194382	-0.0378177606097	-0.0437659221694	-0.0167471636388	-0.0214998462846	-0.0274357258834	-0.00269043454528	0.0351254055351	0.0325067726203	0.046922707167	0.0674882512626	-0.0550920845633	-0.0595856104059	0.0281965555804
2.012	0.00326098841855	0.0252226976704	-0.0107109405278	-0.0288861839881	-0.0288365219144	-0.0554945586487	-0.0478164294852	-0.0509376273722	-0.065424474006	-0.0245409241174	-0.037875393037	-0.0437376132765	-0.0168258207125	-0.0215534912991	-0.0274459248737	-0.00255913207359	0.0350564179347	0.0324526269122	0.0468794839368	0.0672741534868	-0.0550456001157	-0.05952991936	0.028094673266
2.016	0.00332083503548	0.0253015421674	-0.010566217377	-0.0287271712254	-0.0286397472485	-0.0554323195716	-0.0479034980454	-0.0510138674044	-0.0654098635544	-0.0246389519293	-0.0378788450046	-0.0436355208246	-0.0168700127061	-0.0215607607576	-0.0273938933575	-0.00242572381038	0.0349972270498	0.0324055274403	0.0468524961951	0.0670673060492	-0.0550016656378	-0.0594764893815	0.0280894105156
2.02	0.00336038346621	0.0253632916977	-0.0104563509136	-0.0285939641206	-0.0284574942257	-0.0553774474775	-0.0479667380636	-0.0510696663625	-0.0653677231285	-0.0247064109197	-0.0378310575413	-0.0434649581084	-0.0168806763057	-0.0215239161755	-0.0272838419153	-0.00228915535042	0.0349477279361	0.032365678629	0.0468405986865	0.0668675955024	-0.0549609931595	-0.0594262952557	0.028172311282
2.024	0.00338195224953	0.0254108315876	-0.0103793659865	-0.0284859777829	-0.0282901272872	-0.0553317935728	-0.0480052854848	-0.0511048052191	-0.0653031885709	-0.024743323024	-0.0377356650464	-0.0432330807981	-0.0168588267079	-0.0214457455151	-0.0271212441641	-0.00214943567854	0.0349081110798	0.0323335503482	0.0468423602492	0.066676123252	-0.0549244404777	-0.0593805060976	0.0283334518068
2.028	0.00338670969029	0.0254459818907	-0.0103358229275	-0.0284052744111	-0.0281407160214	-0.0552977269588	-0.0480169936646	-0.0511180705165	-0.0652216245418	-0.0247477275032	-0.0375950165563	-0.0429466951103	-0.0168039481543	-0.0213277036463	-0.0269106712025	-0.00200889055035	0.0348796643652	0.032310538405	0.0468571374704	0.0664965142954	-0.0548934343264	-0.0593409386077	0.0285656674142
2.032	0.00337524492338	0.0254698122383	-0.0103274472148	-0.0283552947697	-0.0280140740055	-0.0552776687325	-0.0479995813129	-0.0511081712354	-0.065128794648	-0.0247170860522	-0.037411759553	-0.042613883384	-0.0167153379368	-0.0211713782637	-0.0266573492943	-0.0018715198749	0.0348641914166	0.0322984516015	0.046884510439	0.0663341853046	-0.0548696773229	-0.0593097242624	0.0288621537502
2.036	0.00335236494473	0.0254892577174	-0.0103491586647	-0.0283338125322	-0.0279087026014	-0.0552745686996	-0.0479565196163	-0.0510794214907	-0.0650365378426	-0.0246532343421	-0.0371935441578	-0.0422476529861	-0.0165950719063	-0.0209818499155	-0.0263706509136	-0.00173570185674	0.0348621058969	0.032298462734	0.0469228098898	0.0661880140163	-0.0548547749586	-0.0592889546229	0.0292082151484
