datacolumns 17
datarows 178
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
1.872	0.004183	0.002329	0.010369	0.008178	0.006973	0.037898	0.006264	0.035834	0.00976	0.011136	0	0.010112	0.010796	0.19099	0.010075	0.01213
1.92	0.008515	0.006153	0.006057	0.005962	0.009084	0.041914	0.006097	0.018259	0.007392	0.004989	0.001819	0.004125	0.004872	0.137314	0.016559	0.010296
1.924	0.010096	0.007885	0.005843	0.005762	0.009458	0.042908	0.006119	0.016839	0.006816	0.004574	0.005637	0.00393	0.004796	0.126647	0.015572	0.009588
1.928	0.012001	0.010011	0.005651	0.005552	0.009846	0.044085	0.006168	0.01555	0.00626	0.004203	0.010513	0.003765	0.004767	0.116058	0.014427	0.008858
1.932	0.014262	0.012564	0.005484	0.00534	0.010241	0.045412	0.006245	0.014413	0.005734	0.003881	0.01658	0.003627	0.004783	0.105897	0.013205	0.008125
1.936	0.016908	0.015566	0.005339	0.005135	0.010635	0.046869	0.00635	0.013436	0.00525	0.003611	0.023966	0.003513	0.004842	0.096452	0.011977	0.007404
1.94	0.019964	0.019028	0.005217	0.004945	0.011016	0.048442	0.006482	0.012615	0.004815	0.003394	0.032782	0.00342	0.004946	0.087904	0.0108	0.006704
1.944	0.023441	0.022943	0.005113	0.004776	0.011362	0.050112	0.006638	0.011936	0.004439	0.00323	0.043113	0.003341	0.005102	0.080344	0.009721	0.006038
1.948	0.027335	0.027284	0.005026	0.00463	0.011649	0.051858	0.006818	0.011382	0.004132	0.003117	0.05501	0.003273	0.005321	0.073783	0.008776	0.00542
1.952	0.031628	0.031996	0.004951	0.004508	0.011865	0.053675	0.007023	0.010934	0.003899	0.003049	0.068491	0.003212	0.005606	0.068185	0.007991	0.004861
1.956	0.036286	0.036996	0.00488	0.004407	0.011997	0.055527	0.007255	0.010572	0.003743	0.00302	0.083546	0.003156	0.005959	0.063492	0.007381	0.004368
1.96	0.041267	0.042166	0.004805	0.004325	0.012036	0.057338	0.007517	0.010279	0.003661	0.00302	0.100118	0.003102	0.006375	0.059701	0.006957	0.003945
1.964	0.046507	0.04735	0.004729	0.00426	0.011967	0.058987	0.007806	0.010043	0.00365	0.00304	0.118089	0.003052	0.006846	0.056862	0.006723	0.00359
1.968	0.05193	0.052358	0.004661	0.004217	0.011783	0.060319	0.008117	0.009872	0.003705	0.003071	0.137308	0.003005	0.007362	0.055063	0.00668	0.003298
1.972	0.057495	0.056975	0.004613	0.004203	0.011495	0.061194	0.008441	0.009784	0.003819	0.003109	0.157604	0.002966	0.007907	0.05438	0.006821	0.003062
1.976	0.06321	0.061037	0.004593	0.004224	0.01113	0.061543	0.008774	0.00979	0.003984	0.003153	0.178822	0.00294	0.008468	0.054845	0.007137	0.00287
1.98	0.069108	0.064487	0.004609	0.004285	0.01072	0.061389	0.00912	0.009893	0.00419	0.003207	0.200822	0.002935	0.009025	0.056445	0.00762	0.002714
1.984	0.075175	0.067355	0.004668	0.004389	0.010297	0.060812	0.009488	0.01009	0.004429	0.003275	0.223405	0.002957	0.009562	0.059179	0.008266	0.002578
1.988	0.081323	0.069753	0.004782	0.004536	0.009885	0.059884	0.00988	0.010373	0.00469	0.003363	0.246231	0.003013	0.010063	0.063073	0.009076	0.002449
1.992	0.08741	0.071855	0.004961	0.004727	0.009507	0.058674	0.010293	0.010742	0.004959	0.003472	0.268827	0.00311	0.010524	0.068157	0.010064	0.002314
1.996	0.09328	0.073822	0.00521	0.004959	0.009186	0.057247	0.010724	0.011201	0.005222	0.003603	0.290574	0.003255	0.010953	0.074461	0.011247	0.002161
2	0.098801	0.075775	0.005534	0.005232	0.008945	0.055683	0.011167	0.011765	0.005466	0.003754	0.310637	0.003451	0.011358	0.082	0.012638	0.001983
2.004	0.103903	0.077801	0.005933	0.005542	0.008809	0.054077	0.011616	0.012443	0.005674	0.003924	0.328128	0.003698	0.011744	0.090771	0.01424	0.001778
2.008	0.108572	0.079966	0.006404	0.005882	0.008803	0.052529	0.012074	0.013235	0.00583	0.004107	0.342392	0.003996	0.012119	0.100771	0.01605	0.001546
2.012	0.112795	0.082301	0.006945	0.006245	0.008949	0.051126	0.012546	0.01414	0.005922	0.004299	0.352932	0.004342	0.012492	0.111973	0.018066	0.001296
2.016	0.116482	0.084791	0.00755	0.006626	0.00927	0.049936	0.013037	0.015147	0.00594	0.004495	0.35927	0.004734	0.012869	0.124389	0.020279	0.001037
2.02	0.119502	0.087387	0.00821	0.007018	0.009793	0.049036	0.013546	0.016241	0.00588	0.004696	0.360883	0.005171	0.013258	0.138046	0.022675	0.000784
2.024	0.121759	0.090021	0.008911	0.007419	0.010542	0.048502	0.014065	0.017409	0.005745	0.004902	0.357512	0.005651	0.01366	0.152872	0.025238	0.000557
2.028	0.123287	0.092652	0.009638	0.007828	0.011537	0.048387	0.014591	0.018637	0.00555	0.005114	0.349452	0.006174	0.014073	0.168643	0.027939	0.000384
2.032	0.12421	0.095286	0.010382	0.008242	0.012793	0.048706	0.015127	0.019904	0.005319	0.005337	0.33738	0.006734	0.014489	0.184964	0.030737	0.000311
2.036	0.124642	0.097966	0.011137	0.008659	0.014331	0.049433	0.015672	0.021183	0.005081	0.005573	0.322076	0.007326	0.014885	0.201276	0.033579	0.000394
2.04	0.124629	0.100729	0.011888	0.009074	0.016182	0.050499	0.016221	0.022444	0.004863	0.005819	0.304366	0.007941	0.01523	0.216865	0.036403	0.000697
2.044	0.124168	0.103603	0.012618	0.009476	0.01838	0.051783	0.016774	0.023668	0.004698	0.006072	0.285008	0.008566	0.015482	0.230978	0.039158	0.00129
2.048	0.123201	0.106559	0.013308	0.009856	0.020955	0.053137	0.017332	0.024856	0.004623	0.00633	0.264572	0.009187	0.015587	0.243073	0.041817	0.002252
2.052	0.121638	0.10952	0.013946	0.010207	0.023928	0.054424	0.0179	0.026001	0.004675	0.006595	0.243568	0.009795	0.015489	0.253088	0.044383	0.003666
