datacolumns 2
datarows 179
time	R_hip_fe
2.32	32.4201499141
2.324	22.3983816895
2.328	12.6618097695
2.332	3.48075068404
2.336	-4.94328252848
2.34	-12.4781197678
2.344	-19.0530084705
2.348	-24.6452905287
2.352	-29.2650504733
2.356	-32.9407384054
2.36	-35.7079519333
2.364	-37.6025292274
2.368	-38.6580988171
2.372	-38.9074240366
2.376	-38.3863615369
2.38	-37.1390380773
2.384	-35.2228960399
2.388	-40.4132668417
2.392	-41.7122025819
2.396	-43.3361866126
2.4	-45.3214059083
2.404	-47.6413225195
2.408	-50.1862144825
2.412	-52.7444062204
2.416	-54.9920241601
2.42	-56.5225806354
2.424	-57.0294644514
2.428	-56.5348802407
2.432	-55.3161303743
2.436	-53.7213963733
2.44	-52.0900449735
2.444	-50.7227616059
2.448	-49.8396270929
2.452	-49.5505889456
2.456	-49.8561665009
2.46	-50.6672487395
2.464	-51.8609217582
2.468	-53.5849294239
2.472	-55.4580236964
2.476	-57.4349198409
2.48	-59.5131036097
2.484	-61.6752500769
2.488	-63.8697084778
2.492	-66.003519739
2.496	-67.9609931051
2.5	-69.6235862812
2.504	-70.8852749255
2.508	-71.6616401503
2.512	-71.8874214855
2.516	-71.5132233027
2.52	-70.5087337595
2.524	-68.8656588045
2.528	-66.6044724232
2.532	-63.7788753875
2.536	-60.4759041246
2.54	-56.8038027626
2.544	-52.8868151758
2.548	-48.8533344238
2.552	-44.8160478106
2.556	-40.8708348803
2.56	-37.0848629123
2.564	-33.5075062878
2.568	-30.1683050424
2.572	-27.0867486088
2.576	-24.2701115845
2.58	-21.7159399808
2.584	-19.4148331633
2.588	-17.3477537178
2.592	-15.4919804007
2.596	-13.8190478766
2.6	-12.2966079524
2.604	-10.8945254507
2.608	-9.5853029175
2.612	-8.34771006577
2.616	-7.16737384967
2.62	-6.03780128169
2.624	-4.95847221262
2.628	-3.93499279214
2.632	-2.97801404864
2.636	-2.09901457703
2.64	-1.31896862085
2.644	-0.797123010181
2.648	-0.394177204183
2.652	-0.102000414698
2.656	0.0961748556171
2.66	0.222179547595
2.664	0.294139534911
2.668	0.32382725192
2.672	0.316999571932
2.676	0.278297873946
2.68	0.21408235009
2.684	0.13766821866
2.688	0.0724710454585
2.692	0.0528316575247
2.696	0.125077867267
2.7	0.345520676596
2.704	0.776109563211
2.708	1.47656361122
2.712	2.49733500389
2.716	3.87142862837
2.72	5.60729949284
2.724	7.68623244396
2.728	10.0624031503
2.732	12.6697168047
2.736	15.4312470737
2.74	18.2700078773
2.744	21.1170478764
2.748	23.9208980127
2.752	26.6484539084
2.756	29.2854949329
2.76	31.8317240586
2.764	34.2984646892
2.768	36.7059716781
2.772	39.081788347
2.776	41.4614916111
2.78	43.8817513626
2.784	46.3818774171
2.788	48.9949893664
2.792	51.7484809548
2.796	54.6615916404
2.8	57.7428820165
2.804	60.989278706
2.808	64.3799475551
2.812	67.8840992946
2.816	71.4602339151
2.82	75.052145595
2.824	78.5970192317
2.828	82.0235556697
2.832	85.252082125
2.836	88.2012588454
2.84	90.7871076969
2.844	92.9273982203
2.848	94.5439748142
2.852	95.5638244237
2.856	95.9278213755
2.86	95.5940706328
2.864	94.5475402453
2.868	92.8010339622
2.872	90.3997889187
2.876	87.4239737265
2.88	83.8176204081
2.884	79.7636711581
2.888	75.4985958453
2.892	71.2003126989
2.896	67.0502707329
2.9	63.2210169217
2.904	59.8544296412
2.908	57.0458140208
2.912	54.8233069394
2.916	53.1402938233
2.92	52.7638326511
2.924	52.9323401353
2.928	53.3499837991
2.932	53.7756185112
2.936	53.9853053924
2.94	53.8123988887
2.944	53.1732691069
2.948	52.0622078267
2.952	50.5803556392
2.956	48.8599316575
2.96	48.3165570657
2.964	46.7994854446
2.968	45.2095516835
2.972	43.4612196083
2.976	41.8564296904
2.98	40.3408809847
2.984	38.823156045
2.988	37.1828220892
2.992	35.2807649491
2.996	32.9706938374
3	30.1108775143
3.004	26.575349684
3.008	22.2639978742
3.012	17.1110875586
3.016	11.091854936
3.02	4.2268309048
3.024	-3.41644461134
3.028	-11.7013834696
3.032	-20.4819174428
