datacolumns 17
datarows 190
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
2.192	0.004953	0.00339	0.011084	0.009087	0.005547	0.011	0.008699	0.026508	0.00985	0.014838	0	0.015172	0.007262	0.299456	0.001702	0.001605
2.196	0.004919	0.003444	0.010774	0.008699	0.005733	0.011793	0.008286	0.026306	0.009634	0.015118	0	0.014387	0.006721	0.299596	0.001816	0.001624
2.2	0.004929	0.003495	0.010452	0.008282	0.005956	0.01273	0.00786	0.026018	0.009439	0.015299	0	0.01357	0.006204	0.298239	0.001953	0.001658
2.204	0.004999	0.003545	0.010111	0.007836	0.006215	0.013811	0.007428	0.025603	0.009248	0.015343	0	0.012733	0.005722	0.294831	0.00211	0.001709
2.208	0.005149	0.003597	0.009741	0.007361	0.006506	0.015034	0.006998	0.025028	0.009042	0.01522	0	0.011875	0.005286	0.288921	0.002287	0.001779
2.212	0.005405	0.003656	0.009335	0.006867	0.006823	0.016385	0.006578	0.024278	0.008799	0.014907	0	0.010999	0.004901	0.280367	0.002479	0.00187
2.216	0.005796	0.003731	0.008906	0.006369	0.007155	0.017841	0.006176	0.023357	0.008505	0.014394	0	0.010118	0.004572	0.269397	0.002686	0.001983
2.22	0.006356	0.00383	0.008468	0.005885	0.007488	0.019371	0.005799	0.022305	0.008157	0.013697	0	0.009259	0.004299	0.256516	0.002902	0.002118
2.224	0.007124	0.003967	0.008034	0.005428	0.007806	0.020941	0.005455	0.021167	0.00777	0.012845	0.000171	0.008443	0.004078	0.24215	0.003124	0.002275
2.228	0.00814	0.004157	0.00761	0.005006	0.008098	0.022504	0.005155	0.019982	0.007355	0.01188	0.001484	0.007686	0.003903	0.226609	0.003348	0.002451
2.232	0.00945	0.004417	0.007199	0.004624	0.008355	0.024002	0.004909	0.018788	0.006928	0.010848	0.003234	0.006995	0.003766	0.210132	0.003568	0.002643
2.236	0.011102	0.004766	0.006805	0.004283	0.008573	0.025381	0.004721	0.017621	0.006503	0.009796	0.005481	0.006371	0.003654	0.192924	0.003786	0.002848
2.24	0.01314	0.005221	0.00643	0.003984	0.008753	0.026598	0.004598	0.016502	0.006094	0.008765	0.008285	0.005816	0.003557	0.175202	0.004012	0.003059
2.244	0.015604	0.005799	0.006078	0.003725	0.008899	0.027639	0.004544	0.015445	0.005709	0.007785	0.0117	0.005326	0.003466	0.15734	0.004256	0.00327
2.248	0.018519	0.006513	0.00575	0.003504	0.009018	0.028501	0.004559	0.01446	0.005354	0.00688	0.015772	0.004895	0.003377	0.139837	0.004529	0.003471
2.3	0.08039	0.025184	0.004958	0.003489	0.007627	0.028547	0.009706	0.012441	0.003961	0.002856	0.109974	0.003936	0.003429	0.042922	0.013037	0.004993
2.304	0.084141	0.026428	0.005367	0.003711	0.007285	0.028337	0.010278	0.013374	0.004136	0.002976	0.115494	0.004145	0.003635	0.046669	0.014027	0.005195
2.308	0.087225	0.027428	0.005866	0.003967	0.006942	0.028235	0.010821	0.014446	0.004333	0.003134	0.120079	0.004397	0.003899	0.051759	0.015006	0.005415
2.312	0.089463	0.028121	0.006451	0.004256	0.006623	0.028285	0.011317	0.015632	0.004541	0.003329	0.123702	0.004691	0.004234	0.058106	0.01595	0.005641
2.316	0.090747	0.028465	0.00711	0.004577	0.006356	0.028515	0.011752	0.016898	0.004752	0.003556	0.126388	0.005027	0.00465	0.065594	0.016836	0.005863
2.32	0.091075	0.028474	0.007832	0.004927	0.006165	0.028932	0.012122	0.018197	0.004959	0.00381	0.128271	0.005401	0.005158	0.07405	0.017654	0.006072
2.324	0.090492	0.028217	0.008594	0.005303	0.006067	0.029523	0.012429	0.019476	0.005164	0.004084	0.129522	0.005805	0.005761	0.083228	0.018404	0.006261
2.328	0.089079	0.027789	0.009373	0.005699	0.00608	0.030269	0.012674	0.020671	0.005369	0.004369	0.130224	0.006228	0.00646	0.092818	0.019087	0.006428
2.332	0.086977	0.027283	0.010138	0.006108	0.006215	0.031155	0.01286	0.021712	0.005577	0.004652	0.130362	0.006653	0.007254	0.102473	0.019696	0.006573
2.336	0.084369	0.026811	0.010852	0.006521	0.006485	0.032171	0.012989	0.022537	0.00579	0.00492	0.129866	0.007064	0.008136	0.111826	0.020218	0.006688
2.34	0.081431	0.026476	0.011477	0.006923	0.0069	0.033302	0.013061	0.023096	0.006012	0.005162	0.128709	0.007447	0.009098	0.120511	0.020651	0.006768
2.344	0.078333	0.026385	0.011993	0.007308	0.007473	0.03452	0.013074	0.023364	0.00624	0.005367	0.126907	0.007784	0.010125	0.128258	0.020999	0.006817
2.348	0.075249	0.026634	0.012403	0.007679	0.008216	0.035791	0.013036	0.023366	0.006471	0.00553	0.124601	0.008063	0.011194	0.134873	0.021284	0.006847
2.352	0.072332	0.027308	0.012724	0.008037	0.009137	0.037081	0.01296	0.023175	0.006701	0.005653	0.122026	0.008278	0.012281	0.14027	0.021534	0.006874
2.356	0.069749	0.028502	0.01297	0.00838	0.010239	0.038355	0.012867	0.022878	0.006938	0.005742	0.119456	0.008434	0.013355	0.144456	0.02178	0.00691
2.36	0.067621	0.030308	0.013152	0.008703	0.011516	0.039552	0.012787	0.02254	0.007188	0.00581	0.117157	0.008532	0.01438	0.147501	0.022055	0.006967
2.364	0.066006	0.032809	0.013275	0.008991	0.012959	0.040589	0.012741	0.022201	0.007457	0.005867	0.11533	0.008571	0.015306	0.149552	0.022369	0.007056
2.368	0.064925	0.036072	0.013341	0.009228	0.014563	0.04136	0.012741	0.021889	0.007743	0.00592	0.114093	0.008547	0.016071	0.150715	0.022719	0.007198
2.372	0.064405	0.040155	0.013355	0.009401	0.016327	0.041761	0.012803	0.021641	0.008044	0.005978	0.113509	0.008457	0.016608	0.151073	0.023089	0.007422
2.376	0.064465	0.045116	0.013331	0.009516	0.018249	0.041719	0.012932	0.021501	0.008358	0.006047	0.113593	0.008306	0.016857	0.150906	0.023461	0.007761
2.38	0.06512	0.051009	0.013294	0.009587	0.020327	0.041256	0.013126	0.021505	0.008685	0.006138	0.114388	0.008106	0.016788	0.15076	0.023829	0.008242
2.384	0.066427	0.057864	0.013271	0.009635	0.022547	0.040476	0.013379	0.021676	0.009023	0.006257	0.116006	0.007882	0.016414	0.151218	0.024191	0.008887
2.388	0.068467	0.065683	0.013288	0.009682	0.02489	0.039521	0.013686	0.022016	0.009366	0.006411	0.118578	0.007657	0.015784	0.152794	0.024563	0.009709
2.392	0.071264	0.074437	0.013356	0.00974	0.02735	0.038534	0.014045	0.022518	0.009711	0.006606	0.122167	0.007454	0.014962	0.155897	0.024973	0.010715
2.396	0.074838	0.08406	0.013482	0.009821	0.029943	0.037634	0.014452	0.023182	0.010056	0.00684	0.126826	0.007285	0.014013	0.160846	0.025459	0.011909
2.4	0.079251	0.094443	0.013671	0.009933	0.032705	0.03694	0.014908	0.024018	0.010406	0.007113	0.132597	0.007163	0.012992	0.167877	0.026076	0.013288
2.404	0.08458	0.105441	0.013922	0.010086	0.03567	0.036579	0.015413	0.025033	0.010767	0.00742	0.139499	0.007099	0.011946	0.177186	0.026896	0.014855
2.408	0.09088	0.116863	0.014235	0.010288	0.038853	0.036673	0.015971	0.026234	0.011144	0.007759	0.147494	0.007097	0.010918	0.188867	0.02799	0.016612
2.412	0.098199	0.128485	0.014611	0.010543	0.042262	0.037341	0.01658	0.027621	0.011555	0.008128	0.156433	0.007158	0.009944	0.202843	0.029431	0.018557
2.416	0.10655	0.140101	0.015054	0.010849	0.0459	0.038677	0.017232	0.029201	0.012028	0.008531	0.166101	0.007281	0.009053	0.218866	0.031289	0.020688
2.42	0.115876	0.151543	0.015568	0.011197	0.049758	0.040754	0.017917	0.030967	0.012589	0.008969	0.176216	0.007459	0.008267	0.236558	0.033638	0.023002
2.424	0.126069	0.162627	0.01615	0.011572	0.053842	0.043626	0.018619	0.032899	0.013267	0.009443	0.186419	0.007678	0.007598	0.255519	0.036528	0.025518
2.428	0.136935	0.173192	0.016797	0.011974	0.058153	0.047336	0.019309	0.034966	0.01408	0.009951	0.196213	0.007929	0.007052	0.275391	0.039984	0.028261
2.432	0.148181	0.183198	0.017523	0.01241	0.062669	0.051895	0.019963	0.037133	0.015039	0.010496	0.204966	0.008211	0.006633	0.295968	0.044	0.031251
2.436	0.159419	0.192733	0.018356	0.012887	0.067357	0.057286	0.020572	0.039407	0.016152	0.011072	0.211961	0.008537	0.006339	0.317248	0.048532	0.034491
2.44	0.170119	0.201802	0.019323	0.013421	0.072163	0.063467	0.021136	0.041798	0.017423	0.011676	0.216533	0.008926	0.006168	0.339205	0.053507	0.037987
2.444	0.179633	0.210254	0.020437	0.014021	0.077013	0.070355	0.021669	0.044307	0.018845	0.012297	0.218149	0.009401	0.006111	0.361718	0.058843	0.041744
2.448	0.187285	0.217789	0.021706	0.014692	0.081848	0.077814	0.022186	0.04693	0.020397	0.012918	0.216389	0.009985	0.006163	0.384641	0.064444	0.045757
2.452	0.192523	0.22407	0.023125	0.015431	0.086642	0.08565	0.022697	0.04964	0.022048	0.013525	0.211198	0.010695	0.006317	0.407962	0.070202	0.050007
2.456	0.195059	0.228862	0.02468	0.016238	0.091386	0.093607	0.023209	0.052405	0.023761	0.014096	0.202948	0.011542	0.006567	0.431915	0.07599	0.054459
2.46	0.195008	0.232006	0.026344	0.017107	0.096048	0.1014	0.02374	0.05519	0.025491	0.014614	0.192183	0.012527	0.006911	0.456598	0.081663	0.059045
2.464	0.19261	0.2334	0.028076	0.018024	0.100637	0.108796	0.024311	0.057929	0.027184	0.015065	0.179567	0.013653	0.007342	0.481808	0.087125	0.06369
2.468	0.188151	0.232937	0.029834	0.018965	0.105138	0.115637	0.024931	0.060528	0.028783	0.015436	0.165812	0.014915	0.007852	0.506969	0.09233	0.06832
2.472	0.18199	0.230692	0.03158	0.019901	0.109509	0.121892	0.025608	0.062904	0.030241	0.015723	0.151506	0.016303	0.00843	0.53121	0.097332	0.072859
2.476	0.174435	0.226709	0.033293	0.020808	0.11369	0.127623	0.026345	0.064976	0.031543	0.015935	0.137102	0.017815	0.009062	0.553442	0.102222	0.077231
2.48	0.165799	0.221066	0.034961	0.021674	0.117556	0.13293	0.027128	0.066686	0.03268	0.016084	0.122937	0.019465	0.009728	0.57272	0.107098	0.081355
2.484	0.156486	0.213984	0.03658	0.022498	0.120893	0.137867	0.027931	0.068045	0.033637	0.01618	0.109284	0.021281	0.010404	0.588578	0.111998	0.08511
2.488	0.146882	0.205759	0.038136	0.023277	0.123427	0.142425	0.028708	0.069117	0.034391	0.016225	0.096346	0.023282	0.01106	0.600656	0.116902	0.088343
2.492	0.137344	0.196629	0.039603	0.023996	0.124912	0.146533	0.029396	0.069967	0.034913	0.016217	0.084318	0.025489	0.011659	0.608807	0.12176	0.090949
2.496	0.1281	0.186748	0.040947	0.024635	0.125054	0.150009	0.029923	0.070626	0.035189	0.016153	0.073415	0.027926	0.012158	0.612931	0.126509	0.09288
2.5	0.119256	0.176285	0.042129	0.025165	0.12359	0.152562	0.030225	0.071073	0.035212	0.01604	0.063817	0.030612	0.012516	0.613005	0.131062	0.094118
2.504	0.110886	0.16552	0.043104	0.025563	0.120488	0.153816	0.030253	0.071231	0.034993	0.015881	0.055675	0.033559	0.012696	0.609071	0.135259	0.094717
2.508	0.103032	0.15478	0.043836	0.025818	0.115865	0.153547	0.029971	0.071021	0.034538	0.015676	0.049099	0.036776	0.012677	0.600857	0.138838	0.094728
2.512	0.09575	0.144447	0.044321	0.025941	0.110022	0.151702	0.029385	0.070485	0.033847	0.015427	0.044152	0.040262	0.012461	0.588021	0.141494	0.094156
2.516	0.089107	0.134859	0.044589	0.025977	0.103276	0.148412	0.028528	0.069764	0.032933	0.015136	0.040854	0.04403	0.012071	0.570291	0.142974	0.093008
2.52	0.083164	0.126245	0.044687	0.02598	0.095959	0.143769	0.02745	0.068983	0.031832	0.014805	0.039197	0.048117	0.011535	0.547586	0.143204	0.091357
2.524	0.078019	0.118706	0.044674	0.02601	0.088407	0.13787	0.026219	0.068232	0.030601	0.014445	0.039151	0.052585	0.01089	0.520105	0.142238	0.089295
2.528	0.073751	0.11222	0.044601	0.026127	0.080889	0.130841	0.024894	0.067564	0.029299	0.014061	0.040671	0.057467	0.010178	0.488205	0.140243	0.086936
2.532	0.070397	0.106687	0.044527	0.02639	0.073593	0.122783	0.023533	0.067019	0.027967	0.013656	0.043705	0.062758	0.009435	0.452771	0.137354	0.084355
2.536	0.067975	0.102012	0.044523	0.026862	0.066631	0.113777	0.022186	0.066662	0.026622	0.013229	0.048184	0.068433	0.008692	0.415401	0.133667	0.081559
2.54	0.066482	0.098118	0.04466	0.027606	0.060048	0.10393	0.020887	0.066557	0.02527	0.012778	0.054013	0.074452	0.007966	0.377861	0.129257	0.078514
2.544	0.065888	0.094909	0.044978	0.02867	0.053861	0.093494	0.019662	0.066734	0.023906	0.012299	0.061081	0.080773	0.007272	0.341805	0.124197	0.075175
2.548	0.066128	0.092254	0.04549	0.030073	0.048094	0.08284	0.018532	0.067184	0.02252	0.011796	0.069256	0.087351	0.00662	0.308557	0.118497	0.071532
2.552	0.067113	0.08997	0.046167	0.0318	0.042797	0.072306	0.01751	0.067857	0.021112	0.011276	0.078392	0.094107	0.006018	0.279109	0.112166	0.067622
2.556	0.068708	0.087894	0.046934	0.033805	0.038027	0.06217	0.016604	0.06865	0.019683	0.010748	0.0883	0.100883	0.005474	0.254141	0.105245	0.06354
2.56	0.070758	0.085942	0.047675	0.036004	0.033826	0.052644	0.015815	0.06941	0.018249	0.010223	0.098779	0.107426	0.00499	0.234016	0.097892	0.059415
2.564	0.073123	0.084161	0.048241	0.038283	0.030229	0.043873	0.015138	0.069959	0.016839	0.009705	0.109661	0.113404	0.004565	0.218821	0.090371	0.055363
2.568	0.075686	0.082636	0.04851	0.040532	0.02725	0.035944	0.014556	0.07014	0.015482	0.009193	0.120772	0.11844	0.004196	0.208416	0.082944	0.051488
2.572	0.078383	0.081458	0.048468	0.042692	0.024872	0.028899	0.014057	0.069936	0.014203	0.008683	0.131974	0.12229	0.003876	0.202474	0.075812	0.047858
2.576	0.081243	0.080731	0.04822	0.044786	0.023052	0.022744	0.013644	0.069461	0.013019	0.008175	0.143228	0.124966	0.003596	0.20048	0.069092	0.044493
2.58	0.0843	0.080555	0.047885	0.046852	0.021728	0.017455	0.013329	0.06886	0.011937	0.007675	0.154469	0.126655	0.003346	0.201764	0.062852	0.04138
