datacolumns 2
datarows 80
time	R_hip_fe
3.036	31.0888377775
3.04	-8.48958103985
3.044	-47.7145565835
3.048	-84.2341778536
3.052	-116.178143874
3.056	-142.911512289
3.06	-163.49602783
3.064	-177.196177468
3.068	-184.617128514
3.072	-186.701474163
3.076	-184.529858267
3.08	-179.15728756
3.084	-171.496034421
3.088	-162.268453263
3.092	-151.99789658
3.096	-141.037580114
3.1	-129.620953182
3.104	-117.915785813
3.108	-120.577937102
3.112	-120.958043308
3.116	-123.367272731
3.12	-126.31972695
3.124	-128.839232265
3.128	-130.934719157
3.132	-132.616648991
3.136	-133.403217867
3.14	-132.079049683
3.144	-127.532252775
3.148	-120.0402552
3.152	-110.959743704
3.156	-101.67965835
3.16	-93.0111102446
3.164	-85.3078336871
3.168	-78.6452952871
3.172	-72.9683205725
3.176	-68.0605015004
3.18	-63.5747999806
3.184	-59.0469434782
3.188	-53.9645726087
3.192	-47.8883389569
3.196	-40.4661099446
3.2	-31.4871748643
3.204	-20.7801319113
3.208	-8.22487832276
3.212	5.90404651867
3.216	21.0017730335
3.22	36.238960779
3.224	50.5980742458
3.228	63.066064841
3.232	72.6405495594
3.236	78.5606959509
3.24	86.3378110828
3.244	91.5044386606
3.248	92.4370794688
3.252	89.2151274596
3.256	78.721451955
3.26	66.1884421999
3.264	53.7931315379
3.268	41.8985782148
3.272	30.6596748566
3.276	20.1854941172
3.28	10.46483717
3.284	1.70403618179
3.288	14.4488286692
3.292	4.74828349213
3.296	2.60259107538
3.3	9.20119368633
3.304	24.3085627096
3.308	45.8926865793
3.312	69.886071382
3.316	90.3348336341
3.32	99.9153909325
3.324	90.7097098454
3.328	55.3048416473
3.332	-11.8520561025
3.336	-114.037436131
3.34	-243.729221102
3.344	-382.431797361
3.348	-499.572057159
3.352	-560.008607047
