datacolumns 2
datarows 80
time	R_knee_fe
3.036	-7.99095041998
3.04	-30.0169236293
3.044	-51.0206428757
3.048	-70.0137148427
3.052	-86.2219260986
3.056	-99.3654650904
3.06	-109.080857891
3.064	-115.090361909
3.068	-117.655176504
3.072	-117.202745881
3.076	-114.247267663
3.08	-109.324467493
3.084	-102.942068947
3.088	-95.5596510513
3.092	-87.5749415356
3.096	-79.3219761084
3.1	-71.0757060076
3.104	-63.0577430995
3.108	-57.8281427518
3.112	-50.4862447708
3.116	-41.7315701711
3.12	-30.7667043465
3.124	-17.3610522597
3.128	-1.81387839737
3.132	15.4869490196
3.136	34.295530311
3.14	54.6973186676
3.144	76.6436885278
3.148	99.3085773796
3.152	121.27227348
3.156	141.396745676
3.16	159.005137638
3.164	173.6482022
3.168	185.162028509
3.172	193.519304028
3.176	198.774435591
3.18	201.036294774
3.184	200.522110299
3.188	197.522891608
3.192	192.300343614
3.196	185.08423909
3.2	176.115225259
3.204	165.695180267
3.208	154.143711586
3.212	141.667023357
3.216	128.386594302
3.22	114.388326264
3.224	99.703755696
3.228	84.4211010833
3.232	68.6701706644
3.236	52.682220197
3.24	39.1786413171
3.244	26.9620890347
3.248	15.7741785662
3.252	5.73736187005
3.256	-4.74809896753
3.26	-13.9640409842
3.264	-21.4362503254
3.268	-27.4193043033
3.272	-32.1407350688
3.276	-35.7784887023
3.28	-38.5779160266
3.284	-40.7327749231
3.288	-29.4381861388
3.292	-33.9437593799
3.296	-34.4332821186
3.3	-29.6273656929
3.304	-18.1784626419
3.308	0.805044030757
3.312	26.6893441642
3.316	55.967778452
3.32	81.1996536479
3.324	91.0317279867
3.328	72.1509294814
3.332	13.729994009
3.336	-87.2038693148
3.34	-216.904001866
3.344	-344.730571018
3.348	-429.81220179
3.352	-437.340398031
