datacolumns 2
datarows 79
time	R_hip_aa
3.5	-35.8396547943
3.504	-17.7435277342
3.508	0.587721328068
3.512	16.8293705604
3.516	29.1809999146
3.52	36.6785941971
3.524	39.0555583117
3.528	36.5449277101
3.532	30.0884851149
3.536	20.912046182
3.54	10.3224796626
3.544	-0.443138269284
3.548	-10.3131752249
3.552	-18.4338790247
3.556	-24.1944879354
3.56	-27.2361400941
3.564	-27.4484900153
3.568	-24.9536500116
3.572	-20.0773072841
3.576	-19.3772280965
3.58	-16.4760755368
3.584	-14.6109933857
3.588	-13.9790854313
3.592	-14.4962764082
3.596	-16.8320888039
3.6	-22.1045145058
3.604	-30.7387803372
3.608	-42.4295404531
3.612	-56.5351360533
3.616	-72.1276703634
3.62	-88.0044357096
3.624	-102.949809647
3.628	-115.953967487
3.632	-126.219171995
3.636	-132.949400668
3.64	-135.406575657
3.644	-133.274864981
3.648	-126.895327775
3.652	-117.272458546
3.656	-105.88394973
3.66	-94.3635022636
3.664	-84.2232606653
3.668	-76.6441874548
3.672	-72.220453153
3.676	-70.8537400289
3.68	-71.9772457839
3.684	-74.5251129761
3.688	-77.2451154971
3.692	-78.9859098276
3.696	-79.7281110636
3.7	-77.6159925223
3.704	-73.357094074
3.708	-70.224211941
3.712	-67.3899764698
3.716	-63.8911281866
3.72	-59.2263624511
3.724	-51.4707923021
3.728	-43.6921746784
3.732	-36.0618134551
3.736	-28.5838085115
3.74	-21.1305491934
3.744	-13.4966796973
3.748	-5.54152300589
3.752	1.0897426742
3.756	9.84739917331
3.76	18.3832871661
3.764	26.2182686058
3.768	33.0560221732
3.772	38.753294091
3.776	43.2284685583
3.78	46.0442212221
3.784	47.3981792696
3.788	46.9821893265
3.792	44.2153101979
3.796	38.6457217236
3.8	30.7239652789
3.804	20.6317885799
3.808	8.34227228981
3.812	-5.20587374763
