datacolumns 24
datarows 107
time	addbrev_r	addlong_r	addmag1_r	addmag2_r	addmag3_r	bicfemlh_r	gmax1_r	gmax2_r	gmax3_r	gmed1_r	gmed2_r	gmed3_r	gmin1_r	gmin2_r	gmin3_r	gra_r	illiacus_r	psoas_r	recfem_r	sar_r	semimem_r	semiten_r	tfl_r
2.908	-0.00968886852489	0.00973609412458	-0.0336582065998	-0.0475417677694	-0.0465360758469	-0.0561062591568	-0.0303143601197	-0.0369513230588	-0.0568831083044	-0.00172146923147	-0.0168813645805	-0.0270407412342	0.00188013268426	-0.00289150620372	-0.00997766643322	-0.0198798034226	0.04439487862	0.0404554705827	0.0500346689237	0.0788638645729	-0.054119188373	-0.05889230252	0.0608305739228
2.912	-0.00926334039555	0.0105722705557	-0.0332524617109	-0.0473233047867	-0.0461958484688	-0.0564046778752	-0.0309762827923	-0.03753583997	-0.0575194221224	-0.00230310967637	-0.0174796367332	-0.0275758524058	0.00150169914459	-0.00331627323204	-0.0104237542241	-0.0193096362378	0.0442135919474	0.0403713850097	0.0502425649398	0.0786768671879	-0.0544014977769	-0.0592035296132	0.0600053140283
2.916	-0.00881475424439	0.0114201993581	-0.0327960316015	-0.0470644049899	-0.0458234556772	-0.0566950039949	-0.0316598966439	-0.0381327194245	-0.0581571380401	-0.0029280304963	-0.0181149252187	-0.0281376595549	0.0010830490215	-0.00377838476327	-0.0109022575303	-0.0187175504773	0.0440145976651	0.0402631539579	0.0504374607524	0.0784709903076	-0.0546772300796	-0.059505659071	0.0591265488038
2.92	-0.00834570405926	0.0122729833008	-0.0322889032603	-0.0467639087062	-0.0454193984457	-0.0569741504101	-0.032360942426	-0.0387381162632	-0.058791106953	-0.00359349777625	-0.018784123066	-0.0287230965857	0.000625480575369	-0.00427611997329	-0.0114111290853	-0.0181063064979	0.0437988438336	0.0401317038672	0.0506162182395	0.078246191046	-0.0549439756653	-0.0597960757086	0.0581977643252
2.924	-0.00785886391626	0.0131239098853	-0.0317312764126	-0.0464208438969	-0.0449843834803	-0.057239261262	-0.0330753600472	-0.0393483864251	-0.0594162448322	-0.00429697623297	-0.0194843192342	-0.0293292757743	0.000130132519586	-0.00480792556569	-0.0119484776419	-0.0174784686349	0.0435671571873	0.039977900956	0.0507759359608	0.0780028929449	-0.0551995995898	-0.0600724618478	0.0572221789682
2.928	-0.00735892922296	0.0139620082626	-0.0311241257261	-0.0460345003031	-0.0445204923046	-0.0574862137549	-0.0337956728908	-0.0399568863264	-0.0600233021614	-0.00503467810297	-0.0202099077424	-0.0299495382516	-0.000401587579572	-0.00537093737022	-0.0125100110836	-0.0168378486981	0.0433204976195	0.0398018934793	0.0509130773072	0.0777439888236	-0.0554415659802	-0.060331910299	0.0562071813613
2.932	-0.00685265113231	0.0147727120789	-0.0304701505779	-0.0456051741244	-0.04403157375	-0.0577097911361	-0.0345116865215	-0.0405546373238	-0.0605995434863	-0.00580125994406	-0.0209528830409	-0.0305743199357	-0.000967532682631	-0.00596091832595	-0.013089395228	-0.0161899212993	0.0430601545207	0.0396036299045	0.0510240701675	0.077474769696	-0.0556669428528	-0.0605710068633	0.055163789963
2.936	-0.00634259821371	0.0155564727784	-0.0297776646717	-0.045138425423	-0.0435207953284	-0.0579100028328	-0.0352231986318	-0.0411424834744	-0.0611481952511	-0.00658906924027	-0.0217099635761	-0.0312050798231	-0.00155998877548	-0.00657285093359	-0.0136848514933	-0.0155391947921	0.0427890069335	0.0393886800459	0.0511087521214	0.0771924482501	-0.055874051907	-0.060788569103	0.0540942605568
2.94	-0.00583301760735	0.0163084034565	-0.0290533326484	-0.0446383907941	-0.0429920148398	-0.0580854316577	-0.03592569328	-0.0417171945702	-0.061666323686	-0.00739130403767	-0.0224754507423	-0.0318379409669	-0.00217335046422	-0.00720160469815	-0.014292052816	-0.0148900882962	0.04250919357	0.039159962654	0.051166545756	0.0768982126156	-0.0560614031441	-0.0609832219377	0.0530054766972
2.944	-0.00532842423102	0.0170228171942	-0.0283036196594	-0.0441091381281	-0.042449465245	-0.0582345490659	-0.0366140148486	-0.0422748758975	-0.0621497045279	-0.00820174879743	-0.0232434622347	-0.032468121308	-0.0028028186496	-0.0078423416102	-0.0149063736361	-0.014246940869	0.0422225705695	0.0389195924767	0.0511972531312	0.0765946669118	-0.0562278246905	-0.0611538344595	0.0519050493763
