datacolumns 2
datarows 107
time	R_hip_fe
2.908	27.8237459588
2.912	8.05548741326
2.916	-11.2213203646
2.92	-29.58394853
2.924	-46.758152367
2.928	-62.5379615298
2.932	-76.8518634314
2.936	-89.7086839482
2.94	-101.134550528
2.944	-110.541489668
2.948	-117.897662812
2.952	-124.121777948
2.956	-128.86435603
2.96	-131.717538734
2.964	-132.269844177
2.968	-130.157419801
2.972	-125.109119118
2.976	-116.978828658
2.98	-105.76161219
2.984	-91.5955485182
2.988	-74.7574968265
2.992	-51.5347988489
2.996	-37.8074170541
3	-27.4239933997
3.004	-22.6155094416
3.008	-27.9124954125
3.012	-47.426928936
3.016	-80.6113206403
3.02	-120.680077016
3.024	-154.185268419
3.028	-171.433951557
3.032	-166.393398761
3.036	-139.729435925
3.04	-102.651011016
3.044	-68.5792902758
3.048	-46.9493639322
3.052	-41.4115746992
3.056	-50.3980862834
3.06	-66.5622240219
3.064	-83.4220248482
3.068	-96.519055039
3.072	-103.967409579
3.076	-105.673971241
3.08	-102.796748599
3.084	-97.1824831599
3.088	-90.2265866073
3.092	-82.5038151364
3.096	-74.1120801297
3.1	-64.9561036187
3.104	-55.0090104128
3.108	-44.4800437393
3.112	-33.6858834873
3.116	-23.0550755587
3.12	-13.1183731702
3.124	-4.32942772228
3.128	3.04492387874
3.132	9.00782036446
3.136	13.7561277003
3.14	17.5096177302
3.144	20.4392508041
3.148	22.6889615254
3.152	24.4066830936
3.156	25.8091707675
3.16	27.2181037476
3.164	29.013989951
3.168	31.5825093532
3.172	35.205780051
3.176	40.0045813447
3.18	45.9540032666
3.184	52.7908411614
3.188	58.8912181797
3.192	64.4654365291
3.196	68.8755043921
3.2	71.5705647113
3.204	72.0411985839
3.208	70.1749735875
3.212	66.0559385508
3.216	63.4369080126
3.22	63.9996800591
3.224	61.5857286021
3.228	55.7736939876
3.232	42.8509364989
3.236	28.4382828909
3.24	15.187383284
3.244	3.80752147148
3.248	-5.65772065081
3.252	-13.5896228745
3.256	-10.6050994227
3.26	-18.9468961154
3.264	-25.1987059107
3.268	-29.0789829679
3.272	-30.3561323018
3.276	-28.8690483395
3.28	-24.5904125926
3.284	-17.9913684712
3.288	-9.09066208215
3.292	1.22810722305
3.296	11.7961519504
3.3	21.3170690127
3.304	28.5596754844
3.308	32.5056378977
3.312	32.4628949163
3.316	28.1432711843
3.32	19.7040784086
3.324	7.75706097826
3.328	-6.66167365646
3.332	-22.1772011466
