datacolumns 2
datarows 107
time	R_knee_fe
2.908	2.85097529675
2.912	-5.81664422409
2.916	-14.2760096996
2.92	-22.3243100572
2.924	-29.8158043152
2.928	-36.6077058638
2.932	-42.6219457704
2.936	-47.8285880335
2.94	-52.2260262556
2.944	-55.5878686926
2.948	-57.9630802672
2.952	-59.8349336784
2.956	-61.195425964
2.96	-62.0375526523
2.964	-62.3697590156
2.968	-62.2184721927
2.972	-61.6201567123
2.976	-60.6015783577
2.98	-59.151162445
2.984	-57.1903399116
2.988	-54.5599058264
2.992	-45.4167490085
2.996	-41.3454519665
3	-36.8574759356
3.004	-32.5018941869
3.008	-30.1611635793
3.012	-30.9945733144
3.016	-33.4038017131
3.02	-32.9385471708
3.024	-23.6346667059
3.028	-3.39585926595
3.032	25.8482668224
3.036	60.608061043
3.04	96.1813021223
3.044	127.67107472
3.048	151.994573604
3.052	168.738096936
3.056	179.884415085
3.06	189.154232148
3.064	199.110345743
3.068	210.73927791
3.072	223.597703611
3.076	236.854070997
3.08	249.742114767
3.084	261.506884259
3.088	271.71307259
3.092	280.290608707
3.096	287.319544058
3.1	292.943903526
3.104	297.25807458
3.108	300.238118916
3.112	301.89539356
3.116	302.276191559
3.12	301.403702547
3.124	299.287639663
3.128	295.939407255
3.132	291.442509255
3.136	285.922754892
3.14	279.463275554
3.144	272.07128327
3.148	263.702275255
3.152	254.30293277
3.156	243.868680081
3.16	232.485864816
3.164	220.317799436
3.168	207.580921258
3.172	194.47760149
3.176	181.249141052
3.18	167.855479678
3.184	154.402693232
3.188	140.435169267
3.192	126.197675874
3.196	111.695354036
3.2	96.8444005852
3.204	81.6287618701
3.208	66.2624148074
3.212	51.022950092
3.216	37.8284704287
3.22	27.8004131083
3.224	18.3683336934
3.228	9.44284585871
3.232	-0.85857153169
3.236	-9.88987194406
3.24	-16.5124461929
3.244	-20.8705053441
3.248	-23.6092469123
3.252	-25.5305833122
3.256	-20.5225182547
3.26	-25.7051877189
3.264	-29.59208343
3.268	-31.9466989105
3.272	-32.5865375873
3.276	-31.405325238
3.28	-28.4025686323
3.284	-23.7459245393
3.288	-17.6834526245
3.292	-10.6790707072
3.296	-3.32803082217
3.3	3.69267772595
3.304	9.71460903498
3.308	14.1562933954
3.312	16.5880482165
3.316	16.7822809173
3.32	14.7446790127
3.324	10.7248613027
3.328	5.20278128222
3.332	-1.15589181655
