datacolumns 2
datarows 102
time	R_ankle_fe
3.476	1.620950259
3.48	0.359353084388
3.484	-0.890112199294
3.488	-2.06577431641
3.492	-3.12133985715
3.496	-3.99818536789
3.5	-4.66823114963
3.504	-5.11842313131
3.508	-5.34798119496
3.512	-5.36358824322
3.516	-5.17490653373
3.52	-4.80406531948
3.524	-4.27161634193
3.528	-3.60068422699
3.532	-2.81761991049
3.536	-1.95282277022
3.54	-1.04117596581
3.544	-1.55264612819
3.548	-2.7029715688
3.552	-4.90069719033
3.556	-8.03576293116
3.56	-12.2871032226
3.564	-17.7601036239
3.568	-24.435777448
3.572	-31.89544066
3.576	-39.5841867689
3.58	-46.9621751509
3.584	-53.7614112077
3.588	-59.8803063259
3.592	-65.3263180651
3.596	-70.3254638168
3.6	-75.4481682009
3.604	-81.1162283254
3.608	-87.1007712746
3.612	-92.8707212859
3.616	-98.1255672855
3.62	-102.778321973
3.624	-106.810449065
3.628	-110.20279671
3.632	-112.984599095
3.636	-115.299005482
3.64	-117.292879729
3.644	-119.064580025
3.648	-120.718333225
3.652	-122.359810985
3.656	-124.051690811
3.66	-125.798722634
3.664	-127.585578141
3.668	-129.377766421
3.672	-131.120463463
3.676	-132.741396115
3.68	-134.170288705
3.684	-135.33872336
3.688	-136.189332417
3.692	-136.682768173
3.696	-136.79376192
3.7	-136.510634258
3.704	-135.835776712
3.708	-134.784019537
3.712	-133.368523799
3.716	-131.593925964
3.72	-129.462473969
3.724	-126.952577106
3.728	-124.035623361
3.732	-120.658816747
3.736	-116.7663569
3.74	-112.267709268
3.744	-107.27038132
3.748	-101.626163151
3.752	-95.323962071
3.756	-88.4139924306
3.76	-80.9625543845
3.764	-73.0803719995
3.768	-64.9142636032
3.772	-56.4533600981
3.776	-48.051837341
3.78	-39.9535940156
3.784	-32.36710628
3.788	-25.6000143883
3.792	-19.6425888199
3.796	-14.5965275005
3.8	-10.509648214
3.804	-7.36496281697
3.808	-5.05321316188
3.812	-3.55037106019
3.816	0.200468267936
3.82	-0.574670122317
3.824	-1.19585811276
3.828	-1.62577798271
3.832	-1.84746639801
3.836	-1.86556519283
3.84	-1.70563279301
3.844	-1.41061850246
3.848	-1.0301170364
3.852	-0.623864419915
3.856	-0.253526387385
3.86	0.0320588996875
3.864	0.199779653092
3.868	0.237414920653
3.872	0.156767768131
3.876	-0.00610906569268
3.88	-0.194687484572
