datacolumns 17
datarows 122
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
2.704	0.095109	0.056393	0.003572	0.003106	0.024565	0.030513	0.07165	0.00633	0.003398	0.015845	0.08717	0.002126	0.006665	0.02052	0.002656	0.002471
2.708	0.09522	0.058726	0.003499	0.004256	0.02571	0.032488	0.068808	0.006146	0.003344	0.012365	0.086864	0.001889	0.005641	0.018301	0.002696	0.002321
2.712	0.095461	0.060503	0.003471	0.005706	0.026615	0.034646	0.066051	0.006031	0.003282	0.009533	0.086025	0.00168	0.004923	0.016327	0.002718	0.002195
2.716	0.095578	0.061538	0.003495	0.007484	0.027198	0.036993	0.063288	0.005977	0.003213	0.007277	0.084619	0.001507	0.004477	0.01461	0.002718	0.00209
2.72	0.095363	0.06172	0.003573	0.009617	0.027382	0.039525	0.060461	0.005976	0.003136	0.005523	0.082638	0.00138	0.004278	0.013149	0.002694	0.001999
2.724	0.094732	0.061081	0.003708	0.012126	0.027143	0.042216	0.05756	0.00602	0.003052	0.004197	0.080154	0.001306	0.004307	0.011931	0.002648	0.001923
2.728	0.093644	0.059705	0.003902	0.015031	0.026501	0.045048	0.05455	0.006103	0.002965	0.003227	0.077299	0.001292	0.004545	0.010931	0.002584	0.001862
2.732	0.092019	0.057691	0.004155	0.01834	0.025521	0.048047	0.05139	0.006215	0.002879	0.002543	0.074184	0.001346	0.004974	0.010115	0.002508	0.001819
2.736	0.089741	0.055192	0.004463	0.022045	0.024288	0.051266	0.048074	0.006347	0.002797	0.002089	0.070918	0.001475	0.005573	0.009454	0.002427	0.001792
2.74	0.086702	0.052419	0.004818	0.026119	0.022876	0.054733	0.044615	0.006485	0.002722	0.001816	0.067655	0.001688	0.006317	0.008925	0.002347	0.001782
2.744	0.082928	0.049602	0.005209	0.030518	0.021358	0.058436	0.041051	0.006623	0.002655	0.001684	0.064561	0.001994	0.007176	0.008514	0.002277	0.001787
2.748	0.078536	0.046947	0.005622	0.035186	0.019807	0.062327	0.03745	0.006757	0.002598	0.001658	0.061789	0.002399	0.008114	0.008201	0.002221	0.001807
2.812	0.058404	0.052761	0.009498	0.106102	0.00973	0.094433	0.010393	0.008942	0.003414	0.003528	0.116919	0.028536	0.009532	0.009178	0.003614	0.002347
2.816	0.061793	0.052663	0.010154	0.111654	0.010133	0.093608	0.010186	0.009225	0.003507	0.003542	0.126148	0.031778	0.009182	0.010366	0.003834	0.002209
2.82	0.065223	0.052215	0.011235	0.118948	0.010609	0.092615	0.009995	0.009617	0.00359	0.003547	0.135004	0.035409	0.008865	0.011905	0.004096	0.002026
2.824	0.068751	0.051551	0.012845	0.1283	0.011144	0.091529	0.009804	0.010153	0.003663	0.003549	0.143535	0.039472	0.008571	0.013855	0.004406	0.001792
2.828	0.072476	0.050853	0.015086	0.139895	0.011727	0.090407	0.009608	0.010868	0.003724	0.003548	0.151936	0.043977	0.008288	0.016283	0.004763	0.001505
2.832	0.076446	0.050307	0.018055	0.153784	0.012348	0.089305	0.009412	0.011801	0.003773	0.003548	0.160277	0.04889	0.008012	0.019248	0.005166	0.001163
2.836	0.080647	0.050078	0.021842	0.1699	0.012994	0.088243	0.009226	0.012984	0.003805	0.003548	0.168464	0.054151	0.007734	0.0228	0.005606	0.000769
2.84	0.085007	0.050292	0.026526	0.188022	0.013656	0.087221	0.009052	0.014451	0.003818	0.003547	0.17626	0.059693	0.00745	0.026973	0.00607	0.000326
2.844	0.089402	0.051044	0.03218	0.207778	0.014322	0.086231	0.00889	0.016251	0.003809	0.003543	0.183422	0.065473	0.007156	0.031787	0.00654	0
2.848	0.093666	0.052388	0.038867	0.228722	0.01497	0.085255	0.008739	0.018441	0.003778	0.003537	0.189818	0.071467	0.00685	0.037236	0.006997	0
2.852	0.097585	0.054374	0.046637	0.250415	0.015576	0.084247	0.008599	0.021082	0.003726	0.003524	0.195347	0.077668	0.006523	0.043289	0.007416	0
2.856	0.100912	0.057027	0.055528	0.272399	0.016117	0.083141	0.008458	0.024242	0.003653	0.003501	0.199803	0.084077	0.006168	0.049902	0.007774	0
2.86	0.10344	0.06037	0.065561	0.294174	0.016579	0.081831	0.008311	0.027999	0.003556	0.003463	0.202913	0.090712	0.005778	0.057015	0.008053	0
2.864	0.105195	0.064468	0.076715	0.315158	0.016961	0.080189	0.00817	0.03242	0.003436	0.00341	0.204547	0.097584	0.005348	0.064563	0.00824	0
2.868	0.106397	0.069425	0.088918	0.334857	0.017281	0.078089	0.008073	0.037549	0.003296	0.003341	0.204938	0.10466	0.004883	0.072478	0.008335	0
2.872	0.107441	0.075354	0.10206	0.353334	0.017583	0.07551	0.008091	0.043412	0.003141	0.003257	0.204592	0.111923	0.004395	0.080678	0.008346	0
2.876	0.108702	0.082344	0.116011	0.371024	0.01793	0.072501	0.008304	0.050015	0.002979	0.00316	0.204081	0.119375	0.003907	0.089047	0.008288	0
2.88	0.110444	0.09044	0.130606	0.388353	0.018404	0.069166	0.008805	0.057336	0.002815	0.003047	0.203875	0.127001	0.003447	0.09746	0.008177	0
2.884	0.112836	0.09965	0.145599	0.405527	0.01909	0.065621	0.009687	0.065322	0.002657	0.002919	0.204343	0.134761	0.003038	0.105823	0.008031	0
2.888	0.115991	0.109983	0.160655	0.422493	0.020066	0.062016	0.011041	0.073883	0.002512	0.002773	0.205672	0.142607	0.002705	0.114199	0.007879	0
2.892	0.12001	0.121432	0.175393	0.439055	0.021415	0.05849	0.012958	0.0829	0.002389	0.002606	0.207932	0.150516	0.002474	0.122758	0.007748	0
2.896	0.124988	0.133968	0.189408	0.454831	0.023226	0.055181	0.015525	0.092271	0.002298	0.002414	0.21113	0.158491	0.002378	0.131722	0.007668	0.001048
2.9	0.13106	0.147561	0.20233	0.469529	0.025573	0.052223	0.018828	0.101888	0.00225	0.002191	0.215235	0.166445	0.002458	0.141229	0.007674	0.003638
2.904	0.138335	0.162109	0.213811	0.482924	0.02851	0.049804	0.022943	0.1116	0.002256	0.001932	0.22009	0.174228	0.002758	0.151389	0.007817	0.007054
2.908	0.146861	0.177422	0.223502	0.494743	0.032083	0.048164	0.027934	0.121222	0.002329	0.001636	0.225397	0.181621	0.003331	0.162364	0.008155	0.011422
2.912	0.15667	0.193171	0.231134	0.504662	0.036322	0.047555	0.033844	0.130545	0.002484	0.001307	0.230902	0.188248	0.004231	0.17424	0.008775	0.016865
2.916	0.167742	0.208928	0.236594	0.512582	0.041231	0.048239	0.040691	0.139394	0.002737	0.000956	0.236503	0.193675	0.00552	0.187061	0.009782	0.023495
2.92	0.180014	0.224183	0.240088	0.518623	0.046779	0.050471	0.048451	0.147742	0.003104	0.000605	0.242198	0.197676	0.007265	0.200863	0.011315	0.031412
2.924	0.193435	0.238416	0.242001	0.522851	0.052916	0.054495	0.057069	0.155726	0.003607	0.000281	0.248014	0.200318	0.009541	0.215665	0.013553	0.040706
2.928	0.207869	0.25108	0.242649	0.525212	0.059598	0.060531	0.066447	0.163552	0.004272	1.7e-05	0.253987	0.201803	0.012425	0.231493	0.016705	0.051451
2.932	0.223028	0.261609	0.242208	0.525665	0.066825	0.068761	0.076435	0.171384	0.00513	0	0.260082	0.202402	0.016003	0.248235	0.020983	0.063699
2.936	0.238523	0.269486	0.240678	0.524263	0.074651	0.079334	0.086817	0.179272	0.006222	0	0.266115	0.202365	0.020365	0.265655	0.026592	0.077499
2.94	0.254009	0.274363	0.23802	0.520989	0.083145	0.092365	0.097334	0.187195	0.007586	3e-06	0.271942	0.201863	0.0256	0.283462	0.033753	0.092897
2.944	0.269068	0.27601	0.234286	0.515746	0.092423	0.1079	0.107675	0.195087	0.009259	0.000426	0.277374	0.200998	0.031793	0.301201	0.04268	0.109937
2.948	0.283284	0.274396	0.229737	0.508318	0.102573	0.125972	0.117496	0.202822	0.011272	0.00117	0.282192	0.199836	0.039027	0.318157	0.053557	0.128639
2.952	0.29626	0.269637	0.224786	0.498658	0.113636	0.146656	0.126483	0.210328	0.013657	0.00232	0.286192	0.198417	0.047365	0.333615	0.066531	0.149013
2.956	0.307673	0.261906	0.219818	0.486984	0.12566	0.169996	0.134323	0.217666	0.016443	0.003974	0.288977	0.196878	0.056826	0.347048	0.081722	0.171031
2.96	0.317208	0.251458	0.215152	0.47361	0.13875	0.195928	0.140829	0.225009	0.019664	0.006234	0.289979	0.195461	0.06738	0.358092	0.099227	0.194644
2.964	0.324557	0.238667	0.211058	0.458986	0.153007	0.22435	0.14592	0.232593	0.023364	0.009208	0.288637	0.194414	0.078939	0.366493	0.119078	0.219798
2.968	0.3295	0.224052	0.207779	0.443373	0.168556	0.255069	0.149663	0.240554	0.027589	0.013014	0.284673	0.193874	0.091373	0.372085	0.141214	0.246493
2.972	0.331706	0.208225	0.205542	0.426915	0.185518	0.287811	0.152198	0.248901	0.032386	0.017775	0.277987	0.193981	0.104506	0.374609	0.165509	0.274699
2.976	0.331127	0.191804	0.20448	0.410021	0.203992	0.322258	0.153809	0.257489	0.037808	0.023636	0.26859	0.194989	0.1182	0.373608	0.191771	0.304352
2.98	0.328039	0.175291	0.204574	0.393141	0.224075	0.358132	0.154839	0.266109	0.043905	0.030773	0.256606	0.197101	0.132384	0.368636	0.219741	0.335238
2.984	0.32296	0.159099	0.205695	0.376591	0.245842	0.395116	0.155595	0.274555	0.05074	0.039361	0.242386	0.200362	0.147022	0.359702	0.249079	0.36711
