datacolumns 2
datarows 101
time	R_hip_aa
2.656	-95.1770254764
2.66	-71.711868863
2.664	-46.9940103443
2.668	-21.9308499694
2.672	2.34448262309
2.676	24.9053473522
2.68	45.3758573895
2.684	63.0253853567
2.688	77.3545099693
2.692	88.5273652971
2.696	96.8903313884
2.7	102.826572179
2.704	106.698606407
2.708	108.789422492
2.712	109.258109309
2.716	108.110013416
2.72	105.186351006
2.724	100.182856422
2.728	100.617032337
2.732	99.7242666135
2.736	98.1541910163
2.74	95.2363189403
2.744	91.5714726939
2.748	86.5002909863
2.752	80.2550271965
2.756	73.5351627922
2.76	66.5774953327
2.764	56.078089241
2.768	44.0239650663
2.772	30.1277886284
2.776	14.4184259145
2.78	-1.56305133117
2.784	-16.1311766429
2.788	-28.2716003414
2.792	-37.6718092646
2.796	-44.496406985
2.8	-49.296850829
2.804	-52.9015223978
2.808	-55.7589348686
2.812	-58.3924235098
2.816	-61.466015187
2.82	-65.6128411997
2.824	-71.237551948
2.828	-78.3812592298
2.832	-86.7238521078
2.836	-95.7023651221
2.84	-104.712731879
2.844	-113.282177653
2.848	-121.08827712
2.852	-127.907760673
2.856	-133.625018818
2.86	-138.220920891
2.864	-141.758204632
2.868	-144.325018825
2.872	-145.969497982
2.876	-146.672594704
2.88	-146.371175673
2.884	-144.970383257
2.888	-142.361492223
2.892	-138.421779584
2.896	-133.040920288
2.9	-126.160820825
2.904	-117.815643993
2.908	-108.075126564
2.912	-97.1777100308
2.916	-85.6161452656
2.92	-74.0301446879
2.924	-63.231062549
2.928	-54.128809501
2.932	-47.5995259134
2.936	-44.319247767
2.94	-44.5113904654
2.944	-48.0586203545
2.948	-56.2699863781
2.952	-64.8682691711
2.956	-71.3027891392
2.96	-73.1586931904
2.964	-67.3517690863
2.968	-55.5925505476
2.972	-38.8852559983
2.976	-19.0419334246
2.98	1.41484089102
2.984	19.9544338561
2.988	31.8830069963
2.992	41.2604499424
2.996	45.8335496429
3	46.4140903721
3.004	44.3988351194
3.008	41.2751044375
3.012	38.2193271845
3.016	36.5097472713
3.02	36.037152134
3.024	36.4157609397
3.028	37.3398248883
3.032	37.7881488681
3.036	37.4783167562
3.04	36.479539533
3.044	35.224514788
3.048	33.6649121935
3.052	32.1045354951
3.056	30.8587412258
