datacolumns 17
datarows 1067
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
2.578	0.130315	0.13419	0.005164	0.005894	0.020888	0.053815	0.088425	0.010555	0.002914	0.016707	0.137544	0.003351	0.003609	0.05267	0.003727	0.003896
2.5785	0.130352	0.134691	0.005149	0.005886	0.020991	0.053908	0.089289	0.010546	0.002922	0.016443	0.137487	0.003356	0.003601	0.052621	0.003723	0.003879
2.579	0.130382	0.13517	0.005135	0.005878	0.021093	0.054002	0.090142	0.010537	0.00293	0.016189	0.137405	0.003361	0.003594	0.052567	0.00372	0.003861
2.5795	0.130406	0.135628	0.005121	0.005869	0.021191	0.054096	0.090984	0.010528	0.002938	0.015945	0.137298	0.003366	0.003589	0.052507	0.003716	0.003843
2.58	0.130422	0.136064	0.005109	0.00586	0.021287	0.05419	0.091814	0.010518	0.002946	0.015709	0.137166	0.003371	0.003585	0.052442	0.003711	0.003825
2.5805	0.130431	0.136477	0.005096	0.005851	0.021381	0.054285	0.092631	0.010508	0.002954	0.015482	0.13701	0.003376	0.003583	0.052371	0.003706	0.003807
2.581	0.130432	0.136869	0.005085	0.005841	0.021471	0.054382	0.093434	0.010497	0.002963	0.015265	0.136829	0.003381	0.003583	0.052295	0.003701	0.003789
2.5815	0.130424	0.137238	0.005074	0.005832	0.021559	0.05448	0.094223	0.010485	0.002972	0.015055	0.136625	0.003386	0.003585	0.052214	0.003696	0.00377
2.582	0.130408	0.137584	0.005063	0.005821	0.021644	0.05458	0.094997	0.010473	0.002981	0.014855	0.136398	0.00339	0.003588	0.052128	0.00369	0.003751
2.5825	0.130384	0.137908	0.005053	0.005811	0.021725	0.054683	0.095754	0.01046	0.00299	0.014663	0.136147	0.003395	0.003593	0.052036	0.003684	0.003733
2.583	0.13035	0.138208	0.005043	0.0058	0.021803	0.054789	0.096495	0.010447	0.002999	0.014479	0.135874	0.0034	0.0036	0.051939	0.003677	0.003714
2.5835	0.130307	0.138485	0.005034	0.005788	0.021878	0.054898	0.097217	0.010432	0.003008	0.014303	0.135579	0.003405	0.003609	0.051837	0.00367	0.003694
