datacolumns 2
datarows 90
time	R_ankle_fe
2.512	4.59316331362
2.516	2.90715030831
2.52	1.2314767675
2.524	-0.36932374723
2.528	-1.84708776655
2.532	-3.17124790878
2.536	-4.35169515996
2.54	-5.38541849484
2.544	-6.22611833388
2.548	-6.86945313948
2.552	-7.30965119034
2.556	-7.54036167139
2.56	-7.55651947096
2.564	-7.35682749614
2.568	-6.94737956788
2.572	-6.33976155831
2.576	-5.56151872355
2.58	-4.66931869043
2.584	-3.69850467369
2.588	-2.69055320293
2.592	-1.68897703933
2.596	-3.68931609082
2.6	-5.87326704256
2.604	-8.94788835476
2.608	-12.8001822981
2.612	-17.3140382548
2.616	-22.3962304678
2.62	-27.9544920397
2.624	-34.0188247844
2.628	-40.9622354231
2.632	-49.4376574208
2.636	-59.5729585056
2.64	-70.9735481511
2.644	-82.9962446083
2.648	-94.7761577776
2.652	-105.636221603
2.656	-115.290439075
2.66	-123.771119369
2.664	-131.300341408
2.668	-138.073038557
2.672	-144.153457081
2.676	-149.514949323
2.68	-154.157903925
2.684	-158.180190017
2.688	-161.681323932
2.692	-164.677588303
2.696	-167.08277463
2.7	-168.739277513
2.704	-169.483243445
2.708	-169.165375926
2.712	-167.623309357
2.716	-164.683329186
2.72	-160.185363503
2.724	-154.035210566
2.728	-146.251939129
2.732	-136.958383291
2.736	-126.375514937
2.74	-114.691729971
2.744	-102.348956987
2.748	-89.8147035012
2.752	-77.50576938
2.756	-65.8440276875
2.76	-55.0242198373
2.764	-45.1358360839
2.768	-36.2464932076
2.772	-28.4181552596
2.776	-21.733853164
2.78	-16.2273387954
2.784	-11.8471464489
2.788	-8.42270919772
2.792	-1.56039140499
2.796	-1.68712103457
2.8	-1.59215167955
2.804	-1.34184842265
2.808	-1.01902168091
2.812	-0.687228685458
2.816	-0.410485172914
2.82	-0.206497241171
2.824	-0.0662394647001
2.828	0.0406484075268
2.832	0.138300941232
2.836	0.237669065878
2.84	0.332543996374
2.844	0.417949442337
2.848	0.462551787923
2.852	0.439062791582
2.856	0.331564041829
2.86	0.134673624191
2.864	-0.143797060697
2.868	-0.481274093328
