datacolumns 2
datarows 90
time	R_hip_fe
2.512	52.0577098008
2.516	17.7142608894
2.52	-16.2538378526
2.524	-48.0195246267
2.528	-76.1634785028
2.532	-99.7841979975
2.536	-119.316318601
2.54	-134.953487454
2.544	-145.667449343
2.548	-151.957637932
2.552	-154.490945788
2.556	-153.915808109
2.56	-150.846737431
2.564	-145.814003817
2.568	-139.184359395
2.572	-130.999490809
2.576	-121.270473269
2.58	-110.447258267
2.584	-98.0279760283
2.588	-83.6072572173
2.592	-66.9841110943
2.596	-49.3427867976
2.6	-41.7014809409
2.604	-38.9213172339
2.608	-42.1875103719
2.612	-52.9135478615
2.616	-71.8754378451
2.62	-98.0778953498
2.624	-126.70050897
2.628	-148.799588143
2.632	-155.381407332
2.636	-145.577294232
2.64	-125.511660187
2.644	-102.8285609
2.648	-83.7133668308
2.652	-71.5019511889
2.656	-66.1306659716
2.66	-65.3394379158
2.664	-66.7445232559
2.668	-68.6921665312
2.672	-70.1877190763
2.676	-70.796435276
2.68	-70.2704170176
2.684	-68.4761071566
2.688	-65.2525586866
2.692	-60.3562803822
2.696	-53.5919725418
2.7	-44.8301265444
2.704	-33.9569082258
2.708	-21.0680995397
2.712	-6.49903139762
2.716	9.08716915847
2.72	24.6986806582
2.724	39.0964492115
2.728	51.1236616277
2.732	59.7108147413
2.736	63.9570873997
2.74	68.1550274598
2.744	68.7117715897
2.748	62.4739337052
2.752	49.1434042204
2.756	27.3588987784
2.76	2.81704100084
2.764	-18.5409192323
2.768	-33.168765878
2.772	-38.8706993637
2.776	-35.5220532356
2.78	-25.0364888632
2.784	-10.8761735101
2.788	3.06263051935
2.792	38.828059378
2.796	36.2408318122
2.8	32.0671593231
2.804	27.9017787014
2.808	25.57798685
2.812	26.9401051566
2.816	31.9829421232
2.82	39.57647952
2.824	48.2189477779
2.828	56.5914847098
2.832	63.4766688388
2.836	67.911101813
2.84	69.2213641963
2.844	67.3286172189
2.848	61.4660656962
2.852	51.2359212489
2.856	36.5734525114
2.86	17.7063069452
2.864	-4.73479163973
2.868	-29.6541621439
