datacolumns 2
datarows 90
time	R_knee_fe
2.512	0.392536270471
2.516	-13.7435145823
2.52	-28.1482536517
2.524	-42.1427255478
2.528	-55.1078167261
2.532	-66.5628006672
2.536	-76.5358572051
2.54	-84.9852108934
2.544	-91.3703902651
2.548	-95.7923884744
2.552	-98.4670776098
2.556	-99.6086751975
2.56	-99.4427064075
2.564	-98.1880721898
2.568	-96.0178388137
2.572	-92.9923476493
2.576	-89.2083122387
2.58	-84.9864104843
2.584	-80.2130691872
2.588	-74.8055034934
2.592	-68.7320524702
2.596	-59.6434144949
2.6	-54.9790087261
2.604	-50.4154202653
2.608	-45.4606307155
2.612	-39.6680569114
2.616	-32.3333939399
2.62	-22.4462012204
2.624	-8.30187609501
2.628	12.0865273636
2.632	39.361505496
2.636	71.8888690008
2.64	106.244813316
2.644	138.759073633
2.648	166.691039387
2.652	188.72231986
2.656	205.046729479
2.66	216.684660435
2.664	224.461702269
2.668	228.894068897
2.672	230.429554238
2.676	229.518048811
2.68	226.562960805
2.684	221.754478344
2.688	215.196810279
2.692	207.066040495
2.696	197.596286669
2.7	187.047274438
2.704	175.642608253
2.708	163.479028662
2.712	150.558951203
2.716	136.798700785
2.72	122.071325221
2.724	106.23873749
2.728	89.3359430074
2.732	71.549684903
2.736	53.1937694736
2.74	36.6371006283
2.744	21.137051463
2.748	5.91616516199
2.752	-9.01881312336
2.756	-24.5457412823
2.76	-38.9563901122
2.764	-50.4831790533
2.768	-58.3583128581
2.772	-62.230700191
2.776	-62.3082293719
2.78	-59.1781496792
2.784	-53.6967350551
2.788	-46.8079618417
2.792	-27.3421583209
2.796	-24.2546779126
2.8	-20.3701449431
2.804	-16.1607791889
2.808	-11.9073185023
2.812	-7.48559898971
2.816	-3.15303301861
2.82	1.02658699533
2.824	4.93925364054
2.828	8.49853394887
2.832	11.5058451215
2.836	13.6779072813
2.84	14.740342791
2.844	14.6802581821
2.848	13.2047367448
2.852	10.1596515325
2.856	5.54369605179
2.86	-0.537109062769
2.864	-7.83344304884
2.868	-15.9210135595
