datacolumns 2
datarows 175
time	R_ankle_fe
2.196	4.73814090673
2.2	4.33105163744
2.204	3.78183669919
2.208	3.04397452036
2.212	2.16109782034
2.216	1.23132649704
2.22	0.287084663723
2.224	-0.640729788363
2.228	-1.52396030735
2.232	-2.33799089163
2.236	-3.06218069367
2.24	-3.68001768214
2.244	-4.17908574661
2.248	-4.55093154378
2.252	-4.79089632821
2.256	-4.89795069754
2.26	-4.87453930236
2.264	-4.72645023749
2.268	-4.46258718636
2.272	-4.09480550107
2.276	-3.63757742996
2.28	-2.94091278971
2.284	-1.89859045423
2.288	-0.539182944463
2.292	1.17096935617
2.296	3.2543307713
2.3	5.71504783579
2.304	8.52867945152
2.308	11.6314405939
2.312	14.9083034103
2.316	18.2129347398
2.32	21.4255835363
2.324	24.4682722032
2.328	27.2857630918
2.332	29.8314824734
2.336	32.073966194
2.34	34.0011513217
2.344	35.6199162776
2.348	36.9453053724
2.352	38.0251922963
2.356	38.8944649624
2.36	39.5873703609
2.364	40.13852403
2.368	40.5758087403
2.372	40.918468877
2.376	41.1695134643
2.38	41.3185137838
2.384	41.3462865001
2.388	41.2339178592
2.392	40.9648858204
2.396	40.5322684936
2.4	39.9311238042
2.404	39.1610395012
2.408	38.2273868519
2.412	37.1352120244
2.416	35.8934385177
2.42	34.5126479971
2.424	33.0013770232
2.428	31.3708831405
2.432	29.6309363282
2.436	27.7926581198
2.44	25.86794827
2.444	23.8694330837
2.448	21.8111649066
2.452	19.7071788239
2.456	17.5709913836
2.46	15.4169849065
2.464	13.2589115007
2.468	11.1108053412
2.472	8.9867764176
2.476	6.90025198668
2.48	4.86541596469
2.484	2.89388068349
2.488	0.997445005425
2.492	-0.814627255217
2.496	-2.53498286453
2.5	-4.15649112995
2.504	-5.67540968822
2.508	-7.08847467275
2.512	-8.39394302043
2.516	-9.59252902797
2.52	-10.6854278005
2.524	-11.6770089966
2.528	-12.5728838577
2.532	-13.3790243099
2.536	-14.1049003385
2.54	-14.7601359017
2.544	-15.3555836174
2.548	-15.9037402517
2.552	-16.4184625485
2.556	-16.9149869788
2.56	-17.4095315259
2.564	-17.9193288635
2.568	-18.4630093312
2.572	-19.0593372637
2.576	-19.7267429372
2.58	-20.4825363583
2.584	-21.3401897448
2.588	-22.3120810474
2.592	-23.4080532286
2.596	-24.6356720785
2.6	-26.0004131278
2.604	-27.5047301494
2.608	-29.1495827816
2.612	-30.9333621492
2.616	-32.8519425453
2.62	-34.8990947732
2.624	-37.0648519539
2.628	-39.3386437509
2.632	-41.7090064724
2.636	-44.1626001109
2.64	-46.68549104
2.644	-49.2629741777
2.648	-51.8796032786
2.652	-54.5181065834
2.656	-57.1628309652
2.66	-59.7957627836
2.664	-62.3979383655
2.668	-64.9514772287
2.672	-67.437032715
2.676	-69.8339825849
2.68	-72.1190715832
2.684	-74.2709846666
2.688	-76.2655693882
2.692	-78.0777042442
2.696	-79.6836160074
2.7	-81.0551247686
2.704	-82.1659175308
2.708	-82.9866008799
2.712	-83.5164228465
2.716	-83.6516302031
2.72	-83.4175777097
2.724	-82.794034617
2.728	-81.7607369946
2.732	-80.3051969726
2.736	-78.4151940675
2.74	-76.0863043597
2.744	-73.3187807709
2.748	-70.1221771703
2.752	-66.5108504256
2.756	-62.5119671312
2.76	-58.1383646633
2.764	-53.4692093152
2.768	-48.560728229
2.772	-43.4793988574
2.776	-38.3069819846
2.78	-33.1316943671
2.784	-28.0485959858
2.788	-23.1572556367
2.792	-18.5527640946
2.796	-14.3242001143
2.8	-10.5293171147
2.804	-7.21235381384
2.808	-4.41665637919
2.812	-2.13926165672
2.816	-0.351158826
2.82	0.9933093243
2.824	1.95128614965
2.828	2.58691862321
2.832	2.9648404018
2.836	3.92406562688
2.84	3.95982918412
2.844	3.97672898897
2.848	3.95239234765
2.852	3.87580760482
2.856	3.75374790933
2.86	3.5824246715
2.864	3.35729121482
2.868	3.07361319621
2.872	2.72716377109
2.876	2.3149738959
2.88	1.83606376397
2.884	1.29208077694
2.888	0.687772633268
2.892	0.0313065857231
