datacolumns 17
datarows 1707
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
2.066	0.013799	0.005227	0.018747	0.014526	0.007642	0.017046	0.010746	0.039348	0.031007	0.022501	0.003516	0.01628	0.009533	0.239896	0.011307	0.00876
2.0665	0.01377	0.00523	0.018804	0.014587	0.007652	0.017223	0.010677	0.039451	0.030594	0.022212	0.003482	0.016301	0.009621	0.240201	0.011371	0.008728
2.067	0.013739	0.005232	0.018861	0.014649	0.007662	0.0174	0.01061	0.039556	0.030187	0.02193	0.003447	0.016324	0.009709	0.240531	0.011435	0.008694
2.0675	0.013706	0.005234	0.01892	0.014711	0.007671	0.017576	0.010543	0.039662	0.029786	0.021655	0.003412	0.016347	0.009798	0.240884	0.011498	0.00866
2.068	0.013671	0.005236	0.01898	0.014775	0.00768	0.017753	0.010477	0.039768	0.029391	0.021389	0.003375	0.016371	0.009888	0.241261	0.011561	0.008626
2.0685	0.013635	0.005236	0.01904	0.014839	0.007689	0.017929	0.010411	0.039874	0.029003	0.021131	0.003337	0.016396	0.009978	0.241661	0.011624	0.00859
2.069	0.013597	0.005237	0.019101	0.014903	0.007697	0.018105	0.010346	0.039982	0.028621	0.02088	0.003298	0.016422	0.01007	0.242083	0.011687	0.008554
2.0695	0.013557	0.005237	0.019163	0.014968	0.007705	0.01828	0.010281	0.040089	0.028245	0.020638	0.003258	0.016449	0.010161	0.242526	0.011749	0.008518
2.07	0.013516	0.005237	0.019225	0.015034	0.007712	0.018455	0.010217	0.040197	0.027875	0.020403	0.003218	0.016477	0.010254	0.24299	0.011811	0.008481
2.0705	0.013473	0.005236	0.019288	0.0151	0.007719	0.018629	0.010153	0.040306	0.027512	0.020176	0.003176	0.016505	0.010347	0.243475	0.011873	0.008444
2.071	0.013429	0.005235	0.019352	0.015166	0.007726	0.018803	0.01009	0.040414	0.027155	0.019958	0.003133	0.016535	0.010441	0.24398	0.011934	0.008406
2.0715	0.013383	0.005233	0.019415	0.015232	0.007732	0.018975	0.010027	0.040523	0.026805	0.019747	0.003089	0.016565	0.010535	0.244503	0.011996	0.008367
2.072	0.013336	0.005232	0.019479	0.015299	0.007738	0.019147	0.009965	0.040632	0.026461	0.019544	0.003044	0.016596	0.01063	0.245045	0.012056	0.008328
2.0725	0.013288	0.005229	0.019544	0.015366	0.007743	0.019318	0.009903	0.040741	0.026124	0.019349	0.002998	0.016628	0.010725	0.245605	0.012117	0.008289
2.073	0.013238	0.005227	0.019608	0.015433	0.007748	0.019488	0.009841	0.04085	0.025794	0.019162	0.00295	0.01666	0.010821	0.246183	0.012177	0.008249
2.0735	0.013186	0.005224	0.019672	0.0155	0.007753	0.019657	0.00978	0.040959	0.02547	0.018983	0.002902	0.016694	0.010917	0.246777	0.012237	0.008209
2.074	0.013134	0.005221	0.019737	0.015567	0.007757	0.019824	0.009719	0.041068	0.025152	0.018811	0.002853	0.016728	0.011014	0.247387	0.012296	0.008169
2.0745	0.01308	0.005218	0.019801	0.015634	0.007761	0.019991	0.009658	0.041177	0.024842	0.018648	0.002803	0.016762	0.011111	0.248013	0.012355	0.008128
2.075	0.013025	0.005215	0.019865	0.015701	0.007764	0.020157	0.009598	0.041286	0.024537	0.018492	0.002751	0.016798	0.011208	0.248653	0.012413	0.008087
2.0755	0.01297	0.005211	0.019928	0.015768	0.007767	0.020321	0.009538	0.041395	0.024239	0.018345	0.002699	0.016834	0.011306	0.249308	0.012471	0.008045
2.076	0.012913	0.005207	0.019992	0.015834	0.00777	0.020484	0.009478	0.041504	0.023948	0.018205	0.002645	0.016871	0.011404	0.249975	0.012528	0.008003
2.0765	0.012855	0.005203	0.020055	0.0159	0.007772	0.020646	0.009418	0.041613	0.023663	0.018072	0.00259	0.016908	0.011502	0.250656	0.012584	0.007961
2.077	0.012796	0.005198	0.020117	0.015966	0.007773	0.020807	0.009359	0.041722	0.023385	0.017947	0.002534	0.016946	0.011601	0.251348	0.01264	0.007919
