datacolumns 2
datarows 163
time	R_hip_aa
2	14.0545796065
2.004	15.5303060693
2.008	16.0359387064
2.012	15.59272987
2.016	14.2607200982
2.02	12.137353953
2.024	9.35461766333
2.028	6.07444453096
2.032	2.48230302667
2.036	-1.2209129171
2.04	-4.82837382441
2.044	-8.13770031048
2.048	-7.87591156385
2.052	-8.99284515652
2.056	-9.21862690362
2.06	-8.49395650684
2.064	-6.81906925132
2.068	-4.25697600906
2.072	-0.933848192807
2.076	2.96483032652
2.08	7.20078935862
2.084	11.4958402097
2.088	15.5443094606
2.092	19.0410641858
2.096	21.7268251851
2.1	23.4134488761
2.104	23.9869536581
2.108	23.4103178155
2.112	21.8359262511
2.116	19.490369619
2.12	16.1909812803
2.124	12.0703541432
2.128	7.27732704515
2.132	1.97005371414
2.136	-3.68316701017
2.14	-9.51073641793
2.144	-15.3473836339
2.148	-21.0715349667
2.152	-26.5525904097
2.156	-31.5708603713
2.16	-36.0326570381
2.164	-39.8653020968
2.168	-43.0240290373
2.172	-45.4833026469
2.176	-47.2385263616
2.18	-48.3049878206
2.184	-48.7170026867
2.188	-48.5323802558
2.192	-47.8287796831
2.196	-46.7026622474
2.2	-45.2584221003
2.204	-43.6014890231
2.208	-41.8309777295
2.212	-40.0323600334
2.216	-38.2742434052
2.22	-36.6125959124
2.224	-35.0851827543
2.228	-33.7153344838
2.232	-32.548358434
2.236	-31.6047903275
2.24	-30.8441611753
2.244	-30.2506674962
2.248	-29.8052011859
2.252	-29.4840029669
2.256	-29.2633839075
2.26	-29.118756503
2.264	-29.0248212498
2.268	-28.9589073948
2.272	-28.9008417202
2.276	-28.8083692625
2.28	-28.5910417921
2.284	-28.3514305467
2.288	-28.0910093886
2.292	-27.8168019819
2.296	-27.5424444582
2.3	-27.287431419
2.304	-27.0765351444
2.308	-26.9378190107
2.312	-26.9016753156
2.316	-26.9984196027
2.32	-27.2577328718
2.324	-27.706466927
2.328	-28.3682949731
2.332	-29.2620748833
2.336	-30.4014913111
2.34	-31.7942132025
2.344	-33.440066343
2.348	-35.331027061
2.352	-37.4514853566
2.356	-39.7797438312
2.36	-42.2882369247
2.364	-44.9469812522
2.368	-47.7242639459
2.372	-50.5913361319
2.376	-53.5220462258
2.38	-56.4963773586
2.384	-59.4978344833
2.388	-62.5128813919
2.392	-65.5329747767
2.396	-68.5514054822
2.4	-71.5646347297
2.404	-74.5698848574
2.408	-77.5654854265
2.412	-80.549543091
2.416	-83.5192691804
2.42	-86.4679229884
2.424	-89.3884115624
2.428	-92.2651564392
2.432	-94.9920196994
2.436	-97.7064378255
2.44	-100.302063749
2.444	-102.741644573
2.448	-104.978549092
2.452	-106.965949918
2.456	-108.647875562
2.46	-109.969247067
2.464	-110.872481866
2.468	-111.29768068
2.472	-111.186666835
2.476	-110.482616961
2.48	-109.132636155
2.484	-107.174668533
2.488	-104.595916427
2.492	-101.057614467
2.496	-96.7246858151
2.5	-91.5929509442
2.504	-85.6753382677
2.508	-79.0074021911
2.512	-71.615521013
2.516	-63.4369448389
2.52	-54.7077789018
2.524	-45.5628491763
2.528	-36.1611366885
2.532	-26.6819879499
2.536	-17.3197833359
2.54	-8.27624675524
2.544	0.221288376139
2.548	7.48339483513
2.552	13.782356273
2.556	18.995424349
2.56	23.040609754
2.564	25.8768953241
2.568	27.5058417484
2.572	27.9764858749
2.576	27.3704570774
2.58	25.7990179652
2.584	23.4015993923
2.588	22.1146513874
2.592	17.8439485539
2.596	13.5171048807
2.6	9.22066418389
2.604	4.9784158149
2.608	0.899969639772
2.612	-2.91932835388
2.616	-6.40023257946
2.62	-9.48019763225
2.624	-12.1128992901
2.628	-14.2669086271
2.632	-15.9238022692
2.636	-17.0760211644
2.64	-17.7247977663
2.644	-17.878455633
2.648	-17.5635845964
