datacolumns 2
datarows 163
time	R_hip_fe
2	33.7492555652
2.004	28.7158796503
2.008	23.0126114621
2.012	16.8220754084
2.016	10.3392199373
2.02	3.76101880079
2.024	-2.72247581875
2.028	-8.93549321758
2.032	-14.7222368073
2.036	-19.9509552412
2.04	-24.5165376676
2.044	-28.3418444102
2.048	-43.350890823
2.052	-50.1055071523
2.056	-56.5211486334
2.06	-62.5517281635
2.064	-68.1419048347
2.068	-73.2212745034
2.072	-77.699346148
2.076	-81.4604566297
2.08	-84.3610004128
2.084	-86.2325381696
2.088	-86.9244478907
2.092	-86.439303471
2.096	-84.9767748797
2.1	-82.8242651784
2.104	-80.2840724602
2.108	-77.6407502277
2.112	-75.3701531972
2.116	-73.8918283274
2.12	-72.573766103
2.124	-71.3533783592
2.128	-70.1727023213
2.132	-68.9948880488
2.136	-67.7971602891
2.14	-66.5587059207
2.144	-65.2553548848
2.148	-63.8021982315
2.152	-62.152974992
2.156	-60.4745798179
2.16	-58.7148301999
2.164	-56.8246561311
2.168	-54.7683863201
2.172	-52.5316397255
2.176	-50.1154920903
2.18	-47.5374598277
2.184	-44.8258298992
2.188	-42.0159453581
2.192	-39.1477375179
2.196	-36.2604272235
2.2	-33.39062117
2.204	-30.5728038601
2.208	-27.8371608929
2.212	-25.2108505457
2.216	-22.7179008669
2.22	-20.3787732182
2.224	-18.2089963532
2.228	-16.2206972324
2.232	-14.3339780451
2.236	-12.4973481366
2.24	-10.7923549246
2.244	-9.21948529114
2.248	-7.77486959118
2.252	-6.45278914218
2.256	-5.24588605044
2.26	-4.14772840715
2.264	-3.15288045434
2.268	-2.26003450104
2.272	-1.46871944933
2.276	-0.852626139982
2.28	-0.625216776983
2.284	-0.49572673746
2.288	-0.470867695407
2.292	-0.55981303432
2.296	-0.770711536024
2.3	-1.10684047473
2.304	-1.56378440713
2.308	-2.1275869833
2.312	-2.77372622342
2.316	-3.46758917167
2.32	-4.16559324405
2.324	-4.81639710113
2.328	-5.36331316562
2.332	-5.74745871716
2.336	-5.9107592346
2.34	-5.80122484893
2.344	-5.3757331754
2.348	-4.60556980187
2.352	-3.47909378341
2.356	-2.00243810927
2.36	-0.19995135693
2.364	1.89196214266
2.368	4.22807260418
2.372	6.75947981292
2.376	9.43883368725
2.38	12.223217927
2.384	15.0793326199
2.388	17.9823913975
2.392	20.9179644174
2.396	23.8787779472
2.4	26.8640644403
2.404	29.8765805593
2.408	32.9198669173
2.412	36.0007756167
2.416	39.1235492421
2.42	42.2898258162
2.424	45.5017132613
2.428	48.7556950387
2.432	52.0543410105
2.436	55.3706369557
2.44	58.6977104548
2.444	62.0201042438
2.448	65.3186556374
2.452	68.5712522328
2.456	71.7555120427
2.46	74.8458360953
2.464	77.8180742805
2.468	80.6487336107
2.472	83.3169265396
2.476	85.8012584308
2.48	88.0832264293
2.484	90.1325193162
2.488	91.9191035739
2.492	93.4824861855
2.496	94.8014308996
2.5	95.8843503331
2.504	96.7439325374
2.508	97.4022008366
2.512	97.7940284422
2.516	97.568482052
2.52	97.0628049845
2.524	96.2795065913
2.528	95.216363318
2.532	93.8635508009
2.536	92.1992393833
2.54	90.1894119298
2.544	87.8553760105
2.548	86.3249734252
2.552	84.4802984568
2.556	82.258742465
2.56	79.6085138024
2.564	76.4948858022
2.568	72.9113103201
2.572	68.8703985836
2.576	64.4264955246
2.58	59.6610865943
2.584	54.6582333686
2.588	55.1113599011
2.592	50.4517654762
2.596	45.3690472962
2.6	40.0061219955
2.604	34.5994510731
2.608	29.1705613133
2.612	23.7241869041
2.616	18.2511599294
2.62	12.7325451725
2.624	7.14461882909
2.628	1.46423623942
2.632	-4.32588437885
2.636	-10.2324199449
2.64	-16.2476554839
2.644	-22.3469979056
2.648	-28.4506608087
