datacolumns 2
datarows 163
time	R_knee_fe
2	7.95553959783
2.004	3.60671552534
2.008	-0.765338150872
2.012	-5.06823097006
2.016	-9.21038220792
2.02	-13.1047938335
2.024	-16.6725281662
2.028	-19.8457452568
2.032	-22.5701732626
2.036	-24.8069099179
2.04	-26.5334867654
2.044	-27.7441642026
2.048	-35.3016820138
2.052	-38.2502218089
2.056	-40.9184673206
2.06	-43.2534812214
2.064	-45.1836323289
2.068	-46.6165094027
2.072	-47.4387377213
2.076	-47.5176733152
2.08	-46.7064450906
2.084	-44.8556753846
2.088	-41.8433315421
2.092	-37.641184719
2.096	-32.3322036557
2.1	-26.0582719001
2.104	-18.9909967234
2.108	-11.3150204849
2.112	-3.3198787575
2.116	4.6840030108
2.12	12.8627478476
2.124	21.1211556712
2.128	29.3547991431
2.132	37.4474650255
2.136	45.2731715297
2.14	52.7054328285
2.144	59.6258904857
2.148	65.9538137688
2.152	71.6244949189
2.156	76.4837506359
2.16	80.4837330337
2.164	83.5934840433
2.168	85.7992736068
2.172	87.0982529465
2.176	87.5048668796
2.18	87.0465878818
2.184	85.765021828
2.188	83.7170156066
2.192	80.9712126924
2.196	77.6090948373
2.2	73.7201355885
2.204	69.3977185717
2.208	64.7381333199
2.212	59.8357302947
2.216	54.7802675173
2.22	49.6568654501
2.224	44.5433015677
2.228	39.5083595083
2.232	34.648373206
2.236	30.0300338585
2.24	25.6624861864
2.244	21.5787094009
2.248	17.8043502577
2.252	14.3550714316
2.256	11.23909374
2.26	8.45589771405
2.264	5.99755403339
2.268	3.84784844964
2.272	1.98587106531
2.276	0.353931278475
2.28	-1.16942523442
2.284	-2.49462215806
2.288	-3.66031878631
2.292	-4.70614756844
2.296	-5.66993576034
2.3	-6.58514529629
2.304	-7.47893158716
2.308	-8.37119443689
2.312	-9.27362344216
2.316	-10.1902548434
2.32	-11.117724513
2.324	-12.0460800562
2.328	-12.9598333168
2.332	-13.8397931752
2.336	-14.6641703261
2.34	-15.4118536247
2.344	-16.0638154067
2.348	-16.6067125569
2.352	-17.0342948853
2.356	-17.3474352312
2.36	-17.5556138466
2.364	-17.6722706145
2.368	-17.7141546995
2.372	-17.6974421902
2.376	-17.6355490854
2.38	-17.5374702017
2.384	-17.4057090054
2.388	-17.2384580658
2.392	-17.027257372
2.396	-16.7606613162
2.4	-16.4234968691
2.404	-15.9996867124
2.408	-15.4736695977
2.412	-14.8276215238
2.416	-14.0463805176
2.42	-13.1178624986
2.424	-12.0280604165
2.428	-10.7695779443
2.432	-9.36265845979
2.436	-7.75480395124
2.44	-5.96975682775
2.444	-4.00908085782
2.448	-1.87963103801
2.452	0.410517142092
2.456	2.85044323949
2.46	5.42639234389
2.464	8.12352945026
2.468	10.9243649775
2.472	13.8109622519
2.476	16.7607700057
2.48	19.7495926869
2.484	22.7677141729
2.488	25.7819988595
2.492	28.6877208198
2.496	31.4936460193
2.5	34.1617189445
2.504	36.648954685
2.508	38.9144625747
2.512	40.8780308606
2.516	42.34089551
2.52	43.4014121534
2.524	44.0161625
2.528	44.1497443472
2.532	43.7776971056
2.536	42.8874193727
2.54	41.4810809478
2.544	39.6044815025
2.548	37.7757398696
2.552	35.5882575122
2.556	33.0906886323
2.56	30.3370701196
2.564	27.3851858013
2.568	24.2982314017
2.572	21.1339443876
2.576	17.9596163612
2.58	14.8422205989
2.584	11.8330476162
2.588	10.36321018
2.592	9.42989322207
2.596	8.28959735242
2.6	6.96879891242
2.604	5.52942287133
2.608	3.94244708405
2.612	2.17744328565
2.616	0.205167212709
2.62	-1.9997656945
2.624	-4.45630171405
2.628	-7.17463570468
2.632	-10.1543094645
2.636	-13.3828413335
2.64	-16.8349798057
2.644	-20.4726500614
2.648	-24.2343823548
