datacolumns 2
datarows 179
time	R_ankle_fe
2.32	1.70679631891
2.324	1.20210446732
2.328	0.663590429254
2.332	0.107505936314
2.336	-0.448000388975
2.34	-0.984211819946
2.344	-1.483093309
2.348	-1.92835419237
2.352	-2.30626145255
2.356	-2.60618382132
2.36	-2.82088045387
2.364	-2.9465685033
2.368	-2.98281242362
2.372	-2.93227738292
2.376	-2.80038362096
2.38	-2.59489135509
2.384	-2.32543944414
2.388	-1.6117445219
2.392	-0.719591646889
2.396	0.472025916226
2.4	1.99706976499
2.404	3.87934386216
2.408	6.12461488869
2.412	8.71153002174
2.416	11.581015056
2.42	14.6308741125
2.424	17.735573722
2.428	20.7932990827
2.432	23.7341124735
2.436	26.4996146231
2.44	29.033220407
2.444	31.2962192426
2.448	33.2722569763
2.452	34.9678527167
2.456	36.4097604418
2.46	37.6422189949
2.464	38.7066562176
2.468	39.6321723538
2.472	40.4505376911
2.476	41.172890714
2.48	41.8007600509
2.484	42.3276900943
2.488	42.7390039672
2.492	43.017853431
2.496	43.1457463036
2.5	43.1064194154
2.504	42.8849086149
2.508	42.4653819795
2.512	41.8343204097
2.516	40.9804834428
2.52	39.8978171932
2.524	38.5861286125
2.528	37.0534334221
2.532	35.3128720801
2.536	33.3817313047
2.54	31.2816881524
2.544	29.0381183022
2.548	26.6736320159
2.552	24.2175555231
2.556	21.6933358335
2.56	19.1274211112
2.564	16.5426656116
2.568	13.9637617201
2.572	11.4134524729
2.576	8.91452949327
2.58	6.48825050017
2.584	4.15347572327
2.588	1.92774106373
2.592	-0.176314585993
2.596	-2.14986169111
2.6	-3.98495442211
2.604	-5.67884936528
2.608	-7.2300108225
2.612	-8.63834898168
2.616	-9.90651120437
2.62	-11.0384363872
2.624	-12.0400114976
2.628	-12.918494588
2.632	-13.6836380412
2.636	-14.345838883
2.64	-14.9187862975
2.644	-15.4177878543
2.648	-15.8532335666
2.652	-16.2383904177
2.656	-16.5868169138
2.66	-16.9120576682
2.664	-17.2295055692
2.668	-17.5563674528
2.672	-17.9116435547
2.676	-18.3157778772
2.68	-18.7893216905
2.684	-19.3517113438
2.688	-20.0200237468
2.692	-20.8088707159
2.696	-21.7294039567
2.7	-22.7897018136
2.704	-23.9940900474
2.708	-25.3444730564
2.712	-26.8397041481
2.716	-28.4764608056
2.72	-30.248348005
2.724	-32.1464292663
2.728	-34.1602799645
2.732	-36.2781270824
2.736	-38.4867500506
2.74	-40.7715291514
2.744	-43.1184808316
2.748	-45.5116646627
2.752	-47.9368149883
2.756	-50.3794367394
2.76	-52.8265472288
2.764	-55.2662096615
2.768	-57.6864867024
2.772	-60.0771058414
2.776	-62.426580625
2.78	-64.7259552615
2.784	-66.9620335714
2.788	-69.1222450118
2.792	-71.1917502445
2.796	-73.1544634112
2.8	-74.9937697758
2.804	-76.6906807906
2.808	-78.2273377696
2.812	-79.5836412884
2.816	-80.7379170706
2.82	-81.6714536127
2.824	-82.3635278587
2.828	-82.7916554174
2.832	-82.9360950144
2.836	-82.7762676578
2.84	-82.2924811792
2.844	-81.4657480256
2.848	-80.2761510435
2.852	-78.708507732
2.856	-76.7512915463
2.86	-74.3985531813
2.864	-71.6499925794
2.868	-68.5132450823
2.872	-65.0047316816
2.876	-61.1503971134
2.88	-56.9898888604
2.884	-52.5680965609
2.888	-47.942143774
2.892	-43.1774410586
2.896	-38.3499398637
2.9	-33.5393161665
2.904	-28.8300431272
2.908	-24.3030364462
2.912	-20.0362609058
2.916	-16.097778916
2.92	-12.5144047511
2.924	-9.33843348982
2.928	-6.58818869348
2.932	-4.26405150698
2.936	-2.35291911942
2.94	-0.829628809273
2.944	0.34275689496
2.948	1.20919081984
2.952	1.81875715651
2.956	2.22125813929
2.96	3.67159154276
2.964	3.70006052855
2.968	3.71139031425
2.972	3.69543762521
2.976	3.6633837139
2.98	3.61460673446
2.984	3.54722715976
2.988	3.45834367805
2.992	3.34435276413
2.996	3.20131717392
3	3.02535087964
3.004	2.81299161635
3.008	2.56153651328
3.012	2.26932063713
3.016	1.935922321
3.02	1.56228277202
3.024	1.15073061711
3.028	0.705669194325
3.032	0.231655071891
