datacolumns 14
datarows 179
time	bicfemlh_r	bicfemsh_r	gaslat_r	gasmed_r	gra_r	recfem_r	sar_r	semimem_r	semiten_r	tfl_r	vasint_r	vaslat_r	vasmed_r
2.32	-0.0151685986562	-0.00419848132806	-0.0160876262777	-0.01437007499	-0.0166817636461	0.0508402618812	0.000185299671687	-0.0266403277776	-0.0342510998415	0.0131033639743	0.0463812514796	0.040853814717	0.0440475201239
2.324	-0.0135387504969	-0.00264167525858	-0.0160358857743	-0.0142392781729	-0.0156200244914	0.0513725925943	0.000900307192041	-0.0254495891648	-0.0330581401069	0.0131360407404	0.04718997592	0.040874716293	0.0445001711181
2.328	-0.012023208852	-0.00121363796657	-0.0160445609774	-0.0141727606267	-0.0146188017644	0.0516537998511	0.00153347138265	-0.0243337630616	-0.0319356312926	0.0130836144397	0.0477410918517	0.0407000140544	0.0447998491368
2.332	-0.0106312627091	8.31556155549e-05	-0.0160964926375	-0.0141545658082	-0.0136834916701	0.0506680738501	0.00208995785683	-0.0233019946593	-0.0308936940405	0.0129673653961	0.0467107303032	0.038639402686	0.043233089645
2.336	-0.00936956251531	0.00124796301688	-0.0161766848531	-0.0141705789838	-0.0128185848786	0.0495343874616	0.00257516283587	-0.0223612875815	-0.0299402791186	0.0128074015582	0.0454767676369	0.0364432829998	0.0415056482921
2.34	-0.0082432912443	0.00228059838076	-0.0162725144463	-0.0142088067587	-0.0120282972993	0.0479888290743	0.00299405530049	-0.0215173250323	-0.0290819726787	0.0126220347593	0.0437812325709	0.0339332238291	0.0393543598143
2.344	-0.00725583949246	0.00318176805823	-0.0163737561704	-0.0142594094321	-0.0113160115134	0.046217811083	0.00335125074789	-0.0207742139652	-0.0283237080992	0.012427297123	0.0418263831588	0.0312927622338	0.0369829458401
2.348	-0.00640881576702	0.00395294862085	-0.0164724471601	-0.0143146069489	-0.0106847032144	0.0446702783536	0.00365093897185	-0.0201344801695	-0.027668765561	0.0122366861888	0.0400874965094	0.0289527550342	0.0348531689601
2.352	-0.00570326891975	0.00459537006147	-0.0165625117742	-0.014368399715	-0.0101376007838	0.0435404747713	0.00389651873177	-0.0196000068959	-0.027119713207	0.0120613607036	0.038777788784	0.0271131177673	0.0331813617064
2.356	-0.00513954669694	0.00511037302847	-0.0166394987606	-0.0144163226211	-0.00967734182483	0.0427404288657	0.00409080280519	-0.0191719454906	-0.0266782826431	0.0119101704067	0.0378182858357	0.0257104184333	0.0319071557558
2.36	-0.00471756841149	0.005499123278	-0.0167002519696	-0.0144551639145	-0.0093066159902	0.0421997963842	0.00423597660264	-0.0188509624566	-0.0263456298286	0.0117898901476	0.0371469383285	0.024694069602	0.0309836504151
2.364	-0.00443590288346	0.00576352295176	-0.0167427998421	-0.0144828293753	-0.00902730829439	0.0418643863947	0.00433400194395	-0.0186364718851	-0.0261215701198	0.0117051067019	0.0367162071252	0.0240236965895	0.0303741696684
2.368	-0.00429223416158	0.00590588992559	-0.0167661054669	-0.0144981300182	-0.00884057576079	0.0416965527786	0.00438654952968	-0.0185270572907	-0.0260049751181	0.0116584677933	0.0364929181803	0.0236697286742	0.0300521858368
2.372	-0.00428370703552	0.00592878443895	-0.016769878588	-0.0145006164451	-0.0087465545258	0.0416747103943	0.0043949847067	-0.0185207361175	-0.0259940214861	0.0116509035726	0.0364575735314	0.0236132629175	0.0300008093685
2.376	-0.00440646814366	0.00583533515582	-0.0167545215736	-0.0144905124594	-0.00874456220168	0.0417918909077	0.00436052816313	-0.0186146090055	-0.0260858638077	0.0116816671919	0.0366028219952	0.0238445374032	0.0302112158385
2.38	-0.00465426276764	0.0056305250478	-0.0167212763969	-0.0144687896612	-0.00883197823066	0.0420527833289	0.00428476459124	-0.0188037692995	-0.0262755270697	0.0117480534127	0.0369302617352	0.0243587946862	0.0306788753538
2.384	-0.00502140820413	0.00531864723351	-0.0166717743825	-0.0144368549995	-0.00900610830036	0.042475151961	0.00416873639961	-0.0190836592321	-0.0265582925025	0.0118463820379	0.0374529655875	0.0251613620733	0.0314083134644
2.388	-0.00549796690572	0.00490753960779	-0.0166086890912	-0.0143969562479	-0.00926113138367	0.0430817015896	0.00401455430404	-0.0194463186632	-0.0269259164994	0.0119708341244	0.0381866186804	0.0262552139594	0.0324020522115
2.392	-0.0060737339249	0.0044051531351	-0.0165351337349	-0.0143517617056	-0.00959079505708	0.0439013015574	0.00382418213216	-0.0198835087422	-0.0273698264877	0.0121148210122	0.039152495221	0.0276474258576	0.0336667834487
2.396	-0.0067387031086	0.00381921068756	-0.0164545745042	-0.0143042829757	-0.00998865866722	0.0449668650206	0.0035993540256	-0.0203871364149	-0.0278815462729	0.0122713061203	0.0403759818692	0.0293482693246	0.0352128374477
2.4	-0.0074784642568	0.00316131442482	-0.016371285777	-0.0142580910803	-0.0104452799648	0.0463039774795	0.00334322806018	-0.0209456752433	-0.0284491291628	0.0124320537999	0.0418749901354	0.0313567770217	0.0370412802758
2.404	-0.00827963963058	0.00244228436065	-0.0162895094544	-0.0142167369867	-0.0109515680436	0.0477393642685	0.0030587085864	-0.0215484688584	-0.0290615006671	0.0125893416274	0.0434632955173	0.0334906744374	0.0389631201418
2.408	-0.00912825837627	0.00167363578488	-0.0162134726107	-0.0141836896552	-0.0114979233641	0.0489941595398	0.00274910048264	-0.0221844722774	-0.0297072246271	0.012735917941	0.0448474833069	0.0354741722743	0.0406909149156
2.412	-0.0100100890415	0.000867368417703	-0.0161471268205	-0.0141620968435	-0.0120744157763	0.050003809393	0.00241812470531	-0.0228425441138	-0.0303748094016	0.0128654263992	0.045957880732	0.0372333969718	0.0421500647285
2.416	-0.0109245223628	2.28826809861e-05	-0.0160931874358	-0.0141545535352	-0.0126845698187	0.0507332238776	0.00206447725295	-0.0235222447713	-0.0310637093087	0.0129742152788	0.0467567359151	0.0387363023089	0.0433041705533
2.42	-0.0118773917992	-0.000866550636325	-0.0160544586745	-0.0141640455209	-0.0133377482192	0.0513926750613	0.00168412337105	-0.0242280115221	-0.0317783180915	0.0130589043703	0.0474569975741	0.04015328772	0.0443722143995
2.424	-0.0128350901296	-0.00176961304491	-0.0160349782887	-0.0141927289871	-0.0140006533626	0.051698039073	0.00128952304714	-0.0249337635132	-0.0324918894789	0.0131134373181	0.0476955213784	0.0409516908045	0.0448022706438
2.428	-0.0137888810717	-0.00267824898001	-0.0160363570293	-0.0142416434722	-0.0146657433538	0.0513691762711	0.000883807206178	-0.0256328995943	-0.0331976461666	0.0131363448057	0.0471695022042	0.0408724336164	0.0444881847432
2.432	-0.0147322186831	-0.00358624157582	-0.0160594669518	-0.0143112196449	-0.0153273413614	0.0510488774047	0.00046958984162	-0.0263205632481	-0.0338906287531	0.0131273350497	0.0466829755659	0.0408425895658	0.0442106504896
2.436	-0.0156620910928	-0.00449056024865	-0.0161046884135	-0.0144015908856	-0.0159824425524	0.0507497282839	4.82527413088e-05	-0.0269946263094	-0.0345686449866	0.0130868781685	0.0462456689775	0.0408688010149	0.0439772572551
