datacolumns 2
datarows 179
time	R_knee_fe
2.32	8.56730199053
2.324	2.57765157044
2.328	-3.40238524722
2.332	-9.21884748449
2.336	-14.724485724
2.34	-19.7857734431
2.344	-24.2881592634
2.348	-28.1395206918
2.352	-31.2719934168
2.356	-33.6424827924
2.36	-35.2322110727
2.364	-36.0456154621
2.368	-36.1088175918
2.372	-35.4677732422
2.376	-34.1861171537
2.38	-32.3426638018
2.384	-30.0285177194
2.388	-31.6189792282
2.392	-31.1416651907
2.396	-30.8196557726
2.4	-30.6534669679
2.404	-30.5894640577
2.408	-30.5147927545
2.412	-30.257336262
2.416	-29.5942317604
2.42	-28.2805927368
2.424	-26.1414128317
2.428	-23.1737572494
2.432	-19.5129616007
2.436	-15.34908751
2.44	-10.8895643645
2.444	-6.33375063957
2.448	-1.84256368797
2.452	2.48739165011
2.456	6.63087233535
2.46	10.6250980467
2.464	14.5267633447
2.468	18.2562041315
2.472	21.9539971951
2.476	25.6031808941
2.48	29.1555495135
2.484	32.5579055986
2.488	35.7625384017
2.492	38.7383488217
2.496	41.4691373132
2.5	43.952108807
2.504	46.1910767264
2.508	48.1887138399
2.512	49.9465590232
2.516	51.4643478695
2.52	52.741712754
2.524	53.7775259308
2.528	54.5690386315
2.532	55.1077254651
2.536	55.3792311066
2.54	55.3679841959
2.544	55.0597085587
2.548	54.4403538119
2.552	53.5100916669
2.556	52.274195815
2.56	50.7522285973
2.564	48.9677158668
2.568	46.9505871542
2.572	44.7304609188
2.576	42.3387327502
2.58	39.8073931308
2.584	37.168315966
2.588	34.4554697638
2.592	31.7010669054
2.596	28.9369674543
2.6	26.1962526604
2.604	23.5078653148
2.608	20.8988317421
2.612	18.3924304889
2.616	16.0065402747
2.62	13.7540320312
2.624	11.6424384784
2.628	9.67438789839
2.632	7.84711201023
2.636	6.15503789362
2.64	4.58450128574
2.644	3.06036912571
2.648	1.63411854816
2.652	0.296612566102
2.656	-0.960036469499
2.66	-2.14387946902
2.664	-3.26762774411
2.668	-4.34886538159
2.672	-5.40856715582
2.676	-6.46767282012
2.68	-7.54368554723
2.684	-8.64718580999
2.688	-9.77929120786
2.692	-10.9312055526
2.696	-12.0835572727
2.7	-13.2081440851
2.704	-14.270054347
2.708	-15.2329586027
2.712	-16.062957207
2.716	-16.7337128859
2.72	-17.2296912112
2.724	-17.548504658
2.728	-17.701557009
2.732	-17.7105614966
2.736	-17.6022804141
2.74	-17.4027325731
2.744	-17.1340134041
2.748	-16.8081745343
2.752	-16.4294672769
2.756	-15.9933811377
2.76	-15.4904304156
2.764	-14.9073332362
2.768	-14.2273464497
2.772	-13.4324558464
2.776	-12.5017637265
2.78	-11.4172512169
2.784	-10.1592614944
2.788	-8.7135000416
2.792	-7.06900499275
2.796	-5.21950490414
2.8	-3.16472722831
2.804	-0.909446096161
2.808	1.53220694618
2.812	4.14194172481
2.816	6.89721510097
2.82	9.76729445416
2.824	12.7196714787
2.828	15.7196210896
2.832	18.7272287813
2.836	21.7022039212
2.84	24.6023044387
2.844	27.3849982081
2.848	30.0093237686
2.852	32.4323445758
2.856	34.613558467
2.86	36.5156313085
2.864	38.1083002143
2.868	39.3678771348
2.872	40.2789934393
2.876	40.8356832923
2.88	40.9690086199
2.884	40.7114688176
2.888	40.110013189
2.892	39.1877137854
2.896	37.9710362213
2.9	36.492286184
2.904	34.782669122
2.908	32.8737218636
2.912	30.7907720418
2.916	28.5550159706
2.92	26.555660683
2.924	24.5578577501
2.928	22.5378626288
2.932	20.495475805
2.936	18.4297820415
2.94	16.3550459714
2.944	14.3106032858
2.948	12.3510455477
2.952	10.5692539917
2.956	9.04783132264
2.96	7.21486768224
2.964	7.6710238824
2.968	8.18494974842
2.972	8.68866277922
2.976	9.25209646851
2.98	9.79684736249
2.984	10.231080974
2.988	10.4557070524
2.992	10.3710494065
2.996	9.88344281167
3	8.91128481638
3.004	7.39018955728
3.008	5.2770106335
3.012	2.55260385817
3.016	-0.77672115945
3.02	-4.67906235424
3.024	-9.09807903118
3.028	-13.9486126496
3.032	-19.1374787041
