datacolumns 2
datarows 78
time	R_knee_fe
3.164	-3.67115949422
3.168	-25.0741756183
3.172	-45.6674517811
3.176	-64.7699528757
3.18	-80.710061558
3.184	-92.8619330921
3.188	-101.009256368
3.192	-105.284527136
3.196	-106.086664947
3.2	-104.03364446
3.204	-99.832304871
3.208	-94.1943228263
3.212	-87.772616476
3.216	-81.1192555839
3.22	-74.6622968174
3.224	-68.6976606171
3.228	-63.3925779038
3.232	-58.7980084407
3.236	-52.8906035526
3.24	-47.3153592191
3.244	-39.7602014607
3.248	-29.3511127215
3.252	-15.938101591
3.256	-0.00122618943641
3.26	17.8318261328
3.264	37.1904312852
3.268	58.2008072163
3.272	80.7645263235
3.276	103.970301598
3.28	126.666564688
3.284	147.974369005
3.288	167.145414403
3.292	183.611547837
3.296	196.841776773
3.3	206.414751728
3.304	212.11242791
3.308	213.922988571
3.312	212.013870635
3.316	206.628320144
3.32	198.100767879
3.324	186.899158086
3.328	173.654484399
3.332	159.050126513
3.336	143.647499886
3.34	127.760436937
3.344	111.446688474
3.348	94.598412692
3.352	77.1972249509
3.356	59.3286083588
3.36	41.6060092564
3.364	27.9156447382
3.368	15.099209677
3.372	3.16940634485
3.376	-9.7942646808
3.38	-22.1696399784
3.384	-31.5992305759
3.388	-37.7312647863
3.392	-40.7552011649
3.396	-41.3993014397
3.4	-40.6235833139
3.404	-39.2062118238
3.408	-22.5725479163
3.412	-26.3940433385
3.416	-28.4060411066
3.42	-28.7794601286
3.424	-27.848683271
3.428	-25.9416065401
3.432	-23.3166574637
3.436	-20.1500390443
3.44	-16.655444807
3.444	-13.0853056497
3.448	-11.2648026361
3.452	-10.2977565751
3.456	-9.83721706489
3.46	-9.98447639383
3.464	-10.2412841311
3.468	-9.95457761473
3.472	-10.3905774105
