datacolumns 2
datarows 80
time	R_hip_aa
3.036	-47.4542825055
3.04	-33.6081689209
3.044	-18.2820954203
3.048	-3.41542160377
3.052	9.33442417247
3.056	18.9828695794
3.06	24.8605504037
3.064	26.6653209326
3.068	24.7886758049
3.072	19.9556124017
3.076	13.0859015089
3.08	5.17294319472
3.084	-2.8155777671
3.088	-10.0114220554
3.092	-15.7054086608
3.096	-19.3919062129
3.1	-20.7970525848
3.104	-19.8882719655
3.108	-25.8268120889
3.112	-27.2856177642
3.116	-29.1332462093
3.12	-31.3980970567
3.124	-33.9089675141
3.128	-37.0405660668
3.132	-41.7859614125
3.136	-49.0599170032
3.14	-58.9349132706
3.144	-70.9223231513
3.148	-84.3494175262
3.152	-98.2057077683
3.156	-111.464676528
3.16	-123.476312364
3.164	-133.794351754
3.168	-142.204928546
3.172	-148.425420768
3.176	-152.160852155
3.18	-153.270398834
3.184	-151.850876919
3.188	-148.224694482
3.192	-142.874881561
3.196	-136.363288318
3.2	-129.198588357
3.204	-121.847630888
3.208	-114.731922974
3.212	-108.144376044
3.216	-102.260803931
3.22	-97.1937036171
3.224	-93.0137009764
3.228	-89.8108153353
3.232	-87.615494189
3.236	-86.2987663361
3.24	-87.1468538066
3.244	-88.1385886657
3.248	-87.5940736243
3.252	-84.155080901
3.256	-75.4628178085
3.26	-62.5214584532
3.264	-46.4000154351
3.268	-28.5976044157
3.272	-10.9639967633
3.276	5.00257267111
3.28	18.51920496
3.284	29.5095200187
3.288	36.8316682295
3.292	43.4360671414
3.296	46.2942541482
3.3	41.4175003466
3.304	22.7462894765
3.308	-15.9987466318
3.312	-77.4696895439
3.316	-155.609174367
3.32	-231.340162426
3.324	-271.823165227
3.328	-236.119491755
3.332	-89.2768976564
3.336	178.697480753
3.34	526.905643429
3.344	861.279575896
3.348	1059.48032801
3.352	1024.46045381
