datacolumns 2
datarows 79
time	R_ankle_fe
3.5	3.95311793197
3.504	1.38824171747
3.508	-1.21921566594
3.512	-3.68497354347
3.516	-5.85669206383
3.52	-7.63429123566
3.524	-8.95139306505
3.528	-9.76673239022
3.532	-10.0929216975
3.536	-9.9643915712
3.54	-9.42895809783
3.544	-8.54251280389
3.548	-7.36655899653
3.552	-5.9675659398
3.556	-4.41683131387
3.56	-2.7896938153
3.564	-1.16341216566
3.568	0.386348996141
3.572	1.78992599105
3.576	-1.01217027115
3.58	-4.81501316009
3.584	-10.8985937073
3.588	-19.2855432753
3.592	-29.9355407068
3.596	-42.6103691652
3.6	-56.6906015125
3.604	-71.4483801917
3.608	-86.2325407393
3.612	-100.56473106
3.616	-114.154031899
3.62	-126.760970749
3.624	-138.149782289
3.628	-148.153395645
3.632	-156.716400963
3.636	-163.870327234
3.64	-169.69849475
3.644	-174.26917023
3.648	-177.675867967
3.652	-180.056787602
3.656	-181.555179109
3.66	-182.281346348
3.664	-182.262202337
3.668	-181.463542791
3.672	-179.819254844
3.676	-177.2279666
3.68	-173.528602464
3.684	-168.528421088
3.688	-162.038161729
3.692	-153.934930222
3.696	-143.900135782
3.7	-132.652687835
3.704	-120.158355359
3.708	-106.54990226
3.712	-92.0960274401
3.716	-77.4872189723
3.72	-63.2643216739
3.724	-50.0239864378
3.728	-38.0537778751
3.732	-27.716414685
3.736	-19.2133473187
3.74	-12.6045560773
3.744	-7.8190071776
3.748	-4.67405775755
3.752	1.65848141311
3.756	0.254815307071
3.76	-1.03446385446
3.764	-2.08070532799
3.768	-2.79836649368
3.772	-3.15597321683
3.776	-3.17471471303
3.78	-2.90714584939
3.784	-2.44206355458
3.788	-1.86124660961
3.792	-1.24938251821
3.796	-0.662399886359
3.8	-0.16496789616
3.804	0.224356316148
3.808	0.534986078708
3.812	0.791375698857
