datacolumns 2
datarows 79
time	R_hip_fe
3.5	32.1453166194
3.504	-19.0565319567
3.508	-69.2021381746
3.512	-114.832916677
3.516	-153.342722776
3.52	-183.512592059
3.524	-204.862627445
3.528	-217.338236132
3.532	-222.298970513
3.536	-221.44351911
3.54	-216.469968448
3.544	-208.823014694
3.548	-199.553892292
3.552	-189.292280911
3.556	-178.306659819
3.56	-166.615745707
3.564	-154.112359903
3.568	-140.671243755
3.572	-126.227822757
3.576	-130.311805689
3.58	-130.946705542
3.584	-133.562294344
3.588	-135.709337133
3.592	-135.900135098
3.596	-134.396254078
3.6	-131.604113177
3.604	-127.274828096
3.608	-120.766041546
3.612	-112.095941425
3.616	-102.283843053
3.62	-92.5759166545
3.624	-83.8057729155
3.628	-76.3804417995
3.632	-70.5333139534
3.636	-66.4199592049
3.64	-64.071533197
3.644	-63.1972834681
3.648	-63.1161259339
3.652	-62.8736945242
3.656	-61.5272586302
3.66	-58.2956911821
3.664	-52.4297965137
3.668	-43.2461353888
3.672	-30.5674864022
3.676	-15.0242109021
3.68	2.62992251183
3.684	21.0675645788
3.688	38.7868870723
3.692	54.2001195488
3.696	65.8498053099
3.7	72.8238015155
3.704	74.8356047551
3.708	79.7688033161
3.712	81.9053663288
3.716	79.7991221993
3.72	73.2379890069
3.724	59.9759677385
3.728	48.1018068292
3.732	38.3446365989
3.736	31.1552133415
3.74	26.2336682042
3.744	22.6489749605
3.748	19.4946052878
3.752	33.6733589123
3.756	25.3276617996
3.76	20.1429131222
3.764	18.5529800034
3.768	20.679712171
3.772	26.1655989379
3.776	34.0557659418
3.78	42.5328861147
3.784	50.0406442042
3.788	54.6284000624
3.792	54.3174247876
3.796	47.7544569967
3.8	33.7110068154
3.804	12.6409416328
3.808	-13.3206058743
3.812	-41.8939700557
