datacolumns 17
datarows 939
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
3.37	0.171734	0.014704	0.008288	0.031751	0.0224	0.043155	0.163184	0.026796	0.029226	0.065146	0.025393	0.009209	0.085747	0.182665	0.004447	0.003091
3.3705	0.169764	0.014642	0.008304	0.031948	0.02231	0.043109	0.160641	0.02669	0.028683	0.064257	0.025461	0.009204	0.084833	0.181916	0.004423	0.003068
3.371	0.167788	0.014579	0.00832	0.032141	0.022226	0.043058	0.158112	0.026585	0.028148	0.063372	0.025531	0.009199	0.083915	0.181152	0.0044	0.003045
3.3715	0.165807	0.014517	0.008336	0.032328	0.022149	0.043004	0.155597	0.026478	0.02762	0.062489	0.025604	0.009192	0.08299	0.180375	0.004376	0.003023
3.372	0.163821	0.014454	0.008351	0.032511	0.022079	0.042947	0.153098	0.026371	0.0271	0.061609	0.02568	0.009185	0.082061	0.179584	0.004352	0.003002
3.3725	0.161832	0.014393	0.008366	0.032689	0.022016	0.042885	0.150614	0.026264	0.026586	0.060732	0.025758	0.009177	0.081127	0.178779	0.004328	0.002982
3.373	0.159841	0.014331	0.00838	0.032861	0.02196	0.042819	0.148147	0.026156	0.02608	0.059858	0.02584	0.009168	0.080189	0.177963	0.004304	0.002962
3.3735	0.157848	0.01427	0.008393	0.033028	0.021911	0.042748	0.145697	0.026047	0.025581	0.058988	0.025924	0.009158	0.079246	0.177134	0.00428	0.002943
3.374	0.155856	0.01421	0.008407	0.033189	0.02187	0.042673	0.143264	0.025939	0.025089	0.058121	0.026012	0.009148	0.0783	0.176293	0.004255	0.002924
3.3745	0.153865	0.014151	0.00842	0.033344	0.021836	0.042593	0.14085	0.025829	0.024604	0.057257	0.026103	0.009136	0.077351	0.17544	0.004231	0.002907
3.375	0.151875	0.014093	0.008432	0.033493	0.02181	0.042509	0.138453	0.02572	0.024126	0.056398	0.026197	0.009124	0.076398	0.174576	0.004206	0.002889
3.3755	0.14989	0.014036	0.008444	0.033635	0.021792	0.04242	0.136076	0.02561	0.023654	0.055543	0.026296	0.009111	0.075442	0.173701	0.004181	0.002873
3.376	0.147908	0.013981	0.008455	0.033771	0.021782	0.042325	0.133718	0.025499	0.02319	0.054692	0.026398	0.009097	0.074484	0.172815	0.004157	0.002857
3.3765	0.145931	0.013927	0.008466	0.033899	0.021781	0.042225	0.131379	0.025388	0.022732	0.053845	0.026503	0.009083	0.073524	0.171918	0.004132	0.002842
3.377	0.143961	0.013874	0.008477	0.034021	0.021788	0.04212	0.129061	0.025277	0.022281	0.053004	0.026613	0.009067	0.072561	0.171011	0.004108	0.002827
3.3775	0.141999	0.013824	0.008487	0.034135	0.021804	0.042009	0.126762	0.025166	0.021837	0.052167	0.026727	0.009051	0.071597	0.170094	0.004083	0.002814
3.378	0.140045	0.013776	0.008496	0.034241	0.021829	0.041893	0.124485	0.025054	0.021399	0.051335	0.026845	0.009033	0.070631	0.169168	0.004059	0.0028
3.3785	0.1381	0.013729	0.008506	0.034339	0.021863	0.04177	0.122228	0.024942	0.020967	0.050508	0.026968	0.009015	0.069664	0.168232	0.004034	0.002788
3.379	0.136166	0.013685	0.008514	0.034429	0.021906	0.041642	0.119992	0.02483	0.020542	0.049686	0.027095	0.008996	0.068696	0.167288	0.00401	0.002776
3.3795	0.134243	0.013643	0.008522	0.034511	0.021959	0.041507	0.117778	0.024718	0.020123	0.048869	0.027226	0.008976	0.067728	0.166335	0.003986	0.002765
3.38	0.132333	0.013604	0.00853	0.034584	0.022021	0.041366	0.115586	0.024605	0.01971	0.048058	0.027362	0.008955	0.066759	0.165374	0.003961	0.002754
3.3805	0.130436	0.013568	0.008537	0.034649	0.022094	0.041218	0.113415	0.024493	0.019303	0.047252	0.027503	0.008933	0.065791	0.164405	0.003937	0.002744
3.381	0.128554	0.013534	0.008544	0.034705	0.022176	0.041065	0.111267	0.02438	0.018902	0.046452	0.027649	0.00891	0.064823	0.163429	0.003914	0.002735
3.3815	0.126687	0.013503	0.008549	0.034752	0.022268	0.040905	0.109142	0.024267	0.018507	0.045657	0.027799	0.008886	0.063857	0.162446	0.00389	0.002726
3.382	0.124836	0.013475	0.008555	0.03479	0.022371	0.040739	0.10704	0.024155	0.018117	0.044868	0.027954	0.008861	0.062891	0.161457	0.003867	0.002718
3.3825	0.123002	0.01345	0.00856	0.03482	0.022484	0.040566	0.10496	0.024042	0.017734	0.044085	0.028114	0.008835	0.061928	0.160462	0.003843	0.00271
3.383	0.121186	0.013429	0.008564	0.03484	0.022608	0.040388	0.102904	0.02393	0.017356	0.043308	0.028279	0.008808	0.060966	0.159461	0.00382	0.002703
3.3835	0.119389	0.013411	0.008567	0.034852	0.022742	0.040204	0.100871	0.023818	0.016983	0.042538	0.028448	0.00878	0.060007	0.158454	0.003797	0.002697
3.384	0.117612	0.013396	0.00857	0.034855	0.022888	0.040014	0.098862	0.023706	0.016616	0.041773	0.028623	0.008751	0.059051	0.157443	0.003775	0.002691
3.3845	0.115854	0.013385	0.008572	0.034849	0.023044	0.039819	0.096877	0.023595	0.016254	0.041015	0.028803	0.00872	0.058097	0.156427	0.003752	0.002686
3.385	0.114118	0.013378	0.008574	0.034834	0.023212	0.039618	0.094915	0.023484	0.015898	0.040263	0.028988	0.008689	0.057148	0.155406	0.00373	0.002681
3.3855	0.112404	0.013375	0.008574	0.034811	0.023391	0.039411	0.092978	0.023373	0.015547	0.039517	0.029178	0.008656	0.056202	0.154381	0.003709	0.002677
3.386	0.110712	0.013376	0.008574	0.03478	0.023582	0.039199	0.091065	0.023263	0.015202	0.038779	0.029373	0.008622	0.05526	0.153352	0.003687	0.002673
3.3865	0.109044	0.013381	0.008573	0.03474	0.023784	0.038981	0.089177	0.023153	0.014862	0.038047	0.029573	0.008588	0.054322	0.152318	0.003666	0.00267
3.387	0.1074	0.01339	0.008572	0.034693	0.023998	0.038759	0.087312	0.023043	0.014527	0.037322	0.029779	0.008552	0.053389	0.151281	0.003645	0.002668
3.3875	0.105781	0.013403	0.008569	0.034637	0.024224	0.038531	0.085473	0.022934	0.014197	0.036604	0.029989	0.008515	0.052461	0.150241	0.003625	0.002666
3.388	0.104188	0.013421	0.008566	0.034574	0.024462	0.038299	0.083658	0.022826	0.013872	0.035893	0.030205	0.008477	0.051539	0.149196	0.003604	0.002664
3.3885	0.10262	0.013443	0.008561	0.034503	0.024712	0.038062	0.081868	0.022717	0.013553	0.035189	0.030425	0.008438	0.050621	0.148149	0.003585	0.002663
3.389	0.10108	0.01347	0.008556	0.034425	0.024975	0.03782	0.080103	0.02261	0.013238	0.034493	0.030651	0.008397	0.04971	0.147097	0.003565	0.002662
3.3895	0.099567	0.013502	0.00855	0.034339	0.02525	0.037574	0.078362	0.022503	0.012928	0.033804	0.030881	0.008356	0.048804	0.146043	0.003546	0.002662
3.39	0.098082	0.013538	0.008543	0.034247	0.025538	0.037325	0.076647	0.022396	0.012624	0.033122	0.031117	0.008314	0.047905	0.144985	0.003527	0.002662
3.3905	0.096625	0.01358	0.008535	0.034148	0.025839	0.037071	0.074957	0.02229	0.012324	0.032447	0.031357	0.008271	0.047012	0.143924	0.003509	0.002663
3.391	0.095198	0.013626	0.008526	0.034042	0.026153	0.036814	0.073292	0.022184	0.012029	0.03178	0.031603	0.008227	0.046125	0.14286	0.003491	0.002664
3.3915	0.093801	0.013678	0.008516	0.03393	0.026479	0.036553	0.071652	0.022079	0.011739	0.03112	0.031853	0.008182	0.045246	0.141793	0.003473	0.002665
3.392	0.092433	0.013734	0.008505	0.033812	0.026819	0.03629	0.070037	0.021974	0.011453	0.030468	0.032108	0.008135	0.044373	0.140724	0.003456	0.002667
3.3925	0.091097	0.013796	0.008492	0.033688	0.027173	0.036023	0.068448	0.02187	0.011172	0.029824	0.032367	0.008088	0.043508	0.139652	0.00344	0.002669
3.393	0.089791	0.013863	0.008479	0.033558	0.02754	0.035754	0.066884	0.021766	0.010896	0.029187	0.032631	0.00804	0.042649	0.138577	0.003423	0.002671
3.3935	0.088517	0.013936	0.008465	0.033422	0.027921	0.035483	0.065346	0.021663	0.010624	0.028558	0.0329	0.007991	0.041799	0.137501	0.003408	0.002674
3.394	0.087275	0.014014	0.008449	0.033281	0.028315	0.035209	0.063833	0.02156	0.010358	0.027937	0.033173	0.007941	0.040956	0.136422	0.003392	0.002677
3.3945	0.086065	0.014097	0.008433	0.033134	0.028723	0.034932	0.062345	0.021458	0.010095	0.027324	0.03345	0.00789	0.04012	0.135341	0.003377	0.002681
3.395	0.084888	0.014186	0.008415	0.032982	0.029146	0.034654	0.060883	0.021356	0.009838	0.026719	0.033731	0.007838	0.039293	0.134259	0.003363	0.002685
3.3955	0.083744	0.014281	0.008396	0.032825	0.029582	0.034375	0.059447	0.021255	0.009584	0.026121	0.034016	0.007785	0.038474	0.133175	0.003349	0.002689
3.396	0.082634	0.014381	0.008376	0.032662	0.030033	0.034094	0.058037	0.021154	0.009336	0.025532	0.034306	0.007732	0.037663	0.132089	0.003335	0.002693
3.3965	0.081558	0.014487	0.008355	0.032495	0.030498	0.033811	0.056652	0.021054	0.009092	0.024951	0.034599	0.007677	0.036861	0.131003	0.003322	0.002697
3.397	0.080515	0.014599	0.008332	0.032323	0.030978	0.033528	0.055292	0.020954	0.008852	0.024378	0.034895	0.007622	0.036067	0.129916	0.003309	0.002702
3.3975	0.079507	0.014717	0.008308	0.032145	0.031472	0.033243	0.053959	0.020854	0.008617	0.023813	0.035195	0.007565	0.035282	0.128828	0.003297	0.002707
3.398	0.078533	0.01484	0.008284	0.031964	0.031981	0.032958	0.052651	0.020755	0.008387	0.023257	0.035499	0.007508	0.034506	0.12774	0.003285	0.002712
3.3985	0.077595	0.01497	0.008257	0.031777	0.032506	0.032673	0.051368	0.020657	0.008161	0.022709	0.035805	0.00745	0.033738	0.126652	0.003274	0.002718
3.399	0.076691	0.015105	0.00823	0.031586	0.033045	0.032387	0.050112	0.020558	0.007939	0.022169	0.036115	0.007391	0.03298	0.125565	0.003264	0.002724
3.3995	0.075823	0.015246	0.008201	0.03139	0.033599	0.032101	0.048881	0.02046	0.007722	0.021637	0.036427	0.007331	0.032231	0.124478	0.003253	0.00273
3.4	0.074991	0.015394	0.008172	0.03119	0.034168	0.031815	0.047675	0.020363	0.007509	0.021113	0.036743	0.007271	0.031491	0.123392	0.003244	0.002736
3.4005	0.074194	0.015547	0.008141	0.030985	0.034752	0.03153	0.046496	0.020266	0.0073	0.020598	0.03706	0.007209	0.030761	0.122307	0.003234	0.002742
3.401	0.073433	0.015707	0.008108	0.030776	0.035352	0.031244	0.045342	0.020169	0.007096	0.020091	0.03738	0.007147	0.03004	0.121223	0.003226	0.002749
3.4015	0.072707	0.015873	0.008075	0.030563	0.035968	0.03096	0.044213	0.020072	0.006897	0.019593	0.037702	0.007084	0.029329	0.120141	0.003218	0.002755
3.402	0.072018	0.016044	0.00804	0.030345	0.036598	0.030676	0.04311	0.019976	0.006701	0.019103	0.038026	0.00702	0.028628	0.11906	0.00321	0.002762
3.4025	0.071365	0.016222	0.008004	0.030124	0.037244	0.030394	0.042033	0.01988	0.00651	0.018621	0.038352	0.006955	0.027936	0.117981	0.003203	0.002769
3.403	0.070748	0.016406	0.007967	0.029898	0.037906	0.030112	0.04098	0.019785	0.006323	0.018147	0.03868	0.006889	0.027255	0.116903	0.003196	0.002776
3.4035	0.070168	0.016597	0.007929	0.029668	0.038584	0.029832	0.039954	0.01969	0.006141	0.017682	0.039009	0.006822	0.026583	0.115827	0.00319	0.002783
3.404	0.069624	0.016793	0.00789	0.029434	0.039277	0.029553	0.038952	0.019595	0.005962	0.017225	0.039339	0.006755	0.025921	0.114754	0.003184	0.002791
3.4045	0.069116	0.016996	0.007849	0.029195	0.039985	0.029277	0.037976	0.0195	0.005788	0.016776	0.03967	0.006687	0.025269	0.113682	0.003179	0.002798
3.405	0.068644	0.017205	0.007807	0.028953	0.04071	0.029002	0.037024	0.019406	0.005618	0.016336	0.040003	0.006617	0.024627	0.112613	0.003175	0.002805
3.4055	0.068209	0.01742	0.007764	0.028707	0.04145	0.028729	0.036098	0.019312	0.005452	0.015903	0.040335	0.006547	0.023995	0.111546	0.00317	0.002813
3.406	0.06781	0.017642	0.007719	0.028456	0.042206	0.028459	0.035196	0.019218	0.005291	0.015479	0.040669	0.006477	0.023373	0.110482	0.003167	0.00282
