datacolumns 24
datarows 102
time	addbrev_r	addlong_r	addmag1_r	addmag2_r	addmag3_r	bicfemlh_r	gmax1_r	gmax2_r	gmax3_r	gmed1_r	gmed2_r	gmed3_r	gmin1_r	gmin2_r	gmin3_r	gra_r	illiacus_r	psoas_r	recfem_r	sar_r	semimem_r	semiten_r	tfl_r
3.476	-0.00212229867206	0.0212302487756	-0.0226484500885	-0.0396449192079	-0.0377872977126	-0.0586115023824	-0.0404673624169	-0.0455488755125	-0.0644652411137	-0.0132877766206	-0.0271564561649	-0.0346749833741	-0.00663871455338	-0.0112912954557	-0.0176278700123	-0.00891833152412	0.040032804793	0.0370009513439	0.050797225599	0.0734446060773	-0.0569000881878	-0.0617722294057	0.0458588474532
3.48	-0.00176703053891	0.0216994887157	-0.0220841128758	-0.0391964560066	-0.0373164231748	-0.0586455104244	-0.0409429893699	-0.0459455762979	-0.0648048656481	-0.0137963274397	-0.0276562847296	-0.0351014179146	-0.00702013148677	-0.0116986985415	-0.0180365691471	-0.00846385620362	0.039833915765	0.0368505125409	0.0507184528153	0.0730582931526	-0.0569207598194	-0.0617916399542	0.0450733698922
3.484	-0.00143459864051	0.0221261382737	-0.0215432013803	-0.0387630448418	-0.0368697417994	-0.0586668297888	-0.041386671794	-0.0463124243179	-0.0651113244081	-0.0142812585705	-0.0281324805185	-0.0355077967111	-0.00738910471516	-0.0120912099725	-0.0184293202102	-0.00804103723141	0.0396436587157	0.0367039472477	0.0506346612921	0.0726942186589	-0.056931957323	-0.0618004954424	0.0443242431495
3.488	-0.00112552714701	0.0225110271761	-0.0210283913554	-0.0383475177121	-0.0364497539304	-0.0586770331525	-0.0417987180241	-0.0466497979454	-0.0653854951738	-0.0147419491623	-0.0285852282939	-0.0358951395992	-0.00774503857505	-0.0124686225164	-0.0188064043193	-0.00765043009381	0.0394627821973	0.0365621815918	0.050547757628	0.072354992182	-0.0569351665837	-0.061800484374	0.0436119430072
3.492	-0.000840340820698	0.0228546481211	-0.0205419266305	-0.0379522556234	-0.0360586502107	-0.0586773687915	-0.0421792608004	-0.0469578658514	-0.0656276968418	-0.0151780641997	-0.0290146798576	-0.0362641248223	-0.00808766288097	-0.0128308710792	-0.0191680185375	-0.00729230601121	0.0392918108058	0.0364258225564	0.0504592545229	0.0720431251033	-0.0569316884968	-0.061793056785	0.0429369319849
3.496	-0.000578260760263	0.0231592230701	-0.0200841066843	-0.0375780989569	-0.0356969238226	-0.0586692927674	-0.0425300506686	-0.0472381845306	-0.0658397563313	-0.0155907559501	-0.0294226391552	-0.0366170308297	-0.00841776394632	-0.0131791458004	-0.019515771409	-0.0069652995747	0.0391306652441	0.0362950653828	0.0503701237819	0.0717594675804	-0.0569227742317	-0.0617796203484	0.0422969388952
3.5	-0.00033788348535	0.0234276211184	-0.0196540158325	-0.0372248160121	-0.0353639555946	-0.0586541083482	-0.0428534375177	-0.0474928314493	-0.0660239476892	-0.0159819161834	-0.0298115139084	-0.0369565169135	-0.0087366683147	-0.0135151584645	-0.0198517322709	-0.00666721532031	0.0389788613716	0.036169756199	0.050280914481	0.071503819862	-0.0569094809604	-0.0617613609161	0.0416885210608
3.504	-0.00011751046367	0.023662891087	-0.0192499787166	-0.0368914387201	-0.0350583907667	-0.0586328796694	-0.0431519382225	-0.0477240405689	-0.0661825883407	-0.0163537743699	-0.0301838638752	-0.0372851790572	-0.00904595315787	-0.0138408008585	-0.0201780477316	-0.0063954405581	0.0388356536476	0.036049485802	0.0501918497738	0.0712752810583	-0.0568926456001	-0.061739211584	0.0411077613343
3.508	8.49525159236e-05	0.0238686495759	-0.0188696281543	-0.0365763292334	-0.0347779712889	-0.0586066278494	-0.043428291451	-0.0479343602432	-0.0663184516195	-0.0167086346709	-0.0305421272748	-0.0376052741583	-0.00934706942083	-0.0141577897551	-0.0204966140094	-0.00614667459934	0.0387001029544	0.0359337228823	0.0501029265751	0.0710718787062	-0.0568729556038	-0.0617139475931	0.0405505792679
3.512	0.000271749403287	0.0240485694957	-0.0185101829532	-0.0362774286563	-0.0345200189353	-0.0585762261071	-0.0436852853394	-0.0481263936952	-0.0664343618303	-0.0170488985498	-0.0308887713283	-0.0379190072796	-0.00964152859775	-0.0144678832099	-0.0208093398117	-0.00591745636324	0.0385711549966	0.0358218266266	0.0500139464055	0.0708911805079	-0.0568509307473	-0.0616861605189	0.040012678926
