datacolumns 2
datarows 102
time	R_hip_fe
3.476	22.2104370402
3.48	-0.0549363427273
3.484	-21.4411919295
3.488	-41.1443817569
3.492	-58.7858866337
3.496	-73.3785573488
3.5	-84.6904165765
3.504	-92.7184736394
3.508	-97.6224512591
3.512	-99.6587303602
3.516	-99.1247324765
3.52	-96.3464858574
3.524	-91.6145665569
3.528	-85.1764699369
3.532	-77.2277540385
3.536	-67.9129182367
3.54	-57.3370913732
3.544	-47.0103223693
3.548	-38.1635484212
3.552	-29.869408888
3.556	-22.348284949
3.56	-15.759804836
3.564	-11.6484993708
3.568	-12.5539396692
3.572	-19.8415945682
3.576	-32.9568464869
3.58	-46.7891847353
3.584	-60.2053397458
3.588	-72.9565575084
3.592	-84.3796105345
3.596	-92.8635337379
3.6	-95.6146228448
3.604	-91.1474924968
3.608	-81.7204394998
3.612	-71.9858525438
3.616	-66.2976915075
3.62	-65.131430045
3.624	-67.6285482911
3.628	-71.8680166397
3.632	-75.996096978
3.636	-78.7937609187
3.64	-79.6640455746
3.644	-78.3710385998
3.648	-74.9241629843
3.652	-69.5875272874
3.656	-62.8557169236
3.66	-55.2752404121
3.664	-47.3186056699
3.668	-39.3945090473
3.672	-31.891989868
3.676	-25.1407031827
3.68	-19.3690180205
3.684	-14.6805709652
3.688	-11.1119708758
3.692	-8.63251282808
3.696	-7.09341473054
3.7	-6.2070871391
3.704	-5.5905532733
3.708	-4.84963482734
3.712	-3.64203914816
3.716	-1.71834886349
3.72	1.07188979515
3.724	4.78361309739
3.728	9.34047671528
3.732	14.548768361
3.736	20.0854013613
3.74	24.7131826964
3.744	28.6798817707
3.748	31.5524563711
3.752	33.0583132029
3.756	33.0649922024
3.76	31.6789577266
3.764	29.1976527837
3.768	26.0368658466
3.772	28.2602866231
3.776	30.7046597465
3.78	31.7074492336
3.784	30.6577402292
3.788	23.809949829
3.792	16.2043527352
3.796	8.31580263394
3.8	0.406350595248
3.804	-7.31563911944
3.808	-14.6647684837
3.812	-21.5472324171
3.816	-16.7624429201
3.82	-24.6999892215
3.824	-30.7494715392
3.828	-34.771737532
3.832	-36.7859354779
3.836	-36.9473782628
3.84	-35.5618227078
3.844	-33.0410235159
3.848	-29.7406419801
3.852	-26.2332584825
3.856	-23.0881558246
3.86	-20.7809965281
3.864	-19.6259635304
3.868	-19.7108153847
3.872	-20.8581907304
3.876	-22.6258916358
3.88	-24.3570638164
