datacolumns 2
datarows 102
time	R_knee_fe
3.476	8.81906762656
3.48	-2.78709714847
3.484	-14.0535392797
3.488	-24.5021740861
3.492	-33.8516505595
3.496	-41.5676892056
3.5	-47.4844009725
3.504	-51.5823966869
3.508	-53.9611301844
3.512	-54.8037291743
3.516	-54.341832145
3.52	-52.8479875503
3.524	-50.5835446877
3.528	-47.7859711901
3.532	-44.6523714883
3.536	-41.3267739051
3.54	-37.8913505417
3.544	-34.2439530184
3.548	-31.3411765274
3.552	-28.2300361336
3.556	-24.3892028623
3.56	-19.569689511
3.564	-14.353194279
3.568	-9.71111270859
3.572	-5.6659614937
3.576	-1.08135970718
3.58	7.19469930061
3.584	20.1783755204
3.588	37.7611511279
3.592	59.308651154
3.596	83.9093202946
3.6	110.416573187
3.604	137.266061661
3.608	162.613513156
3.612	184.479028389
3.616	201.328575141
3.62	213.57245609
3.624	222.41706998
3.628	229.32056279
3.632	235.336508328
3.636	240.928759596
3.64	246.20381875
3.644	251.173487352
3.648	255.803525136
3.652	259.991844702
3.656	263.59164789
3.66	266.491158926
3.664	268.620898753
3.668	269.92006385
3.672	270.299550535
3.676	269.660429312
3.68	267.913662471
3.684	264.998766978
3.688	260.850953051
3.692	255.408772979
3.696	248.6761312
3.7	240.751782709
3.704	231.80935106
3.708	222.057903242
3.712	211.708653107
3.716	200.943214895
3.72	189.897386407
3.724	178.671319311
3.728	167.296714573
3.732	155.758423794
3.736	143.987556666
3.74	131.595777457
3.744	118.632690471
3.748	105.115926379
3.752	91.071854127
3.756	76.5733505702
3.76	61.8603966572
3.764	47.3000356611
3.768	33.3182748876
3.772	23.1611518954
3.776	14.6334494531
3.78	7.18511904034
3.784	0.728797567845
3.788	-6.63074602773
3.792	-12.1910757092
3.796	-15.8199255867
3.8	-17.7649358748
3.804	-18.4827252707
3.808	-18.4596378756
3.812	-18.2664256426
3.816	-10.8957031637
3.82	-13.6780487351
3.824	-15.507997091
3.828	-16.2823145842
3.832	-15.9807034063
3.836	-14.680613193
3.84	-12.5761562154
3.844	-9.97122681324
3.848	-7.19425913324
3.852	-4.68150350943
3.856	-2.87563956124
3.86	-2.15107697907
3.864	-2.75028671506
3.868	-4.72265380499
3.872	-7.88344778126
3.876	-11.806030502
3.88	-15.8597145863
