datacolumns 2
datarows 112
time	R_ankle_fe
2.832	2.24226941576
2.836	1.24606088888
2.84	0.218523462555
2.844	-0.802101065414
2.848	-1.82476270232
2.852	-2.76895378091
2.856	-3.58454930645
2.86	-4.26179999723
2.864	-4.80231091096
2.868	-5.21553164371
2.872	-5.51480750986
2.876	-5.71367360379
2.88	-5.82291689159
2.884	-5.84873995291
2.888	-5.79216161401
2.892	-5.64866181088
2.896	-5.40681595415
2.9	-5.06309760298
2.904	-4.61238500109
2.908	-4.05445797245
2.912	-3.39610128351
2.916	-2.65228251247
2.92	-1.84619890088
2.924	-2.81091775589
2.928	-4.11559830402
2.932	-6.31197209229
2.936	-9.28539601588
2.94	-13.1438194918
2.944	-18.0453793142
2.948	-24.0848587633
2.952	-30.9352447488
2.956	-38.059374112
2.96	-44.9587559292
2.964	-51.3328154924
2.968	-57.0453654195
2.972	-62.2232197232
2.976	-66.9206921138
2.98	-71.2978682825
2.984	-75.5182204131
2.988	-79.5710766842
2.992	-83.380719846
2.996	-86.8096327656
3	-89.703866905
3.004	-92.0333183145
3.008	-93.9117826803
3.012	-95.4986456747
3.016	-96.9259924453
3.02	-98.2575341675
3.024	-99.5633506992
3.028	-100.959204575
3.032	-102.565231002
3.036	-104.435559581
3.04	-106.553244526
3.044	-108.892127864
3.048	-111.424939962
3.052	-114.14738727
3.056	-116.965365013
3.06	-119.790928007
3.064	-122.535256488
3.068	-125.111917152
3.072	-127.443153269
3.076	-129.451126211
3.08	-131.076656787
3.084	-132.269148911
3.088	-132.998679578
3.092	-133.058837845
3.096	-132.794132141
3.1	-132.063079737
3.104	-130.89604951
3.108	-129.2644633
3.112	-127.152024547
3.116	-124.521384457
3.12	-121.321545438
3.124	-117.351999173
3.128	-112.759867971
3.132	-107.45684255
3.136	-101.430652024
3.14	-94.7041659492
3.144	-87.3386754195
3.148	-79.4318648993
3.152	-71.1356827616
3.156	-62.6328312524
3.16	-53.8465194327
3.164	-45.0919699471
3.168	-36.7133214332
3.172	-28.9290447737
3.176	-22.028276694
3.18	-16.0758289987
3.184	-11.1937234894
3.188	-7.46381529801
3.192	-4.81621729796
3.196	-3.07522347117
3.2	-2.26384300237
3.204	-0.288879958609
3.208	-1.64404284594
3.212	-2.89689081695
3.216	-3.91841639306
3.22	-4.57100120771
3.224	-4.73559312804
3.228	-4.34844619115
3.232	-3.4383186284
3.236	-2.14647953562
3.24	-0.731292060526
3.244	0.49736898118
3.248	1.27473588248
3.252	1.50100965995
3.256	1.29950096767
3.26	0.948238332504
3.264	0.731894614864
3.268	0.827855860433
3.272	1.28069383056
3.276	2.04049631926
