datacolumns 2
datarows 112
time	R_hip_aa
2.832	-49.5329299908
2.836	-48.3323333223
2.84	-45.7618302174
2.844	-42.240396973
2.848	-37.5839465076
2.852	-32.8604348304
2.856	-28.833279331
2.86	-25.6935082768
2.864	-23.4238819472
2.868	-21.8366826885
2.872	-20.6339694451
2.876	-19.4765808125
2.88	-18.0492631329
2.884	-16.1116810631
2.888	-13.5285019989
2.892	-10.2764771517
2.896	-6.42944679073
2.9	-2.12421151547
2.904	2.46761028433
2.908	7.17072439665
2.912	11.8211375133
2.916	16.2625779229
2.92	20.3265236114
2.924	21.3538662706
2.928	20.5804676049
2.932	17.5366931934
2.936	11.9268279445
2.94	3.93579524122
2.944	-5.07429161494
2.948	-12.8829210223
2.952	-19.3363528471
2.956	-24.5857757074
2.96	-29.2420385437
2.964	-34.2884123723
2.968	-40.7099000431
2.972	-46.5083133962
2.976	-52.2081554773
2.98	-59.1264551343
2.984	-68.0852289919
2.988	-78.4175642181
2.992	-88.7384728178
2.996	-97.6529157761
3	-104.072585169
3.004	-107.892055692
3.008	-109.566636
3.012	-109.606072305
3.016	-108.376536049
3.02	-106.100679958
3.024	-103.005826322
3.028	-99.4280248407
3.032	-95.725869862
3.036	-92.1329683959
3.04	-88.7266383711
3.044	-85.5031266776
3.048	-82.4761400279
3.052	-79.6480930873
3.056	-76.9811008177
3.06	-74.3933357322
3.064	-71.8069421874
3.068	-69.1662934391
3.072	-66.4446170663
3.076	-63.6435446003
3.08	-60.7565579646
3.084	-57.7670644929
3.088	-54.6386509328
3.092	-51.7981441274
3.096	-48.2984634525
3.1	-44.4407995475
3.104	-40.1961495786
3.108	-35.6835840497
3.112	-31.1334794082
3.116	-26.8696914776
3.12	-23.2179211633
3.124	-20.8196671439
3.128	-19.1056580715
3.132	-18.3732117028
3.136	-18.5163277865
3.14	-19.3042499192
3.144	-20.3930810175
3.148	-21.4221672296
3.152	-21.9990394191
3.156	-21.8251607066
3.16	-24.0866140079
3.164	-26.3824435555
3.168	-28.0083289792
3.172	-29.1752141945
3.176	-28.5651569329
3.18	-28.6326210894
3.184	-29.5675530646
3.188	-30.4384219312
3.192	-30.2083139902
3.196	-27.7758375693
3.2	-22.0362858131
3.204	-13.8911996041
3.208	1.5089636764
3.212	17.9162132882
3.216	33.6120469468
3.22	46.4806503848
3.224	54.3849075878
3.228	55.6825856319
3.232	49.7812616784
3.236	37.5075272062
3.24	21.2265098257
3.244	4.53997399815
3.248	-9.22408023912
3.252	-18.012947083
3.256	-21.9669886559
3.26	-23.1135403783
3.264	-24.0244466114
3.268	-26.5999171113
3.272	-31.7170756699
3.276	-39.5409899552
