datacolumns 17
datarows 1203
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
2.702	0.09517	0.055076	0.003622	0.002634	0.023931	0.02959	0.073138	0.00645	0.003423	0.017848	0.087123	0.002251	0.007301	0.021715	0.00263	0.002556
2.7025	0.095145	0.055413	0.003609	0.002746	0.024092	0.029817	0.072761	0.006418	0.003417	0.01733	0.087148	0.00222	0.007134	0.021411	0.002636	0.002534
2.703	0.095127	0.055745	0.003596	0.002862	0.024252	0.030046	0.072388	0.006388	0.003411	0.016824	0.087164	0.002188	0.006972	0.02111	0.002643	0.002513
2.7035	0.095115	0.056072	0.003583	0.002982	0.02441	0.030278	0.072017	0.006358	0.003405	0.016328	0.087171	0.002157	0.006816	0.020813	0.002649	0.002491
2.704	0.095109	0.056393	0.003572	0.003106	0.024565	0.030513	0.07165	0.00633	0.003398	0.015845	0.08717	0.002126	0.006665	0.02052	0.002656	0.002471
2.7045	0.095108	0.056709	0.00356	0.003234	0.024719	0.03075	0.071286	0.006303	0.003392	0.015372	0.08716	0.002095	0.006519	0.02023	0.002662	0.00245
2.705	0.095112	0.057018	0.00355	0.003367	0.024869	0.03099	0.070925	0.006278	0.003385	0.01491	0.087143	0.002065	0.006379	0.019943	0.002667	0.002431
2.7055	0.095121	0.057321	0.00354	0.003504	0.025017	0.031233	0.070567	0.006253	0.003379	0.014459	0.087117	0.002035	0.006243	0.01966	0.002673	0.002411
2.706	0.095134	0.057617	0.00353	0.003646	0.025162	0.031478	0.070211	0.006229	0.003372	0.014019	0.087083	0.002005	0.006113	0.019381	0.002678	0.002392
2.7065	0.09515	0.057906	0.003521	0.003791	0.025304	0.031727	0.069858	0.006207	0.003365	0.01359	0.08704	0.001975	0.005988	0.019106	0.002683	0.002374
2.707	0.095171	0.058188	0.003513	0.003942	0.025443	0.031978	0.069506	0.006185	0.003358	0.013171	0.08699	0.001946	0.005867	0.018834	0.002688	0.002356
2.7075	0.095194	0.058461	0.003506	0.004097	0.025578	0.032232	0.069157	0.006165	0.003351	0.012763	0.086931	0.001918	0.005752	0.018566	0.002692	0.002338
2.708	0.09522	0.058726	0.003499	0.004256	0.02571	0.032488	0.068808	0.006146	0.003344	0.012365	0.086864	0.001889	0.005641	0.018301	0.002696	0.002321
2.7085	0.095248	0.058982	0.003493	0.00442	0.025838	0.032748	0.068462	0.006128	0.003337	0.011977	0.086789	0.001862	0.005536	0.018041	0.0027	0.002304
2.709	0.095278	0.05923	0.003488	0.004589	0.025962	0.033011	0.068116	0.006111	0.003329	0.011599	0.086706	0.001834	0.005435	0.017784	0.002704	0.002287
2.7095	0.095308	0.059468	0.003483	0.004763	0.026082	0.033276	0.067771	0.006095	0.003322	0.011231	0.086614	0.001807	0.005338	0.017532	0.002707	0.002271
2.71	0.09534	0.059696	0.003479	0.004942	0.026197	0.033544	0.067426	0.00608	0.003314	0.010872	0.086513	0.001781	0.005246	0.017283	0.00271	0.002255
2.7105	0.095371	0.059914	0.003476	0.005126	0.026309	0.033815	0.067082	0.006066	0.003306	0.010523	0.086404	0.001755	0.005159	0.017038	0.002713	0.00224
2.711	0.095402	0.060121	0.003474	0.005314	0.026415	0.034089	0.066738	0.006053	0.003298	0.010184	0.086286	0.001729	0.005076	0.016797	0.002715	0.002225
2.7115	0.095432	0.060318	0.003472	0.005508	0.026517	0.034366	0.066395	0.006042	0.00329	0.009854	0.08616	0.001704	0.004997	0.01656	0.002717	0.00221
2.712	0.095461	0.060503	0.003471	0.005706	0.026615	0.034646	0.066051	0.006031	0.003282	0.009533	0.086025	0.00168	0.004923	0.016327	0.002718	0.002195
2.7125	0.095488	0.060677	0.003472	0.00591	0.026707	0.034929	0.065708	0.006021	0.003274	0.009221	0.085881	0.001656	0.004853	0.016098	0.002719	0.002181
2.713	0.095512	0.060838	0.003472	0.006119	0.026794	0.035215	0.065364	0.006012	0.003266	0.008918	0.085728	0.001633	0.004787	0.015874	0.00272	0.002167
2.7135	0.095533	0.060987	0.003474	0.006333	0.026876	0.035504	0.06502	0.006004	0.003257	0.008624	0.085566	0.00161	0.004726	0.015653	0.002721	0.002154
2.714	0.095551	0.061124	0.003476	0.006553	0.026952	0.035796	0.064675	0.005997	0.003249	0.008338	0.085395	0.001589	0.004668	0.015436	0.002721	0.00214
2.7145	0.095565	0.061247	0.00348	0.006778	0.027022	0.036091	0.064329	0.00599	0.00324	0.008061	0.085214	0.001567	0.004614	0.015223	0.002721	0.002127
2.715	0.095574	0.061358	0.003484	0.007008	0.027087	0.036389	0.063983	0.005985	0.003231	0.007792	0.085025	0.001547	0.004565	0.015015	0.00272	0.002115
2.7155	0.095579	0.061454	0.003489	0.007243	0.027146	0.03669	0.063636	0.00598	0.003222	0.007531	0.084827	0.001527	0.004519	0.01481	0.002719	0.002102
2.716	0.095578	0.061538	0.003495	0.007484	0.027198	0.036993	0.063288	0.005977	0.003213	0.007277	0.084619	0.001507	0.004477	0.01461	0.002718	0.00209
2.7165	0.095572	0.061607	0.003501	0.007731	0.027244	0.0373	0.062938	0.005974	0.003204	0.007032	0.084402	0.001489	0.00444	0.014413	0.002716	0.002078
